region,cluster_min_order,stream_order,iso_pred
Kuskokwim,5,7,0.708909099
Kuskokwim,5,5,0.706990712
Kuskokwim,5,5,0.706461605
Kuskokwim,5,5,0.706494045
Kuskokwim,5,5,0.706529886
Kuskokwim,5,7,0.708904292
Kuskokwim,5,5,0.706999704
Kuskokwim,5,6,0.707632754
Kuskokwim,5,5,0.70498026
Kuskokwim,5,5,0.704995741
Kuskokwim,5,5,0.707082934
Kuskokwim,5,5,0.707031117
Kuskokwim,5,5,0.70677851
Kuskokwim,5,5,0.706759416
Kuskokwim,5,5,0.707102231
Kuskokwim,5,5,0.707056955
Kuskokwim,5,7,0.708918281
Kuskokwim,5,5,0.707081767
Kuskokwim,5,6,0.707698483
Kuskokwim,5,7,0.708928568
Kuskokwim,5,6,0.707714091
Kuskokwim,5,5,0.707033569
Kuskokwim,5,6,0.707714953
Kuskokwim,5,6,0.707838951
Kuskokwim,5,5,0.706921304
Kuskokwim,5,6,0.705040678
Kuskokwim,5,7,0.708940352
Kuskokwim,5,5,0.707897536
Kuskokwim,5,5,0.708136861
Kuskokwim,5,5,0.706805346
Kuskokwim,5,5,0.706998701
Kuskokwim,5,5,0.706813978
Kuskokwim,5,6,0.707792032
Kuskokwim,5,5,0.706985244
Kuskokwim,5,5,0.706787532
Kuskokwim,5,5,0.704643767
Kuskokwim,5,5,0.704644746
Kuskokwim,5,5,0.704634651
Kuskokwim,5,5,0.704632097
Kuskokwim,5,5,0.70463831
Kuskokwim,5,5,0.70701561
Kuskokwim,5,5,0.704634333
Kuskokwim,5,6,0.707778584
Kuskokwim,5,6,0.707735422
Kuskokwim,5,6,0.704915752
Kuskokwim,5,5,0.707015098
Kuskokwim,5,5,0.707012631
Kuskokwim,5,6,0.704936679
Kuskokwim,5,7,0.708939652
Kuskokwim,5,7,0.708945135
Kuskokwim,5,7,0.708944997
Kuskokwim,5,5,0.707907056
Kuskokwim,5,7,0.708939874
Kuskokwim,5,5,0.707866043
Kuskokwim,5,7,0.708946482
Kuskokwim,5,5,0.707854549
Kuskokwim,5,6,0.707836112
Kuskokwim,5,5,0.706851555
Kuskokwim,5,5,0.706551839
Kuskokwim,5,5,0.707944624
Kuskokwim,5,6,0.704976652
Kuskokwim,5,5,0.706906754
Kuskokwim,5,7,0.708940788
Kuskokwim,5,7,0.708942034
Kuskokwim,5,5,0.707936296
Kuskokwim,5,5,0.707846258
Kuskokwim,5,7,0.708944795
Kuskokwim,5,5,0.707954815
Kuskokwim,5,7,0.708946966
Kuskokwim,5,7,0.70894675
Kuskokwim,5,5,0.707965419
Kuskokwim,5,7,0.708952831
Kuskokwim,5,6,0.704995054
Kuskokwim,5,5,0.706892379
Kuskokwim,5,5,0.707897539
Kuskokwim,5,7,0.708953486
Kuskokwim,5,7,0.70895413
Kuskokwim,5,5,0.707934902
Kuskokwim,5,7,0.70895566
Kuskokwim,5,6,0.705059446
Kuskokwim,5,7,0.708974933
Kuskokwim,5,5,0.707957807
Kuskokwim,5,5,0.708045922
Kuskokwim,5,5,0.706269917
Kuskokwim,5,7,0.708965274
Kuskokwim,5,7,0.708971289
Kuskokwim,5,5,0.70691034
Kuskokwim,5,7,0.708976558
Kuskokwim,5,5,0.70651697
Kuskokwim,5,5,0.706849024
Kuskokwim,5,5,0.707010627
Kuskokwim,5,5,0.706282075
Kuskokwim,5,7,0.708652858
Kuskokwim,5,5,0.707814989
Kuskokwim,5,5,0.70769909
Kuskokwim,5,5,0.706962095
Kuskokwim,5,7,0.708579918
Kuskokwim,5,5,0.707900445
Kuskokwim,5,7,0.708989634
Kuskokwim,5,7,0.708988379
Kuskokwim,5,7,0.708939094
Kuskokwim,5,7,0.708846786
Kuskokwim,5,7,0.708967909
Kuskokwim,5,5,0.707342354
Kuskokwim,5,5,0.70696033
Kuskokwim,5,7,0.708784428
Kuskokwim,5,5,0.706966327
Kuskokwim,5,5,0.707935652
Kuskokwim,5,5,0.707728072
Kuskokwim,5,5,0.707827454
Kuskokwim,5,7,0.708870756
