basin,region,stream_order,mouth_reachid,n_reaches,mean_iso,median_iso,q1,q3,min_iso,max_iso,sd_iso
Yukon,upper,4,12058,13,0.7182865367333846,0.718278742455,0.718187061936,0.718625466884,0.717352620385,0.718936495321,0.00043881525098421334
Yukon,upper,3,11111,1,0.718936495321,0.718936495321,0.718936495321,0.718936495321,0.718936495321,0.718936495321,0.0
Yukon,upper,4,11113,3,0.7192730987103334,0.71927617053,0.7192696546135,0.719278078717,0.719263138697,0.719279986904,8.834170975659034e-06
Yukon,upper,3,11119,1,0.719019645468,0.719019645468,0.719019645468,0.719019645468,0.719019645468,0.719019645468,0.0
Yukon,upper,4,11124,3,0.719068158705,0.719073930562,0.7190602621805,0.719078941158,0.719046593799,0.719083951754,1.9336234130908304e-05
Yukon,upper,3,11133,1,0.719073930562,0.719073930562,0.719073930562,0.719073930562,0.719073930562,0.719073930562,0.0
Yukon,upper,3,11140,1,0.718647061771,0.718647061771,0.718647061771,0.718647061771,0.718647061771,0.718647061771,0.0
Yukon,upper,4,11176,5,0.7184137401674,0.718324195857,0.718246481241,0.718643955031,0.718146392758,0.71870767595,0.0002484278049119149
Yukon,upper,3,11150,1,0.71870767595,0.71870767595,0.71870767595,0.71870767595,0.71870767595,0.71870767595,0.0
Yukon,upper,4,11265,5,0.7186803052027999,0.718701312085,0.718600186196,0.718701447286,0.718598800181,0.718799780266,8.400102877002747e-05
Yukon,upper,3,11164,1,0.718701447286,0.718701447286,0.718701447286,0.718701447286,0.718701447286,0.718701447286,0.0
Yukon,upper,3,11167,1,0.718352802446,0.718352802446,0.718352802446,0.718352802446,0.718352802446,0.718352802446,0.0
Yukon,upper,3,11172,1,0.719279986904,0.719279986904,0.719279986904,0.719279986904,0.719279986904,0.719279986904,0.0
Yukon,upper,5,11189,15,0.7184023887528669,0.718359002452,0.718046387339,0.7186002415305,0.717244591109,0.719446399559,0.0005779134532986461
Yukon,upper,3,11204,1,0.718799780266,0.718799780266,0.718799780266,0.718799780266,0.718799780266,0.718799780266,0.0
Yukon,upper,3,11220,1,0.719263138697,0.719263138697,0.719263138697,0.719263138697,0.719263138697,0.719263138697,0.0
Yukon,upper,5,11238,45,0.7176564572384666,0.717642600908,0.717354911308,0.7179351152,0.715695456814,0.718901281773,0.0006715547150697456
Yukon,upper,3,11225,1,0.717638098717,0.717638098717,0.717638098717,0.717638098717,0.717638098717,0.717638098717,0.0
Yukon,upper,3,11241,1,0.718824327067,0.718824327067,0.718824327067,0.718824327067,0.718824327067,0.718824327067,0.0
Yukon,upper,5,11327,13,0.7204744820528461,0.719717582004,0.718967484414,0.722644876554,0.718193260902,0.723678130158,0.0020417369815622748
Yukon,upper,4,11276,3,0.7230648020103333,0.723153354409,0.7228991154815,0.7232747647385,0.722644876554,0.723396175068,0.0003833973262385526
Yukon,upper,3,11247,1,0.723396175068,0.723396175068,0.723396175068,0.723396175068,0.723396175068,0.723396175068,0.0
Yukon,upper,3,11249,1,0.722644876554,0.722644876554,0.722644876554,0.722644876554,0.722644876554,0.722644876554,0.0
Yukon,upper,4,11352,3,0.7187137930913333,0.718611154928,0.7183529550134999,0.7190233120875,0.718094755099,0.719435469247,0.0006762244827652642
Yukon,upper,3,11257,1,0.719435469247,0.719435469247,0.719435469247,0.719435469247,0.719435469247,0.719435469247,0.0
Yukon,upper,3,11264,1,0.718643955031,0.718643955031,0.718643955031,0.718643955031,0.718643955031,0.718643955031,0.0
Yukon,upper,4,11278,3,0.7195138882106665,0.719552145427,0.7192373732374999,0.7198095317919999,0.718922601048,0.720066918157,0.0005731170233370319
Yukon,upper,5,11358,13,0.7181895316746154,0.718241649033,0.717812228855,0.718850142266,0.717220557164,0.718932971523,0.0005840329305354612
Yukon,upper,4,11296,3,0.7189229946186666,0.718921165647,0.7189180061665,0.718927068585,0.718914846686,0.718932971523,9.199797937262215e-06
Yukon,upper,3,11280,1,0.718932971523,0.718932971523,0.718932971523,0.718932971523,0.718932971523,0.718932971523,0.0
Yukon,upper,3,11285,1,0.724462151875,0.724462151875,0.724462151875,0.724462151875,0.724462151875,0.724462151875,0.0
Yukon,upper,3,11286,1,0.718598800181,0.718598800181,0.718598800181,0.718598800181,0.718598800181,0.718598800181,0.0
Yukon,upper,3,11291,1,0.720066918157,0.720066918157,0.720066918157,0.720066918157,0.720066918157,0.720066918157,0.0
Yukon,upper,5,11295,7,0.7177921155615715,0.718073663927,0.7171534962195001,0.7183754223634999,0.716747955744,0.718665352094,0.0007923799769646634
Yukon,upper,3,11298,1,0.718745210118,0.718745210118,0.718745210118,0.718745210118,0.718745210118,0.718745210118,0.0
Yukon,upper,4,11337,3,0.7187022702613333,0.718549896984,0.718396318289,0.718932035595,0.718242739594,0.719314174206,0.0005517302272686076
Yukon,upper,3,11312,1,0.719314174206,0.719314174206,0.719314174206,0.719314174206,0.719314174206,0.719314174206,0.0
Yukon,upper,3,11317,1,0.718921165647,0.718921165647,0.718921165647,0.718921165647,0.718921165647,0.718921165647,0.0
Yukon,upper,3,11324,1,0.719046593799,0.719046593799,0.719046593799,0.719046593799,0.719046593799,0.719046593799,0.0
Yukon,upper,4,11344,3,0.7218501749966667,0.722179241278,0.7216170774475,0.7222478056865,0.721054913617,0.722316370095,0.0006921210693260012
Yukon,upper,4,11367,9,0.719567552285,0.718976831332,0.718569928187,0.719717582004,0.718193260902,0.723678130158,0.0016600122239747467
Yukon,lower,8,12267,1713,0.7101960107788535,0.7080291956,0.706643458578,0.714905059005,0.70424355164,0.720113773518,0.004265449243070195
Yukon,upper,4,11369,3,0.718472065607,0.718624578607,0.7183754223634999,0.7186449653505,0.71812626612,0.718665352094,0.000300164260393601
Yukon,upper,3,11371,1,0.721054913617,0.721054913617,0.721054913617,0.721054913617,0.721054913617,0.721054913617,0.0
Yukon,upper,3,11375,1,0.718665352094,0.718665352094,0.718665352094,0.718665352094,0.718665352094,0.718665352094,0.0
Yukon,upper,3,11381,1,0.722316370095,0.722316370095,0.722316370095,0.722316370095,0.722316370095,0.722316370095,0.0
Yukon,upper,3,11396,1,0.71812626612,0.71812626612,0.71812626612,0.71812626612,0.71812626612,0.71812626612,0.0
Yukon,upper,4,11404,5,0.718202484359,0.718167126611,0.718071899168,0.718322293506,0.7180239226,0.71842717991,0.0001695798385520695
Yukon,middle,4,11480,3,0.731551273516,0.731668369555,0.731310577317,0.7318505177345,0.730952785079,0.732032665914,0.0005493808025515587
Yukon,middle,3,11412,1,0.730952785079,0.730952785079,0.730952785079,0.730952785079,0.730952785079,0.730952785079,0.0
Yukon,upper,3,11416,1,0.718146392758,0.718146392758,0.718146392758,0.718146392758,0.718146392758,0.718146392758,0.0
Yukon,upper,3,11434,1,0.718333809014,0.718333809014,0.718333809014,0.718333809014,0.718333809014,0.718333809014,0.0
Yukon,middle,3,11444,1,0.734520208216,0.734520208216,0.734520208216,0.734520208216,0.734520208216,0.734520208216,0.0
Yukon,upper,4,11449,5,0.7179566636826,0.717945319979,0.717834445288,0.71826031399,0.717244591109,0.718498648047,0.0004764619413189195
Yukon,upper,3,11453,1,0.71971117202,0.71971117202,0.71971117202,0.71971117202,0.71971117202,0.71971117202,0.0
Yukon,upper,3,11475,1,0.716904201477,0.716904201477,0.716904201477,0.716904201477,0.716904201477,0.716904201477,0.0
Yukon,upper,3,11478,1,0.718498648047,0.718498648047,0.718498648047,0.718498648047,0.718498648047,0.718498648047,0.0
Yukon,upper,4,11483,3,0.7176706323443334,0.71770566617,0.7175958878944999,0.717762893707,0.717486109619,0.717820121244,0.0001697394123779771
Yukon,upper,4,11486,5,0.7180123103914,0.717936974639,0.717812228855,0.718241649033,0.717220557164,0.718850142266,0.0005973147688871455
Yukon,upper,3,11495,1,0.723678130158,0.723678130158,0.723678130158,0.723678130158,0.723678130158,0.723678130158,0.0
Yukon,upper,3,11498,1,0.717742901868,0.717742901868,0.717742901868,0.717742901868,0.717742901868,0.717742901868,0.0
Yukon,upper,3,11509,1,0.71770566617,0.71770566617,0.71770566617,0.71770566617,0.71770566617,0.71770566617,0.0
Yukon,middle,3,11511,1,0.726008462028,0.726008462028,0.726008462028,0.726008462028,0.726008462028,0.726008462028,0.0
Yukon,upper,3,11521,1,0.718922601048,0.718922601048,0.718922601048,0.718922601048,0.718922601048,0.718922601048,0.0
Yukon,upper,3,11528,1,0.717486109619,0.717486109619,0.717486109619,0.717486109619,0.717486109619,0.717486109619,0.0
Yukon,upper,3,11547,1,0.71842717991,0.71842717991,0.71842717991,0.71842717991,0.71842717991,0.71842717991,0.0
Yukon,upper,3,11557,1,0.718242739594,0.718242739594,0.718242739594,0.718242739594,0.718242739594,0.718242739594,0.0
Yukon,upper,5,11559,13,0.7181158894206153,0.718133558791,0.717875396621,0.718260028888,0.717612516378,0.718663859233,0.00029779035775237284
Yukon,upper,4,11560,5,0.7186060598388,0.71786182653,0.717721536388,0.718566389507,0.717688767527,0.721191779242,0.0014887250170481433
Yukon,middle,3,11584,1,0.731668369555,0.731668369555,0.731668369555,0.731668369555,0.731668369555,0.731668369555,0.0
Yukon,upper,3,11595,1,0.718850142266,0.718850142266,0.718850142266,0.718850142266,0.718850142266,0.718850142266,0.0
Yukon,upper,3,11609,1,0.721191779242,0.721191779242,0.721191779242,0.721191779242,0.721191779242,0.721191779242,0.0
Yukon,upper,4,11611,3,0.7191975392003332,0.719059777839,0.7188921026845,0.7194340950355,0.71872442753,0.719808412232,0.0005549678847012808
