year,stream_order,focal_reach,group_individuals,n_reaches_in_group,n_reaches_with_production
2015,5,6875,0,27,0
2015,5,7119,0,41,0
2015,5,7172,0,15,0
2015,5,7268,89.66174555734025,17,2
2015,5,7296,70.66196956105368,37,6
2015,5,7329,0,11,0
2015,5,7341,0,15,0
2015,5,7343,0,13,0
2015,5,7357,0,17,0
2015,5,7494,15.531437706709996,21,1
2015,5,7502,324.9732547956418,53,1
2015,5,7696,0,25,0
2015,5,9208,0,13,0
2015,5,10305,333.6875352990249,49,8
2015,5,10344,0,29,0
2015,5,10395,0,35,0
2015,5,7728,0,29,0
2015,5,7807,45.690422246990224,11,1
2015,5,7868,0,7,0
2015,5,7895,94.23854565905671,19,3
2015,5,7913,53.64994909971998,15,1
2015,5,8056,0,15,0
2015,5,8129,0,9,0
2015,5,8192,4.892869354751599,7,1
2015,5,8463,0,11,0
2015,5,8534,0,15,0
2015,5,8577,192.73251195462194,51,9
2015,5,8704,0,13,0
2015,5,8869,66.77950668383622,35,2
2015,5,8944,0,19,0
2015,5,9126,0,21,0
2015,5,9349,0,13,0
2015,5,9600,89.25452891865153,55,3
2015,5,9796,0,15,0
2015,5,9798,119.31091032933409,41,6
2015,5,9871,283.1303172694469,55,4
2015,5,9925,0,17,0
2015,5,9972,67.1238980026384,9,1
2015,5,10002,98.29048583526725,49,5
2015,5,10083,0,15,0
2015,5,10166,0,27,0
2015,5,10201,0,7,0
2015,5,10228,0,17,0
2015,5,10234,5.784894830146146,25,1
2015,5,10585,673.8681804494123,37,8
2015,5,11198,211.20675180321618,43,5
2015,5,11469,0,9,0
2015,5,11500,1074.5932516073171,19,3
2015,5,11524,1137.6367594640724,73,26
2015,5,11639,80.61788448942588,31,2
2015,5,11763,0,9,0
2015,5,11766,22.126460123464504,25,1
2015,5,11894,0,29,0
2015,5,11990,377.32889956469813,37,1
2015,5,12092,448.5814424599773,33,8
2015,5,12266,103.25596657957459,21,3
2015,5,12430,0,11,0
2015,5,12793,0,9,0
2015,5,12657,0,23,0
2015,5,12804,0,55,0
2015,5,13003,0,49,0
2015,5,13138,9.27437272474838,29,1
2015,5,13189,109.32487250626158,13,3
2015,5,13468,0,19,0
2015,5,13475,0,13,0
2015,5,13486,0,13,0
2015,5,13522,389.3393197246416,29,6
2015,5,13790,25.63895783929294,33,2
2015,5,13817,0,25,0
2015,5,13830,0,9,0
2015,5,13852,0,13,0
2015,5,13868,0,35,0
2015,5,13881,4690.849446709636,47,11
2015,5,14020,33.133529577649725,27,2
2015,5,14124,0,35,0
2015,5,14219,0,55,0
2015,5,14363,3570.224209830609,57,9
2015,5,14418,67.93177226365273,27,3
2015,5,14421,254.85568284438645,27,11
2015,5,14459,64.18532424956173,9,1
2015,5,14626,0,25,0
2015,5,14682,0,17,0
2015,5,14738,0,7,0
2015,5,14756,0,37,0
2015,5,14967,0,15,0
2015,5,15002,0,9,0
2015,5,15030,38.627872065310655,25,2
2015,5,15052,0,57,0
2015,5,15293,0,29,0
2015,5,15134,0,13,0
2015,5,15154,879.6607817018762,15,2
2015,5,15178,0,13,0
2015,5,15219,0,25,0
2015,5,15253,0,7,0
2015,5,15476,445.6400389731269,31,2
2015,5,15531,32.25964258344226,31,1
2015,5,15563,0,29,0
2015,5,15615,0,15,0
2015,5,15700,0,9,0
2015,5,15711,185.2436621708904,33,3
2015,5,15743,191.2948048647605,23,4
2015,5,15752,363.61331525387,41,6
2015,5,15770,0,11,0
2015,5,15790,0,11,0
2015,5,15913,25.283990165316773,21,2
2015,5,15971,0,25,0
2015,5,15977,0,23,0
2015,5,15996,0,21,0
2015,5,16022,0,23,0
2015,5,16025,81.50115724730043,109,5
2015,5,16060,0,13,0
2015,5,16091,233.80316214238695,33,2
2015,5,16113,0,15,0
2015,5,16140,0,29,0
2015,5,16171,0,7,0
2015,5,16195,0,11,0
2015,5,16257,1420.666570133352,81,17
2015,5,16284,0,11,0
2015,5,16366,0,9,0
2015,5,16407,0,9,0
2015,5,16531,0,15,0
2015,5,16573,328.00845731978745,23,6
2015,5,16577,0,9,0
2015,5,16603,0,23,0
2015,5,16626,0,21,0
2015,5,16707,0,27,0
2015,5,16726,0,19,0
2015,5,16735,46.893196504609584,9,1
2015,5,16783,0,9,0
2015,5,16798,0,15,0
2015,5,16854,141.4236471764487,21,2
2015,5,16878,178.54078779406439,31,3
2015,5,16885,601.8502642934475,47,9
2015,5,16999,0,11,0
2015,5,17025,0,45,0
2015,5,17198,100.18908866927195,17,1
2015,5,17245,15.992279836226103,15,1
2015,5,17330,332.44950425372787,31,7
2015,5,17345,0,11,0
2015,5,17400,28.535322635258144,27,1
2015,5,17457,0,25,0
2015,5,17504,0,13,0
2015,5,17526,1047.1369479115538,61,14
2015,5,17601,0,13,0
2015,5,17616,0,9,0
2015,5,17793,9.345019712154306,23,1
2015,5,17813,0,35,0
2015,5,17837,826.52664096368,63,14
2015,5,17844,0,13,0
2015,5,17903,0,7,0
2015,5,17934,64.13205118205664,17,1
2015,5,18055,0,21,0
2015,5,18471,0,11,0
2015,5,18452,21.85908493736356,15,1
2015,5,18516,0,23,0
2015,5,18559,0,15,0
2015,5,18575,172.14283746720167,35,4
2015,5,18782,0,19,0
2015,5,18845,0,11,0
2015,5,18876,0,31,0
2015,5,18884,0,13,0
2015,5,18892,63.62897662818268,7,1
2015,5,18912,15.928348169101625,23,1
2015,5,18994,62.72468964147573,23,2
2015,5,19045,0,11,0
2015,5,19189,54.29229910978406,33,1
2015,5,19213,130.60152147150924,37,3
2015,5,19222,264.3138679510721,39,4
2015,5,19251,0,59,0
2015,5,19252,0,9,0
2015,5,19323,420.9487356657576,71,11
2015,5,19444,0,9,0
2015,5,19533,0,39,0
2015,5,19646,291.03875382681457,47,5
2015,5,19780,0,7,0
2015,5,19901,0,19,0
2015,5,19966,0,11,0
2015,5,19982,0,7,0
2015,5,20166,0,13,0
2015,5,20217,0,13,0
2015,5,20268,98.49482387783038,39,1
2015,5,20282,0,35,0
2015,5,20325,0,17,0
2015,5,20613,24.55417926668282,57,1
2015,5,20616,0,13,0
2015,5,20697,0,35,0
2015,5,20700,0,51,0
2015,5,20753,0,11,0
2015,5,20760,0,23,0
2015,6,1361,0,149,0
2015,6,2026,6579.186550842237,127,19
2015,6,2178,0,87,0
2015,6,2191,9524.835577381236,201,23
2015,6,2244,0,57,0
2015,6,2548,0,43,0
2015,6,2919,0,67,0
2015,6,2978,0,41,0
2015,6,3008,309.2853929651848,109,1
2015,6,3202,1298.7148900723105,193,7
2015,6,3881,14530.337000968724,289,33
2015,6,4014,0,65,0
2015,6,4933,8489.816095082922,191,28
2015,6,5361,128.56955219387547,83,5
2015,6,6356,552.2919150700211,149,11
2015,6,6665,2679.966300148032,71,9
2015,6,6863,0,47,0
2015,6,7044,5145.838240074087,85,13
2015,6,7217,303.5936163017024,37,7
2015,6,7247,0,27,0
2015,6,7397,113.94428461844768,57,7
2015,6,8150,948.3953816820494,133,15
2015,6,7732,764.868205238338,77,9
2015,6,7874,20.673315009486007,39,1
2015,6,8668,181.06134399346584,75,6
2015,6,8732,311.61484161877297,43,5
2015,6,9269,108.54790511799686,49,3
2015,6,9314,16.114512031157478,41,1
2015,6,9989,424.83402258219513,69,9
2015,6,10295,161.4230537089997,59,7
2015,6,10510,6528.2374255905925,307,32
2015,6,10735,1809.9081453955123,133,24
2015,6,10832,1931.6922770955375,117,27
2015,6,12218,876.1636408408766,91,17
2015,6,12441,424.257808942738,125,13
2015,6,12731,0,25,0
2015,6,12847,0,45,0
2015,6,13326,666.5707857211733,69,22
2015,6,14045,5173.952469450403,75,12
2015,6,14438,0,115,0
2015,6,14696,236.85594356919975,57,6
2015,6,14936,34.04587710009215,75,1
2015,6,14968,160.12370676608208,37,4
2015,6,15093,231.73419632516516,75,6
2015,6,15361,0,105,0
2015,6,15428,7834.6565896267,131,20
2015,6,15448,0,41,0
2015,6,15618,0,41,0
2015,6,16183,1738.5696024386757,145,20
2015,6,16349,158.46645044128655,43,2
2015,6,16468,1911.4359352016884,109,25
2015,6,16629,2777.006932872275,197,35
2015,6,16632,167.9274510695094,89,8
2015,6,16660,145.98004476888443,29,3
2015,6,16669,81.34648694749785,73,2
2015,6,16849,286.74275212170505,109,8
2015,6,16877,426.57707542554147,79,8
2015,6,16960,369.3970634905478,213,7
2015,6,17067,61.55252466694678,47,2
2015,6,17426,1290.8195004147044,95,14
2015,6,17487,1265.1588397152545,95,17
2015,6,17748,1025.9211157682214,91,18
2015,6,17807,2231.274677691073,131,28
2015,6,18300,200.8679892922391,45,4
2015,6,18307,3642.74966712162,209,37
2015,6,18524,0,29,0
2015,6,18944,206.43294347843522,57,4
2015,6,19619,1945.1566686357025,179,18
2015,6,19622,681.5498745992601,61,9
2015,6,20036,467.19680910983493,95,7
2015,6,20215,68.92687441429734,79,1
2015,7,1814,3288.8781575686144,317,13
2015,7,1985,35942.089490294864,679,111
2015,7,2101,18410.840736601574,337,47
2015,7,10822,4473.381105052953,433,61
2015,7,12002,9068.71726053663,1305,167
2015,7,12103,6969.071473231766,391,46
2015,7,12267,36281.578872296675,1713,251
2015,7,13074,13815.103959186019,1903,234
2015,7,15014,2319.303645313145,177,6
2015,7,16892,11035.887783446831,1142,119
2015,7,16917,10276.037891240216,775,124
2015,7,17129,3412.957388570989,233,43
2015,7,17137,1366.5867816352386,365,19
2015,7,17217,1322.9807863078922,137,17
2015,7,17257,4492.790747545736,283,42
2015,7,17642,3928.967821589013,257,54
2015,7,17942,5661.997562261469,457,62
2016,5,1165,0,13,0
2016,5,1360,0,23,0
2016,5,1471,0,23,0
2016,5,1512,0,21,0
2016,5,1516,0,45,0
2016,5,1578,0,13,0
2016,5,1661,0,13,0
2016,5,1749,0,13,0
2016,5,1847,0,63,0
2016,5,2090,0,41,0
2016,5,2142,0,17,0
2016,5,2167,0,47,0
2016,5,2212,0,23,0
2016,5,2252,0,17,0
2016,5,2284,0,13,0
2016,5,2397,0,9,0
2016,5,2478,0,35,0
2016,5,2589,0,19,0
2016,5,2636,0,27,0
2016,5,2802,0,9,0
2016,5,2881,0,13,0
2016,5,2900,0,21,0
2016,5,3054,0,27,0
2016,5,2983,0,17,0
2016,5,3085,0,19,0
2016,5,3086,0,17,0
2016,5,3099,0,9,0
2016,5,3154,0,57,0
2016,5,3288,0,11,0
2016,5,3326,0,17,0
2016,5,3376,0,7,0
2016,5,3394,0,25,0
2016,5,3690,0,53,0
2016,5,3707,0,21,0
2016,5,3716,0,37,0
2016,5,3781,0,17,0
2016,5,3928,0,13,0
2016,5,3954,0,31,0
2016,5,4128,197.8218447369936,17,1
2016,5,4196,0,21,0
2016,5,4224,0,17,0
2016,5,4298,0,65,0
2016,5,4324,0,11,0
2016,5,4536,0,7,0
2016,5,4657,0,13,0
2016,5,4721,0,25,0
2016,5,4774,272.37029713486834,61,1
2016,5,4864,0,7,0
2016,5,5025,235.60562408577567,47,4
2016,5,5079,204.67631005177176,73,5
2016,5,5134,0,11,0
2016,5,5202,4881.153230569648,123,22
2016,5,5277,0,15,0
2016,5,5285,0,11,0
2016,5,5440,0,15,0
2016,5,5542,0,17,0
2016,5,5570,0,7,0
2016,5,5745,135.69663455003771,17,1
2016,5,5696,1429.303690230196,53,7
2016,5,5810,0,17,0
2016,5,5890,0,21,0
2016,5,5897,0,15,0
2016,5,5938,0,23,0
2016,5,5957,0,13,0
2016,5,6142,71.59992349476387,13,1
2016,5,6097,0,7,0
2016,5,6135,37.81810215824388,15,2
2016,5,6164,0,13,0
2016,5,6191,0,23,0
2016,5,6192,0,37,0
2016,5,6221,144.0534565249855,25,2
2016,5,6265,812.382602971276,23,4
2016,5,6296,57.062792204706504,31,1
2016,5,6326,0,7,0
2016,5,6352,0,15,0
2016,5,6417,0,11,0
2016,5,6431,1497.8810242534996,41,7
2016,5,6497,0,7,0
2016,5,6535,239.61313972131802,21,3
2016,5,6581,0,43,0
2016,5,6618,0,27,0
2016,5,6787,0,17,0
2016,5,6875,0,27,0
2016,5,7119,0,41,0
2016,5,7172,0,15,0
2016,5,7268,235.98052468617894,17,2
2016,5,7296,272.54305752407777,37,6
2016,5,7329,0,11,0
2016,5,7341,0,15,0
2016,5,7343,0,13,0
2016,5,7357,0,17,0
2016,5,7494,26.001460914295663,21,1
2016,5,7502,172.70170063841422,53,1
2016,5,7696,0,25,0
2016,5,9208,0,13,0
2016,5,10305,685.4250223100605,49,8
2016,5,10344,0,29,0
2016,5,10395,0,35,0
2016,5,7728,0,29,0
2016,5,7807,80.41967246589131,11,1
2016,5,7868,0,7,0
2016,5,7895,102.80452626673681,19,2
2016,5,7913,83.61555592580763,15,1
2016,5,8056,0,15,0
2016,5,8129,0,9,0
2016,5,8192,16.262965026324267,7,1
2016,5,8463,0,11,0
2016,5,8534,0,15,0
2016,5,8577,476.294620107818,51,9
2016,5,8704,0,13,0
2016,5,8869,212.87907833600343,35,2
2016,5,8944,0,19,0
2016,5,9126,0,21,0
2016,5,9349,0,13,0
2016,5,9600,209.33600760983404,55,3
2016,5,9796,0,15,0
2016,5,9798,193.49629654676326,41,6
2016,5,9871,666.2213462385544,55,4
2016,5,9925,0,17,0
2016,5,9972,50.751843760020535,9,1
2016,5,10002,197.35418594083148,49,5
2016,5,10083,0,15,0
2016,5,10166,0,27,0
2016,5,10201,0,7,0
2016,5,10228,0,17,0
2016,5,10234,28.050439281236613,25,1
2016,5,10585,1538.6623597211612,37,8
2016,5,11198,236.54150375226223,43,5
2016,5,11469,0,9,0
2016,5,11500,585.6071505642784,19,3
2016,5,11524,1588.6523794747984,73,25
2016,5,11639,187.1215471002883,31,2
2016,5,11763,0,9,0
2016,5,11766,34.482103567384094,25,1
2016,5,11894,0,29,0
2016,5,11990,189.7249992133652,37,1
2016,5,12092,1021.984115253282,33,8
2016,5,12266,153.81457059751548,21,3
2016,5,12430,0,11,0
2016,5,12793,0,9,0
2016,5,12657,17.26992382570186,23,2
2016,5,12804,303.924217193825,55,13
2016,5,13003,0,49,0
2016,5,13138,10.756921145165023,29,1
2016,5,13189,128.66967930810117,13,3
2016,5,13468,0,19,0
2016,5,13475,16.721758136057822,13,2
2016,5,13486,0,13,0
2016,5,13522,520.6755192011935,29,6
2016,5,13790,26.219451861261838,33,2
2016,5,13817,0,25,0
2016,5,13830,0,9,0
2016,5,13852,0,13,0
2016,5,13868,0,35,0
2016,5,13881,2568.5167640842546,47,11
2016,5,14020,89.44634606312206,27,2
2016,5,14124,0,35,0
2016,5,14219,0,55,0
2016,5,14363,1977.9561499884885,57,9
2016,5,14418,4.376091429241158,27,1
2016,5,14421,229.29274866096785,27,11
2016,5,14459,103.45861272498824,9,1
2016,5,14626,75.38281585733789,25,3
2016,5,14682,0,17,0
2016,5,14738,0,7,0
2016,5,14756,0,37,0
2016,5,14967,0,15,0
2016,5,15002,0,9,0
2016,5,15030,125.75017921236977,25,2
2016,5,15052,0,57,0
2016,5,15293,0,29,0
2016,5,15134,0,13,0
2016,5,15154,475.63969644086507,15,2
2016,5,15178,0,13,0
2016,5,15219,0,25,0
2016,5,15253,0,7,0
2016,5,15476,243.93314595314394,31,2
2016,5,15531,109.92005069871914,31,1
2016,5,15563,0,29,0
2016,5,15615,0,15,0
2016,5,15700,0,9,0
2016,5,15711,537.6353979640369,33,3
2016,5,15743,581.7371428078142,23,4
2016,5,15752,815.504668131193,41,6
2016,5,15770,0,11,0
2016,5,15790,0,11,0
2016,5,15913,32.07497204328692,21,3
2016,5,15971,0,25,0
2016,5,15977,0,23,0
2016,5,15996,0,21,0
2016,5,16022,0,23,0
2016,5,16025,189.6543561117071,109,14
2016,5,16060,0,13,0
2016,5,16091,101.28541046483657,33,2
2016,5,16113,0,15,0
2016,5,16140,0,29,0
2016,5,16171,0,7,0
2016,5,16195,0,11,0
2016,5,16257,3733.4633793842895,81,17
2016,5,16284,0,11,0
2016,5,16366,0,9,0
2016,5,16407,0,9,0
2016,5,16531,0,15,0
2016,5,16573,782.8517780940887,23,6
2016,5,16577,0,9,0
2016,5,16603,0,23,0
2016,5,16626,0,21,0
2016,5,16707,0,27,0
2016,5,16726,0,19,0
2016,5,16735,97.6380641228868,9,1
2016,5,16783,0,9,0
2016,5,16798,0,15,0
2016,5,16854,282.46916056783743,21,2
2016,5,16878,402.7676148535416,31,3
2016,5,16885,1414.236273489746,47,8
2016,5,16999,0,11,0
2016,5,17025,0,45,0
2016,5,17198,211.54425004660257,17,1
2016,5,17245,30.320092867111796,15,1
2016,5,17330,764.1254359262463,31,7
2016,5,17345,0,11,0
2016,5,17400,56.82091780557534,27,1
2016,5,17457,0,25,0
2016,5,17504,0,13,0
2016,5,17526,2617.2926574759113,61,14
2016,5,17601,0,13,0
2016,5,17616,0,9,0
2016,5,17793,26.54988260201269,23,1
2016,5,17813,0,35,0
2016,5,17837,1793.8964659643066,63,14
2016,5,17844,0,13,0
2016,5,17903,0,7,0
2016,5,17934,152.65645862388217,17,1
2016,5,18055,0,21,0
2016,5,18471,0,11,0
2016,5,18452,80.5232944721305,15,1
2016,5,18516,0,23,0
2016,5,18559,0,15,0
2016,5,18575,420.2869860703267,35,4
2016,5,18782,0,19,0
2016,5,18845,0,11,0
2016,5,18876,0,31,0
2016,5,18884,0,13,0
2016,5,18892,152.31753304695425,7,1
2016,5,18912,20.26044417282791,23,1
2016,5,18994,143.67195134146502,23,2
2016,5,19045,0,11,0
2016,5,19189,116.08734005183798,33,1
2016,5,19213,290.30296060769433,37,3
2016,5,19222,583.9768471433983,39,4
2016,5,19251,0,59,0
2016,5,19252,0,9,0
2016,5,19323,1392.695566191834,71,11
2016,5,19444,0,9,0
2016,5,19533,0,39,0
2016,5,19646,685.4715617737451,47,5
2016,5,19780,0,7,0
2016,5,19901,0,19,0
2016,5,19966,0,11,0
2016,5,19982,0,7,0
2016,5,20166,0,13,0
2016,5,20217,0,13,0
2016,5,20268,207.9077638756408,39,1
2016,5,20282,0,35,0
2016,5,20325,0,17,0
2016,5,20613,89.07716717433178,57,1
2016,5,20616,0,13,0
2016,5,20697,0,35,0
2016,5,20700,0,51,0
2016,5,20753,0,11,0
2016,5,20760,0,23,0
2016,6,1361,0,149,0
2016,6,2026,3358.6660109518907,127,19
2016,6,2178,0,87,0
2016,6,2191,5101.987208346804,201,23
2016,6,2244,0,57,0
2016,6,2548,0,43,0
2016,6,2919,0,67,0
2016,6,2978,0,41,0
2016,6,3008,178.36121275340776,109,1
2016,6,3202,598.8984831202639,193,7
2016,6,3881,8056.5951363929325,289,33
2016,6,4014,0,65,0
2016,6,4933,5262.520410974579,191,29
2016,6,5361,324.59262787322973,83,6
2016,6,6356,1469.7966536809904,149,12
2016,6,6665,1467.1217923884399,71,9
2016,6,6863,0,47,0
2016,6,7044,2880.696436027998,85,13
2016,6,7217,448.0996368795792,37,6
2016,6,7247,0,27,0
2016,6,7397,399.5172510628835,57,7
2016,6,8150,2455.4067797883927,133,15
2016,6,7732,1759.7122137274305,77,8
2016,6,7874,4.542374440418577,39,1
2016,6,8668,287.5848626924779,75,6
2016,6,8732,429.5931200938026,43,5
2016,6,9269,270.32771651121163,49,3
2016,6,9314,27.224328268730588,41,1
2016,6,9989,822.170738992666,69,9
2016,6,10295,349.23567379371195,59,7
2016,6,10510,4633.248750217145,307,32
2016,6,10735,4334.319824769473,133,24
2016,6,10832,3183.2313257318747,117,27
2016,6,12218,1409.0635757805985,91,21
2016,6,12441,933.318317228963,125,27
2016,6,12731,0,25,0
2016,6,12847,0,45,0
2016,6,13326,585.5194898857364,69,20
2016,6,14045,2861.910232271168,75,12
2016,6,14438,0,115,0
2016,6,14696,315.5533779399075,57,6
2016,6,14936,93.20942990112356,75,1
2016,6,14968,479.0434342526716,37,4
2016,6,15093,631.2895996644864,75,6
2016,6,15361,0,105,0
2016,6,15428,4549.840258342307,131,20
2016,6,15448,0,41,0
2016,6,15618,0,41,0
2016,6,16183,4122.233172624707,145,20
2016,6,16349,369.89306084479375,43,2
2016,6,16468,4458.877596376791,109,24
2016,6,16629,6820.997808120796,197,35
2016,6,16632,280.57363376605105,89,13
2016,6,16660,337.8781771937469,29,3
2016,6,16669,215.3562291578943,73,2
2016,6,16849,868.6779984921188,109,8
2016,6,16877,1026.0621850602995,79,8
2016,6,16960,880.2511158190168,213,7
2016,6,17067,166.26859056338873,47,2
2016,6,17426,3381.621086332376,95,14
2016,6,17487,3018.6682490884136,95,17
2016,6,17748,2286.712544374151,91,18
2016,6,17807,5164.12030140863,131,28
2016,6,18300,469.66667287153797,45,5
2016,6,18307,8850.30090286457,209,37
2016,6,18524,0,29,0
2016,6,18944,470.49652498002115,57,4
2016,6,19619,4655.181994393444,179,18
2016,6,19622,1581.416786877021,61,9
2016,6,20036,1031.3006779138375,95,7
2016,6,20215,153.4627925494956,79,1
2016,7,1814,2003.474041076352,317,13
2016,7,1985,22053.154536529597,679,112
2016,7,2101,9725.569237701411,337,47
2016,7,10822,10684.511724869872,433,60
2016,7,12002,17861.81201954752,1305,188
2016,7,12103,5630.128106347779,391,46
2016,7,12267,45533.99415505716,1713,250
2016,7,13074,29158.52188435493,1903,254
2016,7,15014,1204.784183850295,177,6
2016,7,16892,27062.221047930158,1142,119
2016,7,16917,24630.78583535678,775,125
2016,7,17129,8423.081420166953,233,43
2016,7,17137,3404.2114031189444,365,19
2016,7,17217,3064.896028518133,137,17
2016,7,17257,10751.910389454019,283,42
2016,7,17642,8949.370263437653,257,54
2016,7,17942,13967.221554773481,457,63
2018,5,1165,0,13,0
2018,5,1360,0,23,0
2018,5,1471,0,23,0
2018,5,1512,0,21,0
2018,5,1516,0,45,0
2018,5,1578,0,13,0
2018,5,1661,0,13,0
2018,5,1749,0,13,0
2018,5,1847,0,63,0
2018,5,2090,0,41,0
2018,5,2142,0,17,0
2018,5,2167,0,47,0
2018,5,2212,0,23,0
2018,5,2252,0,17,0
2018,5,2284,0,13,0
2018,5,2397,0,9,0
2018,5,2478,0,35,0
2018,5,2589,0,19,0
2018,5,2636,0,27,0
2018,5,2802,0,9,0
2018,5,2881,0,13,0
2018,5,2900,0,21,0
2018,5,3054,0,27,0
2018,5,2983,0,17,0
2018,5,3085,0,19,0
2018,5,3086,0,17,0
2018,5,3099,0,9,0
2018,5,3154,0,57,0
2018,5,3288,0,11,0
2018,5,3326,0,17,0
2018,5,3376,0,7,0
2018,5,3394,0,25,0
2018,5,3690,0,53,0
2018,5,3707,0,21,0
2018,5,3716,0,37,0
2018,5,3781,0,17,0
2018,5,3928,0,13,0
2018,5,3954,0,31,0
2018,5,4128,228.98341036949472,17,1
2018,5,4196,0,21,0
2018,5,4224,0,17,0
2018,5,4298,0,65,0
2018,5,4324,0,11,0
2018,5,4536,0,7,0
2018,5,4657,0,13,0
2018,5,4721,0,25,0
2018,5,4774,334.8077797018897,61,1
2018,5,4864,0,7,0
2018,5,5025,127.72648126895041,47,4
2018,5,5079,95.10861875771829,73,5
2018,5,5134,0,11,0
2018,5,5202,5684.689398278664,123,22
2018,5,5277,0,15,0
2018,5,5285,0,11,0
2018,5,5440,0,15,0
2018,5,5542,0,17,0
2018,5,5570,0,7,0
2018,5,5745,85.83821325568569,17,1
2018,5,5696,1755.7284069921152,53,7
2018,5,5810,0,17,0
2018,5,5890,0,21,0
2018,5,5897,0,15,0
2018,5,5938,0,23,0
2018,5,5957,0,13,0
2018,5,6142,25.910340284873737,13,1
2018,5,6097,0,7,0
2018,5,6135,14.896761673467187,15,2
2018,5,6164,0,13,0
2018,5,6191,0,23,0
2018,5,6192,0,37,0
2018,5,6221,98.16965679740571,25,2
2018,5,6265,768.8904679397842,23,4
2018,5,6296,56.82542044415116,31,1
2018,5,6326,0,7,0
2018,5,6352,0,15,0
2018,5,6417,0,11,0
2018,5,6431,1873.0407802224217,41,7
2018,5,6497,0,7,0
2018,5,6535,294.1024285520415,21,3
2018,5,6581,0,43,0
2018,5,6618,0,27,0
2018,5,6787,0,17,0
2018,5,6875,0,27,0
2018,5,7119,0,41,0
2018,5,7172,0,15,0
2018,5,7268,162.99548120879143,17,2
2018,5,7296,147.70929816277473,37,6
2018,5,7329,0,11,0
2018,5,7341,0,15,0
2018,5,7343,0,13,0
2018,5,7357,0,17,0
2018,5,7494,22.395339841436712,21,1
2018,5,7502,227.06378670287071,53,1
2018,5,7696,0,25,0
2018,5,9208,0,13,0
2018,5,10305,1049.6208893185128,49,8
2018,5,10344,0,29,0
2018,5,10395,0,35,0
2018,5,7728,0,29,0
2018,5,7807,47.07576914138366,11,1
2018,5,7868,0,7,0
2018,5,7895,104.51514012416493,19,2
2018,5,7913,157.56092886506312,15,1
2018,5,8056,0,15,0
2018,5,8129,0,9,0
2018,5,8192,19.69851598312696,7,1
2018,5,8463,0,11,0
2018,5,8534,0,15,0
2018,5,8577,89.2054703039475,51,9
2018,5,8704,0,13,0
2018,5,8869,165.69485862345908,35,2
2018,5,8944,0,19,0
2018,5,9126,0,21,0
2018,5,9349,0,13,0
2018,5,9600,45.96074460378408,55,3
2018,5,9796,0,15,0
2018,5,9798,229.710396412935,41,6
2018,5,9871,508.9865779013661,55,4
2018,5,9925,0,17,0
2018,5,9972,105.3153733976082,9,1
2018,5,10002,20.71024578357689,49,3
2018,5,10083,0,15,0
2018,5,10166,0,27,0
