year,stream_order,focal_reach,group_individuals,n_reaches_in_group,n_reaches_with_production,basin_total_run
2015,5,15052,0,57,0,161749
2015,5,15293,0,29,0,161749
2015,5,15134,0,13,0,161749
2015,5,15154,143.10709267427671,15,2,161749
2015,5,15178,0,13,0,161749
2015,5,15219,0,25,0,161749
2015,5,15253,0,7,0,161749
2015,5,15476,67.6371999995771,31,2,161749
2015,5,15531,45.75961163772673,31,1,161749
2015,5,15563,0,29,0,161749
2015,5,15615,0,15,0,161749
2015,5,15700,0,9,0,161749
2015,5,15711,201.991384069014,33,3,161749
2015,5,15743,227.1301634215992,23,4,161749
2015,5,15752,402.47301923880553,41,6,161749
2015,5,15770,0,11,0,161749
2015,5,15790,0,11,0,161749
2015,5,15913,41.47111642389659,21,2,161749
2015,5,15971,0,25,0,161749
2015,5,15977,0,23,0,161749
2015,5,15996,0,21,0,161749
2015,5,16022,0,23,0,161749
2015,5,16025,133.67921593014717,109,5,161749
2015,5,16060,0,13,0,161749
2015,5,16091,30.69446360043132,33,2,161749
2015,5,16113,0,15,0,161749
2015,5,16140,0,29,0,161749
2015,5,16171,0,7,0,161749
2015,5,16195,0,11,0,161749
2015,5,16257,1553.475478358545,81,17,161749
2015,5,16284,0,11,0,161749
2015,5,16366,0,9,0,161749
2015,5,16407,0,9,0,161749
2015,5,16531,0,15,0,161749
2015,5,16573,385.6381690195813,23,6,161749
2015,5,16577,0,9,0,161749
2015,5,16603,0,23,0,161749
2015,5,16626,0,21,0,161749
2015,5,16707,0,27,0,161749
2015,5,16726,0,19,0,161749
2015,5,16735,51.2572471404008,9,1,161749
2015,5,16783,0,9,0,161749
2015,5,16798,0,15,0,161749
2015,5,16854,149.8993702005859,21,2,161749
2015,5,16878,176.69553757852208,31,3,161749
2015,5,16885,677.0312408645216,47,8,161749
2015,5,16999,0,11,0,161749
2015,5,17025,0,45,0,161749
2015,5,17198,112.64182709014769,17,1,161749
2015,5,17245,11.643010844579884,15,1,161749
2015,5,17330,393.28949937648065,31,7,161749
2015,5,17345,0,11,0,161749
2015,5,17400,38.36074002743237,27,1,161749
2015,5,17457,0,25,0,161749
2015,5,17504,0,13,0,161749
2015,5,17526,1252.3386076219397,61,14,161749
2015,5,17601,0,13,0,161749
2015,5,17616,0,9,0,161749
2015,5,17793,15.327818035540052,23,1,161749
2015,5,17813,0,35,0,161749
2015,5,17837,987.7090346166797,63,14,161749
2015,5,17844,0,13,0,161749
2015,5,17903,0,7,0,161749
2015,5,17934,83.97847839774758,17,1,161749
2015,5,18055,0,21,0,161749
2015,5,18471,0,11,0,161749
2015,5,18452,28.82553332438988,15,1,161749
2015,5,18516,0,23,0,161749
2015,5,18559,0,15,0,161749
2015,5,18575,214.53810134587968,35,4,161749
2015,5,18782,0,19,0,161749
2015,5,18845,0,11,0,161749
2015,5,18876,0,31,0,161749
2015,5,18884,0,13,0,161749
2015,5,18892,70.64704233394161,7,1,161749
2015,5,18912,11.590403457464236,23,1,161749
2015,5,18994,79.1865029015495,23,2,161749
2015,5,19045,0,11,0,161749
2015,5,19189,65.22731794536513,33,1,161749
2015,5,19213,143.3076999384512,37,3,161749
2015,5,19222,303.918049390213,39,4,161749
2015,5,19251,0,59,0,161749
2015,5,19252,0,9,0,161749
2015,5,19323,494.7543170527448,71,11,161749
2015,5,19444,0,9,0,161749
2015,5,19533,0,39,0,161749
2015,5,19646,316.1324344663017,47,5,161749
2015,5,19780,0,7,0,161749
2015,5,19901,0,19,0,161749
2015,5,19966,0,11,0,161749
2015,5,19982,0,7,0,161749
2015,5,20166,0,13,0,161749
2015,5,20217,0,13,0,161749
2015,5,20268,110.89070125733548,39,1,161749
2015,5,20282,0,35,0,161749
2015,5,20325,0,17,0,161749
2015,5,20613,29.149101939709357,57,1,161749
2015,5,20616,0,13,0,161749
2015,5,20697,0,35,0,161749
2015,5,20700,0,51,0,161749
2015,5,20753,0,11,0,161749
2015,5,20760,0,23,0,161749
2015,6,1361,0,149,0,161749
2015,6,2026,1090.9183462383855,127,19,161749
2015,6,2178,0,87,0,161749
2015,6,2191,1494.3175291905018,201,22,161749
2015,6,2244,0,57,0,161749
2015,6,2548,0,43,0,161749
2015,6,2919,0,67,0,161749
2015,6,2978,0,41,0,161749
2015,6,3008,59.15317997566781,109,1,161749
2015,6,3202,204.1634682821354,193,7,161749
2015,6,3881,2335.592439492105,289,33,161749
2015,6,4014,0,65,0,161749
2015,6,4933,1533.807239172696,191,25,161749
2015,6,5361,119.50112249225137,83,5,161749
2015,6,6356,608.0167899032645,149,11,161749
2015,6,6665,453.56666883785937,71,9,161749
2015,6,6863,0,47,0,161749
2015,6,7044,866.168163625603,85,13,161749
2015,6,7217,121.07649687229032,37,7,161749
2015,6,7247,0,27,0,161749
2015,6,7397,179.47050812553263,57,7,161749
2015,6,8150,1027.0798956896049,133,15,161749
2015,6,7732,891.3124613486636,77,8,161749
2015,6,7874,6.869155316887064,39,1,161749
2015,6,8668,88.99696647547226,75,6,161749
2015,6,8732,343.6698365443735,43,5,161749
2015,6,9269,155.34221514650693,49,3,161749
2015,6,9314,18.089381371776895,41,1,161749
2015,6,9989,503.3124100586553,69,9,161749
2015,6,10295,74.7063080703814,59,7,161749
2015,6,10510,1234.366783553432,307,32,161749
2015,6,10735,1976.5337261995962,133,24,161749
2015,6,10832,2218.803181581035,117,27,161749
2015,6,12218,1122.7060626326313,91,17,161749
2015,6,12441,473.27504706610625,125,13,161749
2015,6,12731,0,25,0,161749
