focal_reach,stream_order,Year_2015,Year_2016,Year_2017,Year_2018,Year_2019,Year_2021
11500,5,182.62003948761054,165.57136523776907,308.21772684720474,270.4178180020138,333.982572796975,35.515024101572664
11524,5,510.09766094522416,835.714788202466,1105.5648787732994,445.55927958672845,1580.8138555625521,0
11639,5,89.69306541137628,72.6116819338898,67.75738535399262,121.99546559211385,153.62280124244526,51.4868418201587
11763,5,0,0,0,0,0,0
11766,5,21.51989404685001,20.564283598079353,50.88278111575594,15.616331298365129,17.700627004183733,26.16642334961641
11894,5,0,0,0,0,0,0
11990,5,58.92307530947396,50.885707307181235,114.452749716638,92.12988340072242,77.9669232292674,11.268566277345707
12092,5,541.7952331395576,788.4239702275376,943.4132771098288,274.62924948545754,421.7075582263198,978.4125434423171
12266,5,100.37804203421442,118.93792594372655,686.266017858911,286.82462169712164,219.86337520881463,220.06327017806169
12430,5,0,0,0,0,0,0
12657,5,0,0,8.555807230119488,0,42.38509969824183,15.316483442113151
12793,5,0,0,0,0,0,0
12804,5,0,6.273898010655314,260.3892192741766,9.470415945654468,95.81526393198538,30.876626982245106
13003,5,0,0,0,0,0,0
13138,5,15.211941964534155,5.88112252075715,14.506564596353194,0,18.536817682194137,14.355988349330485
13189,5,153.1113208115769,140.86653091325908,303.8509172607867,191.49847373766528,213.45327285634164,208.34925619929845
13468,5,0,0,0,0,0,0
13475,5,0,0,0,0,0,13.017987818829685
13486,5,0,0,0,0,0,0
13522,5,416.0013049770631,424.2073233537929,2000.9400152497367,894.7700499732621,843.0300387949344,741.4260351165406
13790,5,42.05333883570477,28.70484519743888,18.414929309948835,46.61633071296373,64.16591433662765,54.3169544572455
13817,5,0,0,0,0,0,0
13830,5,0,0,0,0,0,0
13852,5,0,0,0,0,0,0
13868,5,0,0,0,0,0,0
13881,5,733.8161076109076,755.5482227303115,1376.5465411762175,1244.680061235246,1347.608505528141,140.09937755874904
14020,5,54.346028995622234,28.02995906506685,8.472027517669618,7.497225245976476,25.782860168306215,0
14124,5,0,0,0,0,0,0
14219,5,0,0,0,0,0,0
14363,5,554.166912890599,574.0713800930589,883.5121319359131,1002.8179314100347,1087.583094344375,113.10236345533909
14418,5,38.818201222494714,4.790909730336413,27.82071918875768,22.68637942930653,114.88822103760586,0
14421,5,156.84571486192624,171.55116730863736,310.5140388312037,119.18088140043439,413.4067605045716,0
14459,5,66.38896429617937,84.52964887469577,409.52634235661617,200.30172100272168,177.8209845998423,155.7228002615918
14626,5,0,0,68.60696904242813,0,0,14.650090626309414
14682,5,0,0,0,0,0,0
14738,5,0,0,0,0,0,0
14756,5,0,0,0,0,0,0
14967,5,0,0,0,0,0,0
15002,5,0,0,0,0,0,0
15030,5,37.61727154538717,84.9894497169959,117.50960079005517,52.3182114158368,91.2280134072168,59.85984012016068
15052,5,0,0,0,0,0,0
15134,5,0,0,0,0,0,0
15154,5,143.10709267427671,133.77884608518733,273.78283956227426,222.45687048617606,271.5932003139456,25.978926161727244
15178,5,0,0,0,0,0,0
15219,5,0,0,0,0,0,0
15253,5,0,0,0,0,0,0
15293,5,0,0,0,0,0,0
15476,5,67.6371999995771,76.60953191695809,98.98704726926232,138.27501892676375,160.19735781249867,13.094612404310478
15531,5,45.75961163772673,47.472925829120754,28.297249650599035,70.23626383053049,61.2960817498511,26.14773776039883
15563,5,0,0,0,0,0,0
15615,5,0,0,0,0,0,0
15700,5,0,0,0,0,0,0
15711,5,201.991384069014,313.69862170015693,361.52383871813856,245.7212344365969,449.3192915309113,169.24529626786193
15743,5,227.1301634215992,361.48658741748704,406.10732947912055,242.47600072993907,474.5028919812371,218.557488571527
15752,5,402.47301923880553,443.78607219519364,491.5109967027662,452.12781257713516,739.374193604661,230.11755302372222
15770,5,0,0,0,0,0,0
15790,5,0,0,0,0,0,0
15913,5,41.47111642389659,12.526515436791701,60.614308450212725,19.125268093856555,63.06755404202401,57.06399562822882
15971,5,0,0,0,0,0,0
15977,5,0,0,0,0,0,0
15996,5,0,0,0,0,0,0
16022,5,0,0,0,0,0,0
16025,5,133.67921593014717,61.314909664122304,259.792683142738,89.87086471222185,402.16301298200136,218.99943907870448
16060,5,0,0,0,0,0,0
16091,5,30.69446360043132,29.538690503438254,139.84232516765852,14.27826317570816,0,0
16113,5,0,0,0,0,0,0
16140,5,0,0,0,0,0,0
16171,5,0,0,0,0,0,0
16195,5,0,0,0,0,0,0
16257,5,1553.475478358545,2393.207202464996,2512.1057100983558,1680.5654578316266,2450.185142370046,1301.5369849878066
16284,5,0,0,0,0,0,0
16366,5,0,0,0,0,0,0
16407,5,0,0,0,0,0,0
16531,5,0,0,0,0,0,0
16573,5,385.6381690195813,588.6908902338376,681.9283025421903,202.35442630531813,246.9832218868272,516.8411255316529
16577,5,0,0,0,0,0,0
16603,5,0,0,0,0,0,0
16626,5,0,0,0,0,0,0
16707,5,0,0,0,0,0,0
16726,5,0,0,0,0,0,0
16735,5,51.2572471404008,30.061673047407893,19.03213341098006,16.59008956727656,28.137908451770436,3.5033477264205386
16783,5,0,0,0,0,0,0
16798,5,0,0,0,0,0,0
16854,5,149.8993702005859,115.20792768050688,110.63053584189936,184.05421431778308,276.68305464726774,68.86668885998165
16878,5,176.69553757852208,203.7082950057966,213.88538060618322,200.19891391638848,423.0665899164564,95.96733638341195
16885,5,677.0312408645216,749.5753117305874,803.1972459454705,778.2988082037044,1153.0018895062008,421.6873289646078
16999,5,0,0,0,0,0,0
17025,5,0,0,0,0,0,0
17198,5,112.64182709014769,108.4592978359483,100.05962158968138,140.91940466093632,180.96037553725068,49.89116983488803
17245,5,11.643010844579884,16.156111200669876,50.66028360552569,9.320236159764582,17.592201426089204,26.11697332824751
17330,5,393.28949937648065,548.5217840571873,702.2559324499811,253.751909589455,191.9041737293816,400.9612739593422
17345,5,0,0,0,0,0,0
17400,5,38.36074002743237,44.31640668111688,85.41056925981566,9.385788338803602,0,41.50623650354104
17457,5,0,0,0,0,0,0
17504,5,0,0,0,0,0,0
17526,5,1252.3386076219397,1957.464683945005,2457.337482588977,938.6153502941402,712.8579809852461,1755.0906418213222
17601,5,0,0,0,0,0,0
17616,5,0,0,0,0,0,0
17793,5,15.327818035540052,19.529842301914552,14.447846726655795,25.59118417321536,0,0
17813,5,0,0,0,0,0,0
17837,5,987.7090346166797,1394.8279975211603,1559.5217360980462,481.06498414789047,610.47261398192,1623.741912637115
17844,5,0,0,0,0,0,0
17903,5,0,0,0,0,0,0
17934,5,83.97847839774758,126.08921026371002,129.84960705328032,51.27058465784393,68.70549867677337,185.1352316191407
18055,5,0,0,0,0,0,0
18452,5,28.82553332438988,36.2890720594133,27.718351396791856,62.12513969759636,60.34533153021949,25.87985338150412
18471,5,0,0,0,0,0,0
18516,5,0,0,0,0,0,0
18559,5,0,0,0,0,0,0
18575,5,214.53810134587968,329.8545740367555,394.8546664847561,98.42597244241514,105.48358521541435,234.37438785390816
18782,5,0,0,0,0,0,0
18845,5,0,0,0,0,0,0
18876,5,0,0,0,0,0,0
18884,5,0,0,0,0,0,0
18892,5,70.64704233394161,111.83457505590802,140.93229244609094,35.112726276523276,53.76710977227459,87.01812783266668
18912,5,11.590403457464236,5.317228915426135,8.456177299714886,9.333881386441972,0,0
18994,5,79.1865029015495,108.30283573055466,125.95943850231879,32.32293311728854,17.466574592815963,77.04193498020796
19045,5,0,0,0,0,0,0
19189,5,65.22731794536513,84.35865916930024,98.61629700611418,26.331316194796635,34.969860186724816,55.43425252767447
19213,5,143.3076999384512,209.72924786982912,334.7506590647307,78.25812775889281,53.187778097137794,169.1165773217502
19222,5,303.918049390213,424.6135375612352,535.9763964936683,153.4873552639972,220.90004730498202,371.3620953913945
19251,5,0,0,0,0,0,0
19252,5,0,0,0,0,0,0
19323,5,494.7543170527448,909.0798790795669,1060.6682132250348,576.2025517659056,1143.757374268331,521.3377515078012
19444,5,0,0,0,0,0,0
19533,5,0,0,0,0,0,0
19646,5,316.1324344663017,387.8872252109002,324.4297716030809,292.72318883692554,627.322140388596,142.27007232512437
19780,5,0,0,0,0,0,0
19901,5,0,0,0,0,0,0
19966,5,0,0,0,0,0,0
19982,5,0,0,0,0,0,0
20166,5,0,0,0,0,0,0
20217,5,0,0,0,0,0,0
20268,5,110.89070125733548,106.7683228931922,98.39164857805147,138.870405900611,177.26822220143947,49.001437425336405
20282,5,0,0,0,0,0,0
20325,5,0,0,0,0,0,0
20613,5,29.149101939709357,38.913142237500146,41.87539401155981,32.286292076705124,111.62445361560088,18.344878097585127
20616,5,0,0,0,0,0,0
20697,5,0,0,0,0,0,0
20700,5,0,0,0,0,0,0
20753,5,0,0,0,0,0,0
20760,5,0,0,0,0,0,0
1361,6,0,0,0,0,0,0
2026,6,1090.9183462383855,961.5493903173168,2069.3200690536446,1475.9913994662809,1422.3080485326568,190.84745011371837
2178,6,0,0,0,0,0,0
2191,6,1494.3175291905018,1504.2762395852055,2733.073674307737,2504.02432651977,2731.4774018267917,284.11585021131975
2244,6,0,0,0,0,0,0
2548,6,0,0,0,0,0,0
2919,6,0,0,0,0,0,0
2978,6,0,0,0,0,0,0
3008,6,59.15317997566781,53.05133635339292,123.02709553868551,58.17228971095557,102.40472924232895,10.784007214159091
3202,6,204.1634682821354,175.93671862939897,547.5407141055899,224.18725032420812,170.3895416196663,10.546116314258594
3881,6,2335.592439492105,2297.2573553306656,4143.033292484009,3841.4019206355306,4211.97106919934,441.65779064186995
4014,6,0,0,0,0,0,0
4933,6,1533.807239172696,1533.1335771699485,2978.9903160091603,2177.147443562573,2787.980449375768,240.2879530695686
5361,6,119.50112249225137,40.03989150227301,132.3477802250581,7.515119630249903,27.453460877093104,0
6356,6,608.0167899032645,944.705655399419,1086.136886940866,487.8752445818905,538.7973772046803,543.129840545415
6665,6,453.56666883785937,409.0271185984714,965.9963973126105,619.549051670477,740.0316254804653,75.26670277222833
6863,6,0,0,0,0,0,0
7044,6,866.168163625603,799.1486212890777,1798.1036856010526,1213.6972043922676,1469.7078446409569,149.55363775601512
7217,6,121.07649687229032,227.336640602769,306.06163738270476,126.96652538114797,389.34517558685377,0
7247,6,0,0,0,0,0,0
7397,6,179.47050812553263,144.69207809888454,46.26239784365664,86.76952209824239,166.70385208077403,26.75717840715541
7732,6,891.3124613486636,772.0893434606303,679.602984586538,985.929858998689,1441.3585016365348,381.7806541335708
7874,6,6.869155316887064,4.972955034718381,8.946755906502432,11.67861582421669,22.617906906251424,0
8150,6,1027.0798956896049,948.6786232075939,926.9867015940108,809.3460979340575,1439.3200827934568,361.81419905062614
8668,6,88.99696647547226,136.9805243025583,180.5588959154429,58.32115711014558,189.82791632010722,0
8732,6,343.6698365443735,343.20157049303714,1691.0280483779638,759.804416964871,680.9675387431028,624.7233322084332
9269,6,155.34221514650693,202.96306951809504,274.1041269770225,184.4015262650159,280.22014174068096,253.64599421820384
9314,6,18.089381371776895,20.82548504361088,15.261459071412338,17.237631119495703,37.74591816925285,101.19755867499602
9989,6,503.3124100586553,640.7110819583362,2534.4511878838334,1355.435670554533,1390.0505610328707,1144.1627785957521
10295,6,74.7063080703814,90.98317049737699,208.45197368423263,37.645764700292645,231.56040434149259,0
10510,6,1234.366783553432,1388.6191969059128,2758.1713351486283,1578.2467753198994,2353.8009889581617,156.25091829634138
10735,6,1976.5337261995962,2279.1758665896136,2433.8765653201754,2110.89097750809,3335.4775983640548,1216.4266006873586
10832,6,2218.803181581035,2641.9644272225964,8846.372449675413,3861.4519425705594,3866.0604931271796,4193.585780188955
12218,6,1122.7060626326313,1121.8515669742874,4336.947516964804,2219.9272136352565,2639.717209635671,2209.377670377183
12441,6,473.27504706610625,481.7403827270511,2434.5326257333027,971.1488872231178,1010.5106467732317,896.8774728418259
12731,6,0,0,0,0,0,0
12847,6,0,0,0,0,0,0
13326,6,409.5680438210229,429.58263125504806,666.9642483183487,309.47247986735397,1213.4598630282744,0
14045,6,814.2449904251636,832.5552028865444,1537.9197196669375,1370.5573701885253,1508.670399678044,154.33008350151553
14438,6,0,0,0,0,0,0
14696,6,322.4617483295623,301.0053179343705,615.9511321208881,391.9777074272867,544.8898272960225,683.846385790191
14936,6,37.56709353461111,72.7571250551579,81.81171512099027,21.47987155926787,37.3425503674622,120.25262549485548
14968,6,168.77223834340242,290.10929714787954,363.3475143083348,207.0993741461881,375.7387329803774,172.30860327165752
15093,6,272.6407746407112,432.74812473224927,511.24581377218607,291.85471706185723,401.858847246967,242.50377468238014
15361,6,0,0,0,0,0,0
15428,6,1315.092005472606,1208.6750425967614,2730.361159065035,1867.9997441454266,2372.075100216684,219.29792994984655
15448,6,0,0,0,0,0,0
15618,6,0,0,0,0,0,0
16183,6,1930.3913480229617,2253.2928789828807,2587.6348160579532,2328.0835048115473,3345.8323519368782,1299.6964392500608
16349,6,177.67857875260495,152.9555258054446,140.0089917487077,236.65234520196736,333.896958033584,79.28584153028237
16468,6,2157.695536366251,2412.970904802943,2601.227732341949,2257.4479892814097,3296.7209041737606,1492.8869404499756
16629,6,3271.9505491939335,5026.0969943814835,6281.324834858103,2197.679033935509,2085.062629615128,4954.838182640044
16632,6,236.5480962718895,136.99207879549172,664.7398071404949,257.23430157938645,389.175771255298,388.914441154952
16660,6,155.26189459967054,109.53892889534104,57.84307017189603,50.69003805577546,117.51733765083907,17.82510147323196
16669,6,97.42378372867267,164.47777994743342,203.11935249924224,33.25366212209517,73.27607662499037,218.3482754954079
16849,6,339.7596287717338,529.9622040608626,511.12629205955074,284.20372886607413,789.699650402867,235.263768151643
16877,6,481.8345734260014,525.8160659843106,562.6567305153517,523.3431522609245,1039.8694135295848,279.94962001138674
16960,6,425.46034496681546,649.5004063458916,814.1933855348467,210.95066075639164,310.7150199753663,536.9709181420402
17067,6,78.32036140573855,118.74145588344412,130.05252519925546,74.45854459495378,154.4554421230271,59.2998730952922
17426,6,1582.849881065312,2429.773554871656,2842.152971129244,1187.5695148166228,1449.7488777498825,1562.2485395170418
17487,6,1496.7656000685688,2239.3216439924254,2863.8453567725096,874.079264879351,921.8516860942555,2205.9493042071854
17748,6,1216.7394628816305,1765.8171143274128,2028.66646682447,627.564289472042,776.5670129418545,2053.3427864757205
17807,6,2622.586463068914,3833.318787110958,4895.632884885158,1437.86923571926,1677.052968152414,4404.36729353028
18300,6,233.72360774534027,350.2953780591914,444.78135207806497,147.18686645762764,102.4773512641815,330.3055795298727
18307,6,4136.698116458094,3600.895291939631,3058.73262271625,4462.981622533107,7089.798641852086,1691.595145331909
18524,6,0,0,0,0,0,0
