reachid,Str_Order,iso_pred,assignment_sum,assignment_rescale,assignment_norm,assignment_individuals,GENLMU
1533,4,0.709495274716,50.755107307060975,3.979638299965836e-4,0.9057594687090195,36.819427008112996,upper
1580,3,0.706828063563,18.850643426153756,1.4780530775724358e-4,0.3364025746453474,13.674877790844024,upper
1723,4,0.710018475951,49.77135103680213,3.902503321070638e-4,0.88820366784551,36.10577779903074,upper
1724,4,0.70770263872,0,0,0,0,upper
1782,3,0.707911227781,0,0,0,0,upper
1812,3,0.707451799355,27.07275339732869,2.1227374351457802e-4,0.4831317287007953,19.639467247917988,upper
1838,4,0.708442873366,40.46578967633607,3.1728670271554256e-4,0.7221395856063944,29.355217008993147,upper
1537,6,0.710767685472,49.29334605984604,3.865023606913791e-4,0.879673343372966,35.759017240490834,upper
1539,5,0.70693551412,0,0,0,0,upper
1540,3,0.707769892521,0,0,0,0,upper
1541,4,0.707159211202,0,0,0,0,upper
1542,6,0.714014371929,45.19929118666443,3.544014383607339e-4,0.8066121449330869,32.78905495357535,upper
1543,3,0.705845583412,15.421445661929067,1.2091743876289068e-4,0.27520620427356796,11.187224755014663,upper
1544,3,0.70815315487,34.87119939821348,2.734202882309143e-4,0.6223003105694955,25.296716902995406,upper
1545,3,0.707106932386,0,0,0,0,upper
1546,5,0.710474058329,0,0,0,0,upper
1547,3,0.716885499541,27.968489315479125,2.192970859044593e-4,0.49911674641377446,20.289263593679962,upper
1548,8,0.711300979628,52.101718035963174,4.085224198926955e-4,0.9297906545951862,37.79630279602525,upper
1549,3,0.711248032632,0,0,0,0,upper
1550,3,0.706935129881,0,0,0,0,upper
1551,3,0.705347680718,13.87687514761539,1.0880667336036045e-4,0.24764229114922817,10.06674241682159,upper
1552,3,0.709489632887,0,0,0,0,upper
1553,4,0.708727301949,0,0,0,0,upper
1554,4,0.708301755744,37.45235893460991,2.936588058784502e-4,0.6683628610079302,27.16917506906103,upper
1555,3,0.711055033355,49.755254383566914,3.901241204583945e-4,0.8879164121020807,36.09410075645681,upper
1556,6,0.710696414159,48.62915035656348,3.812944933461981e-4,0.8678203185397325,35.27718779487143,upper
1557,4,0.708644336791,0,0,0,0,upper
1561,3,0.707019808342,0,0,0,0,upper
1562,3,0.714209823123,43.622731610954446,3.420398511184575e-4,0.7784773652143858,31.645366696340208,upper
1563,3,0.706904325567,0,0,0,0,upper
1565,4,0.70733965303,25.39321168591161,1.9910468748104716e-4,0.45315916260997086,18.421072356612154,upper
1566,3,0.706898691176,0,0,0,0,upper
1567,4,0.710216583504,50.550343495716085,3.9635830505670876e-4,0.9021053189925676,36.67088459325601,upper
1569,3,0.707398916453,26.974599518022902,2.1150413241906332e-4,0.48138010585358343,19.568263190111576,upper
1572,4,0.710611802342,48.19385417070998,3.778813956995488e-4,0.8600521615413752,34.96140960047259,upper
1577,3,0.707010178822,20.827421259338628,1.6330495142437767e-4,0.37167952183233927,15.108897557561777,upper
1581,3,0.706681383405,17.86026399933378,0.00014003987860619011,0.31872857904073154,12.95642392578714,upper
1582,6,0.709053758912,0,0,0,0,upper
1583,3,0.709468176562,50.69397020648795,3.9748446238237027e-4,0.9046684354973582,36.77507614114669,upper
1585,3,0.708019038995,0,0,0,0,upper
1586,4,0.708315200988,0,0,0,0,upper
1592,3,0.70690981802,0,0,0,0,upper
1593,3,0.70675213661,0,0,0,0,upper
1594,3,0.709381718229,0,0,0,0,upper
1595,3,0.708656312637,0,0,0,0,upper
1596,3,0.706517638746,0,0,0,0,upper
1599,6,0.706770217974,0,0,0,0,upper
1602,6,0.709027814514,0,0,0,0,upper
1603,3,0.70715362127900006,22.447934458346868,1.7601117299407607e-4,0.4005986839038469,16.284471221224724,upper
1604,4,0.711607411907,53.23593867441352,4.174156882412007e-4,0.9500315946185495,38.61910381496248,upper
1605,4,0.706933417272,0,0,0,0,upper
1607,3,0.71421893788,43.01679672817052,3.3728879887021064e-4,0.7676640444153128,31.2058015693598,upper
1608,3,0.706814299111,0,0,0,0,upper
1612,5,0.710598856387,0,0,0,0,upper
1622,6,0.706750785853,0,0,0,0,upper
1623,4,0.707967301157,33.87014475012293,2.6557115613510705e-4,0.6044358083684128,24.57051888072516,upper
1624,4,0.706896509745,0,0,0,0,upper
1626,6,0.708935699962,0,0,0,0,upper
1627,3,0.71203210199,53.26061602703962,4.176091799760491e-4,0.9504719787885314,38.63700557957255,upper
1629,3,0.713502524517,50.815938248536476,3.9844079705933516e-4,0.9068450383030031,36.86355577718331,upper
1631,5,0.713129902667,53.34984769703015,4.1830883325294174e-4,0.9520643787319238,38.70173717279236,upper
1632,3,0.709176944244,0,0,0,0,upper
1634,3,0.706905546678,0,0,0,0,upper
1635,4,0.70695994089,0,0,0,0,upper
1637,6,0.708889740294,0,0,0,0,upper
1642,3,0.71197921414,53.92723700690765,4.228360635820552e-4,0.962368284334743,39.120594400729736,upper
1645,3,0.706782042906,0,0,0,0,upper
1646,3,0.708466696272,0,0,0,0,upper
1649,4,0.706825729514,0,0,0,0,upper
1653,5,0.712631254885,55.99204595970419,4.39025947175343e-4,0.9992162068256968,40.61847484186938,upper
1656,3,0.709464733058,0,0,0,0,upper
1659,5,0.708505357277,41.21590130488207,3.2316822503831397e-4,0.7355258386593901,29.899372697367458,upper
1662,6,0.706754557304,0,0,0,0,upper
1663,4,0.706847289886,0,0,0,0,upper
1665,3,0.706734574203,0,0,0,0,upper
1666,4,0.70973526473,50.05046097957869,3.9243879485910757e-4,0.8931845749284417,36.30825334702097,upper
1668,3,0.709044523937,48.72056521311113,3.820112646892316e-4,0.8694516789346143,35.3435031435466,upper
1670,6,0.714060189556,45.12829322763517,3.5384475310881844e-4,0.8053451379841955,32.737550695011024,upper
1671,3,0.708784005133,0,0,0,0,upper
1675,4,0.707383450998,0,0,0,0,upper
1676,3,0.706544986137,17.71359565452851,1.3888987224555248e-4,0.3161111825043878,12.850025876359565,upper
1678,4,0.706869336659,0,0,0,0,upper
1679,3,0.706800270063,18.329443256403227,1.4371864876361882e-4,0.32710140252904657,13.296782016350882,upper
1681,3,0.70715488575,0,0,0,0,upper
1684,4,0.706858758697,0,0,0,0,upper
1685,4,0.70715116698,0,0,0,0,upper
1690,4,0.711114599602,51.47749719819222,4.0362798998123625e-4,0.918651008471379,37.34347243485186,upper
1691,3,0.706678499338,0,0,0,0,upper
1695,3,0.712235042599,0,0,0,0,upper
1699,4,0.706848999917,0,0,0,0,upper
1705,3,0.710915000563,0,0,0,0,upper
1706,4,0.710858636939,49.365919293621445,3.8707139745636454e-4,0.880968462172917,35.8116642552547,upper
1708,3,0.706864425879,19.483030733392205,1.5276376983490778e-4,0.34768795698051463,14.13363237802,upper
1710,3,0.705137648402,12.854549446112035,1.0079075785430419e-4,0.2293981925082933,9.325113671613833,upper
1711,3,0.707867135684,0,0,0,0,upper
1712,5,0.710315436703,0,0,0,0,upper
1713,3,0.709530090613,0,0,0,0,upper
1714,3,0.708912594871,46.597365686412154,3.6536354862037976e-4,0.83156173687161,33.80326425637401,upper
