COMID,Longitude,Latitude,Outlet_COMID
81000186,-154.0541667,70.46,81000102
81000187,-157.4791667,70.37083333,81000005
81000191,-157.9191667,70.37083333,81000005
81000192,-155.8966667,70.42166667,81000121
81000193,-152.075,70.39833333,81000147
81000196,-155.1733333,70.84083333,81000004
81000197,-157.165,70.78,81000011
81000198,-157.27,70.76083333,81000011
81000199,-157.4916667,70.7075,81000011
81000200,-155.6566667,70.7875,81000200
81000201,-159.2866667,70.76083333,81000201
81000202,-155.715,70.74416667,81000200
81000203,-157.7891667,70.68666667,81000011
81000204,-157.945,70.68916667,81000011
81000205,-159.1758333,70.68166667,81000201
81000206,-158.0166667,70.6925,81000011
81000207,-159.0058333,70.6575,81000201
81000208,-155.0708333,70.7525,81000004
81000209,-155.6016667,70.655,81000200
81000210,-154.0775,70.64833333,81000102
81000211,-158.1066667,70.6875,81000011
81000212,-158.0358333,70.62916667,81000011
81000213,-158.1691667,70.68416667,81000011
81000214,-158.1875,70.68,81000011
81000215,-158.0308333,70.56833333,81000011
81000216,-155.545,70.5925,81000200
81000217,-159.2075,70.525,81000076
81000218,-158.7708333,70.63666667,81000201
81000219,-158.2458333,70.66916667,81000011
81000220,-156.2483333,70.76666667,81000005
81000221,-159.0925,70.56083333,81000076
81000222,-153.1291667,70.58666667,81000102
81000223,-153.9008333,70.6625,81000102
81000224,-158.6025,70.54916667,81000201
81000225,-153.0883333,70.56666667,81000102
81000226,-158.3083333,70.65833333,81000011
81000227,-157.45,70.7425,81000011
81000228,-157.69,70.63166667,81000011
81000229,-155.9191667,70.6825,81000121
81000230,-158.5291667,70.5225,81000201
81000231,-154.0375,70.65833333,81000102
81000234,-157.57,70.7375,81000011
81000235,-156.3133333,70.4925,81000005
81000236,-153.7541667,70.66666667,81000102
81000237,-153.6883333,70.64916667,81000102
81000238,-155.5158333,70.5275,81000200
81000239,-153.6225,70.62833333,81000102
81000240,-155.5041667,70.49,81000200
81000241,-155.62,70.5325,81000200
81000243,-153.0008333,70.51666667,81000102
81000244,-156.98,70.61666667,81000005
81000246,-156.85,70.6525,81000005
81000248,-157.0883333,70.59166667,81000005
81000249,-155.4041667,70.58583333,81000200
81000250,-158.8841667,70.5525,81000076
81000251,-159.6733333,70.4575,81000076
81000252,-152.8675,70.51333333,81000102
81000253,-153.7783333,70.74916667,81000102
81000255,-157.7733333,70.43833333,81000005
81000257,-155.6916667,70.45583333,81000200
81000258,-153.5091667,70.46916667,81000102
81000259,-155.4325,70.45666667,81000200
81000260,-159.2391667,70.43666667,81000076
81000261,-152.1058333,70.435,81000147
81000262,-159.6891667,70.44166667,81000076
81000263,-153.8758333,70.46583333,81000102
81000264,-154.7158333,70.43083333,81000102
81000265,-158.415,70.49,81000201
81000266,-158.4966667,70.47166667,81000201
81000267,-159.66,70.44666667,81000076
81000268,-154.1191667,70.46833333,81000102
81000269,-155.525,70.46333333,81000200
81000270,-154.3308333,70.495,81000102
81000271,-156.2908333,70.46416667,81000005
81000272,-155.6433333,70.47166667,81000200
81000273,-158.5816667,70.5,81000201
81000274,-159.1341667,70.4675,81000076
81000275,-156.7016667,70.44916667,81000005
81000276,-156.1658333,70.48416667,81000005
81000278,-153.6575,70.5175,81000102
81000280,-158.9791667,70.50583333,81000076
81000281,-155.9725,70.515,81000121
81000282,-157.5558333,70.51,81000005
81000283,-158.1508333,70.47333333,81000011
81000284,-155.4866667,70.48916667,81000200
81000285,-153.0616667,70.51916667,81000102
81000286,-152.8283333,70.505,81000102
81000287,-152.9016667,70.50916667,81000102
81000288,-153.1716667,70.51166667,81000102
81000289,-157.7508333,70.55666667,81000011
81000290,-158.7366667,70.52,81000076
81000291,-159.6058333,70.5125,81000076
81000293,-155.3258333,70.5325,81000200
81000294,-156.5066667,70.51916667,81000005
81000295,-155.27,70.54083333,81000200
81000297,-152.8175,70.51666667,81000102
81000298,-155.0941667,70.57833333,81000004
81000299,-157.9925,70.55333333,81000011
81000301,-156.0558333,70.61333333,81000121
81000302,-158.735,70.54333333,81000076
81000303,-159.5316667,70.53416667,81000076
81000304,-156.8933333,70.56333333,81000005
81000305,-159.1366667,70.5525,81000076
81000306,-157.8075,70.57833333,81000011
81000307,-157.0475,70.57833333,81000005
81000308,-158.0641667,70.56416667,81000011
81000309,-156.8558333,70.57916667,81000005
81000310,-154.075,70.57916667,81000102
81000311,-157.525,70.57166667,81000005
81000312,-154.63,70.58083333,81000102
81000313,-158.5566667,70.57833333,81000201
81000314,-159.8483333,70.57833333,81000076
81000315,-157.1375,70.59416667,81000005
81000316,-153.0308333,70.57916667,81000102
81000317,-158.295,70.60833333,81000011
81000318,-159.2366667,70.6225,81000201
81000319,-155.8116667,70.62083333,81000121
81000320,-155.0658333,70.65166667,81000004
81000321,-155.6991667,70.65416667,81000200
81000322,-156.0958333,70.63666667,81000121
81000323,-154.2058333,70.61833333,81000102
81000325,-157.1091667,70.61333333,81000005
81000326,-156.7375,70.6425,81000005
81000327,-153.6191667,70.625,81000102
81000328,-153.7158333,70.625,81000102
81000329,-155.2925,70.62416667,81000004
81000330,-156.5766667,70.60583333,81000005
81000332,-155.9216667,70.62,81000121
81000333,-157.4066667,70.64,81000005
81000334,-157.9841667,70.665,81000011
81000335,-153.2483333,70.615,81000102
81000336,-158.325,70.65083333,81000011
81000338,-154.5841667,70.65666667,81000102
81000339,-158.46,70.69166667,81000011
81000341,-158.1691667,70.67166667,81000011
81000343,-153.5691667,70.66333333,81000102
81000344,-156.2033333,70.725,81000005
81000345,-153.7758333,70.68166667,81000102
81000347,-154.9183333,70.72333333,81000004
81000349,-157.1033333,70.7275,81000005
81000350,-156.36,70.74083333,81000005
81000351,-158.8208333,70.69416667,81000201
81000353,-154.0841667,70.66583333,81000102
81000354,-156.5258333,70.7275,81000005
81000355,-156.7033333,70.70416667,81000005
81000356,-155.295,70.72666667,81000004
81000358,-158.165,70.6975,81000011
81000359,-154.99,70.72166667,81000004
81000361,-156.9358333,70.69583333,81000005
81000362,-157.615,70.73666667,81000011
81000363,-157.95,70.71,81000011
81000365,-158.2525,70.70583333,81000011
81000372,-157.5391667,70.74916667,81000011
81000375,-156.7725,70.79416667,81000005
81000378,-157.68,70.765,81000011
81000379,-153.975,70.72083333,81000102
81000380,-157.2025,70.785,81000011
81000381,-153.785,70.80083333,81000102
81000382,-157.1183333,70.79416667,81000011
81000384,-153.785,70.80583333,81000102
81000385,-156.655,70.80083333,81000005
81000388,-146.2441667,69.9775,81000388
81000389,-150.6758333,70.38083333,81000069
81000390,-150.8125,70.2675,81000069
81000391,-150.875,70.20083333,81000069
81000392,-150.9241667,70.16083333,81000069
81000393,-150.9925,70.11666667,81000069
81000394,-151.0291667,70.09916667,81000069
81000395,-151.1033333,70.0625,81000069
81000396,-151.2691667,70.04,81000069
81000397,-151.5175,70.0875,81000069
81000398,-151.5825,69.9725,81000069
81000399,-150.8833333,70.13583333,81000069
81000400,-150.8683333,70.0475,81000069
81000401,-150.8716667,69.995,81000069
81000402,-148.9608333,70.38,81000402
81000403,-148.9941667,70.32583333,81000402
81000404,-148.98,70.235,81000402
81000405,-149.0983333,70.16166667,81000402
81000406,-149.17,70.10666667,81000402
81000407,-149.2216667,70.07833333,81000402
81000408,-149.355,70.03666667,81000402
81000409,-149.4458333,69.96583333,81000402
81000410,-159.8858333,70.35916667,81000076
81000411,-159.8633333,70.31833333,81000076
81000412,-159.835,70.27083333,81000076
81000413,-159.7708333,70.2025,81000076
81000414,-159.6941667,70.155,81000076
81000415,-159.6466667,70.12083333,81000076
81000416,-159.5175,70.06416667,81000076
81000417,-159.4308333,70,81000076
81000418,-159.6816667,70.0975,81000076
81000419,-159.7633333,70.05666667,81000076
81000420,-159.8583333,70.03333333,81000076
81000421,-159.9016667,70.02083333,81000076
81000422,-159.9158333,69.9975,81000076
81000423,-154.8875,70.30666667,81000004
81000424,-154.885,70.22083333,81000004
81000425,-154.8166667,70.20666667,81000004
81000426,-154.7175,70.16833333,81000004
81000427,-154.6525,70.1425,81000004
81000428,-154.6391667,70.11666667,81000004
81000429,-154.6841667,70.0925,81000004
81000430,-154.6666667,70.0375,81000004
81000431,-154.6791667,69.95666667,81000004
81000432,-149.4591667,69.99833333,81000402
81000433,-147.9441667,70.25083333,81000433
81000434,-147.99,70.1925,81000433
81000435,-148.145,70.14833333,81000433
81000436,-148.3508333,70.05,81000433
81000437,-148.5233333,69.995,81000433
81000438,-144.04,69.965,81000438
81000439,-155.0358333,70.36,81000004
81000440,-151.2983333,70.35166667,81000440
81000441,-151.38,70.3175,81000440
81000442,-151.4291667,70.315,81000440
81000443,-155.1641667,70.2825,81000004
81000444,-151.5383333,70.3125,81000440
81000445,-151.6591667,70.27583333,81000440
81000446,-151.7241667,70.25666667,81000440
81000447,-155.2091667,70.15583333,81000004
81000448,-151.8041667,70.235,81000440
81000449,-151.9016667,70.20916667,81000440
81000450,-155.3633333,70.10333333,81000004
81000451,-147.3066667,70.17833333,81000451
81000452,-147.3016667,70.16833333,81000451
81000453,-152.025,70.17416667,81000440
81000454,-147.2508333,70.1325,81000451
81000455,-147.2958333,70.07,81000451
81000457,-155.3875,70.05916667,81000004
81000458,-147.3658333,70.0225,81000451
81000459,-155.3583333,70.01583333,81000004
81000461,-154.5066667,69.99083333,81000004
81000462,-152.0658333,70.055,81000440
81000463,-147.5458333,69.94583333,81000451
81000464,-157.3075,70.36333333,81000005
81000465,-157.2341667,70.35833333,81000005
81000466,-159.5558333,70.11833333,81000076
81000467,-159.45,70.12583333,81000076
81000468,-157.115,70.28333333,81000005
81000469,-159.3483333,70.11583333,81000076
81000470,-159.2316667,70.09833333,81000076
81000471,-159.1533333,70.0925,81000076
81000472,-157.0866667,70.19583333,81000005
81000473,-159.1166667,70.09166667,81000076
81000474,-157.0166667,70.12,81000005
81000475,-157.0975,70.09916667,81000005
81000476,-159.0066667,70.05833333,81000076
81000477,-158.9033333,70.0275,81000076
81000478,-162.3041667,70.045,81000478
81000479,-157.16,70.06166667,81000005
81000480,-157.2275,70.02166667,81000005
81000481,-162.0883333,69.9725,81000478
81000482,-157.205,69.99333333,81000005
81000483,-158.7816667,70.00416667,81000076
81000485,-154.4183333,70.1375,81000004
81000486,-145.5533333,70.06416667,81000486
81000487,-154.2991667,70.075,81000004
81000488,-145.6058333,70.04083333,81000486
81000489,-143.2783333,70.05166667,81000489
81000491,-154.335,69.99666667,81000004
81000492,-145.7066667,70.01833333,81000486
81000493,-147.2925,70.02,81000451
81000494,-143.3191667,69.98166667,81000489
81000495,-144.3766667,69.96583333,81000495
81000496,-143.9733333,70.02916667,81000496
81000497,-157.9258333,70.4175,81000005
81000498,-152.1483333,70.14333333,81000440
81000499,-147.6275,70.1825,81000499
81000500,-152.305,70.1075,81000440
81000501,-147.6216667,70.12166667,81000499
81000502,-152.3733333,70.04166667,81000440
81000503,-152.3408333,70.01916667,81000440
81000504,-147.6916667,70.0425,81000499
81000505,-151.6316667,69.98583333,81000069
81000506,-152.5091667,69.97166667,81000440
81000507,-147.7775,69.98666667,81000499
81000508,-149.0466667,70.07333333,81000402
81000509,-157.3533333,69.99,81000005
81000510,-151.8075,70.26666667,81000440
81000511,-152.12,70.24916667,81000440
81000512,-152.4641667,70.18416667,81000440
81000513,-152.5633333,70.16333333,81000440
81000514,-152.68,70.16583333,81000440
81000515,-156.9916667,70.36,81000005
81000516,-156.8858333,70.305,81000005
81000517,-155.8108333,70.32916667,81000121
81000518,-160.0033333,70.365,81000076
81000519,-155.845,70.30333333,81000121
81000520,-160.1116667,70.32166667,81000076
81000521,-160.1583333,70.30416667,81000076
81000522,-156.8216667,70.26166667,81000005
81000523,-156.8125,70.2325,81000005
81000524,-160.1966667,70.28333333,81000076
81000525,-158.0466667,70.39583333,81000005
81000526,-155.8491667,70.27666667,81000121
81000527,-153.0841667,70.19,81000440
81000528,-162.0258333,70.16,81000528
81000529,-160.2841667,70.24666667,81000076
81000530,-152.58,70.155,81000440
81000531,-162.0575,70.11333333,81000528
81000532,-160.3791667,70.215,81000076
81000534,-155.9266667,70.2375,81000121
81000535,-158.18,70.29666667,81000005
81000536,-151.2808333,70.28916667,81000440
81000537,-156.7233333,70.2025,81000005
81000538,-152.6508333,70.13166667,81000440
81000539,-160.385,70.19416667,81000076
81000540,-155.965,70.1925,81000121
81000541,-158.135,70.2325,81000005
81000542,-151.3125,70.22833333,81000440
81000543,-158.0891667,70.21583333,81000005
81000544,-158.0633333,70.20083333,81000005
81000545,-158.0333333,70.18333333,81000005
81000546,-160.2758333,70.15583333,81000076
81000547,-161.9333333,70.10583333,81000528
81000548,-156.5925,70.14833333,81000005
81000549,-156.0075,70.13583333,81000121
81000550,-152.815,70.11333333,81000440
81000551,-160.2316667,70.1175,81000076
81000552,-151.445,70.20666667,81000440
81000553,-152.4366667,70.05666667,81000440
81000554,-156.0025,70.1075,81000121
81000555,-155.8966667,70.14,81000121
81000556,-158,70.14583333,81000005
81000557,-156.6125,70.1225,81000005
81000558,-151.5691667,70.1725,81000440
81000560,-160.3191667,70.09833333,81000076
81000562,-156.6008333,70.09833333,81000005
81000563,-152.9291667,70.105,81000440
81000566,-156.5816667,70.07416667,81000005
81000567,-151.6441667,70.1275,81000440
81000568,-145.6058333,70.04833333,81000486
81000569,-154.9475,70.17666667,81000004
81000570,-152.5591667,70.03583333,81000440
81000571,-161.6983333,70.0825,81000528
81000572,-153.0591667,70.0775,81000440
81000573,-153.6408333,70.155,81000440
81000575,-152.8091667,70.07833333,81000440
81000576,-161.5658333,70.06083333,81000528
81000577,-160.4666667,70.07416667,81000076
81000578,-149.2583333,70.03916667,81000402
81000579,-152.6475,70.035,81000440
81000580,-153.7958333,70.03416667,81000440
81000581,-151.785,70.07083333,81000440
81000582,-157.8133333,70.08416667,81000005
81000583,-151.155,70.03833333,81000069
81000584,-154.6783333,70.39416667,81000102
81000585,-148.2283333,70.04916667,81000433
81000587,-156.05,70.05,81000121
81000588,-151.1166667,70.02666667,81000069
81000589,-154.2316667,70.02666667,81000004
81000590,-153.725,69.99166667,81000440
81000591,-160.2666667,70.01916667,81000076
81000592,-156.0808333,69.98333333,81000121
81000593,-157.6908333,69.98416667,81000005
81000595,-147.43,69.97166667,81000451
81000596,-152.3325,69.985,81000440
81000598,-152.6925,70.00083333,81000440
81000599,-161.8641667,70.0275,81000528
81000601,-161.6166667,70.0125,81000528
81000602,-156.9833333,70.04416667,81000005
81000604,-159.3808333,70.01083333,81000076
81000605,-157.8108333,70.00416667,81000005
81000606,-159.875,69.99583333,81000076
81000607,-154.95,70.05833333,81000004
81000608,-162.0125,70.03916667,81000528
81000609,-148.2141667,70.00333333,81000433
81000613,-156.1475,69.99,81000121
81000614,-155.8566667,69.99083333,81000121
81000615,-156.5883333,69.98166667,81000005
81000616,-153.1608333,70.02166667,81000440
81000618,-151.335,69.89583333,81000069
81000619,-151.1475,69.98333333,81000069
81000620,-152.7566667,69.91083333,81000440
81000621,-158.9341667,69.985,81000076
81000622,-161.505,70.01166667,81000528
81000624,-160.5783333,70.00916667,81000076
81000625,-145.8125,70.02333333,81000486
81000626,-153.8866667,69.97083333,81000440
81000627,-151.0216667,69.94416667,81000069
81000628,-154.1225,69.98,81000004
81000629,-152.8475,69.97416667,81000440
81000630,-148.3641667,69.96333333,81000433
81000632,-149.225,69.98666667,81000402
81000633,-152.9875,70.01583333,81000440
81000634,-147.8658333,69.97333333,81000499
81000635,-149.3716667,69.97083333,81000402
81000638,-148.1583333,69.97666667,81000433
81000640,-154.645,70.39833333,81000102
81000641,-158.2091667,70.33833333,81000005
81000642,-158.2866667,70.32666667,81000005
81000643,-152.2583333,70.33166667,81000147
81000644,-153.45,70.305,81000102
81000645,-152.5516667,70.29083333,81000147
81000646,-158.4633333,70.32166667,81000005
81000647,-153.7708333,70.23666667,81000102
81000650,-159.0283333,70.1075,81000076
81000651,-158.935,70.13333333,81000076
81000652,-150.6433333,70.35,81000069
81000654,-150.6125,70.27333333,81000069
81000656,-152.8025,70.30416667,81000147
81000657,-157.2108333,70.31583333,81000005
81000658,-158.8216667,70.14833333,81000076
81000660,-156.5725,70.23083333,81000005
81000661,-159.425,70.36666667,81000076
81000663,-158.6866667,70.15333333,81000076
81000664,-156.4225,70.2,81000005
81000666,-155.8108333,70.11583333,81000121
81000667,-153.9725,70.19333333,81000102
81000668,-160.9808333,70.3125,81000668
81000669,-158.725,70.16333333,81000076
81000671,-150.4808333,70.24416667,81000069
81000672,-160.9441667,70.295,81000668
81000673,-153.0666667,70.3075,81000147
81000674,-158.7991667,70.35333333,81000005
81000675,-150.3991667,70.17666667,81000069
81000676,-158.565,70.14333333,81000076
81000677,-145.7425,70.07333333,81000486
81000679,-148.0216667,70.17,81000433
81000680,-153.1066667,70.14083333,81000440
81000682,-157.7533333,70.3025,81000005
81000683,-153.7191667,70.2175,81000102
81000684,-153.9791667,70.38916667,81000102
81000685,-150.4341667,70.145,81000069
81000686,-158.4808333,70.11916667,81000076
81000687,-157.2958333,70.23583333,81000005
81000688,-156.3933333,70.19,81000005
81000689,-153.1675,70.25083333,81000147
81000690,-160.87,70.2525,81000668
81000691,-150.6483333,70.27083333,81000069
81000692,-157.9566667,70.10916667,81000005
81000694,-160.6433333,70.05833333,81000076
81000695,-158.6091667,70.1975,81000076
81000696,-158.9975,70.3475,81000005
81000697,-162.09,70.1075,81000528
81000700,-150.6508333,70.23083333,81000069
81000701,-161.0325,70.255,81000668
81000702,-150.4983333,70.11,81000069
81000703,-148.0166667,70.11916667,81000433
81000704,-157.9816667,70.0725,81000005
81000705,-155.4433333,70.23916667,81000004
81000706,-150.3816667,70.155,81000069
81000707,-160.1883333,70.135,81000076
81000708,-155.6733333,70.10916667,81000121
81000709,-160.7591667,70.2125,81000668
81000710,-155.375,70.29916667,81000004
81000711,-159.3775,70.13,81000076
81000712,-161.0033333,70.18083333,81000668
81000713,-156.025,70.215,81000121
81000714,-150.9758333,70.05916667,81000069
81000715,-149.1233333,70.045,81000402
81000716,-158.9766667,70.01333333,81000076
81000718,-152.9133333,70.01416667,81000440
81000719,-155.63,70.01083333,81000121
81000720,-157.9875,70.03333333,81000005
81000721,-160.8025,70.02416667,81000076
81000723,-155.2658333,70.0225,81000004
81000724,-152.3016667,70.01416667,81000440
81000725,-157.1991667,70.00666667,81000005
81000726,-150.3908333,70.07,81000069
81000728,-145.9616667,70.04583333,81000486
81000729,-145.6508333,70.01666667,81000486
81000731,-150.8,70.01916667,81000069
81000732,-154.805,70.06666667,81000004
81000733,-155.5925,70.0175,81000121
81000736,-158.4033333,70.055,81000076
81000737,-154.135,70.01083333,81000004
81000738,-151.1408333,70.02666667,81000069
81000740,-153.335,70.06083333,81000440
81000741,-156.6741667,70.05583333,81000005
81000742,-158.0616667,70.03416667,81000005
81000743,-159.1925,70.05583333,81000076
81000746,-148.0225,70.05166667,81000433
81000747,-161.4233333,70.0625,81000528
81000748,-151.8675,70.0325,81000440
81000749,-156.4316667,70.09916667,81000005
81000750,-159.8075,70.035,81000076
81000751,-159.895,70.0325,81000076
81000752,-153.8358333,70.0425,81000440
81000753,-150.57,70.07,81000069
81000754,-147.9516667,70.12,81000433
81000755,-155.2358333,70.06833333,81000004
81000756,-145.8791667,70.05416667,81000486
81000758,-156.5933333,70.05583333,81000005
81000761,-147.2658333,70.06833333,81000451
81000762,-156.7508333,70.11416667,81000005
81000764,-160.3725,70.0725,81000076
81000765,-155.9558333,70.08416667,81000121
81000766,-160.7291667,70.055,81000076
81000768,-148.0425,70.06916667,81000433
81000769,-153.3608333,70.08,81000440
81000771,-153.125,70.06416667,81000440
81000772,-154.1225,70.1325,81000102
81000774,-151.7183333,70.075,81000440
81000775,-154.5758333,70.09,81000004
81000776,-157.2591667,70.07916667,81000005
81000779,-152.4683333,70.0625,81000440
81000780,-159.7966667,70.07166667,81000076
81000781,-150.87,70.08333333,81000069
81000783,-153.45,70.09833333,81000440
81000784,-152.9825,70.08333333,81000440
81000785,-147.645,70.07666667,81000499
81000786,-152.185,70.09833333,81000440
81000788,-154.2266667,70.0875,81000004
81000789,-156.3058333,70.14166667,81000005
81000792,-150.3491667,70.11666667,81000069
81000793,-156.0825,70.12083333,81000121
81000794,-158.4966667,70.09416667,81000076
81000795,-158.8675,70.1225,81000076
81000796,-152.5641667,70.12,81000440
81000797,-157.5208333,70.15166667,81000005
81000799,-151.1008333,70.0925,81000069
81000800,-159.3033333,70.09833333,81000076
81000801,-162.1,70.10416667,81000528
81000802,-157.9433333,70.10333333,81000005
81000804,-154.9641667,70.1,81000004
81000805,-155.7725,70.11166667,81000121
81000806,-158.6483333,70.12166667,81000076
81000807,-151.7283333,70.14916667,81000440
81000810,-152.1816667,70.1775,81000440
81000811,-156.5766667,70.10916667,81000005
81000812,-147.2808333,70.13333333,81000451
81000813,-160.165,70.125,81000076
81000815,-157.1125,70.13583333,81000005
81000816,-151.5391667,70.14833333,81000440
81000818,-149.2058333,70.13583333,81000402
81000819,-158.4058333,70.1275,81000076
81000822,-160.1316667,70.13166667,81000076
81000824,-159.5025,70.13,81000076
81000827,-159.1283333,70.1125,81000076
81000829,-159.7958333,70.14333333,81000076
81000831,-150.3516667,70.14583333,81000069
81000832,-155.4591667,70.1225,81000004
81000833,-159.3366667,70.14,81000076
81000834,-158.1766667,70.19583333,81000005
81000835,-151.3316667,70.18666667,81000440
81000836,-155.6375,70.17583333,81000004
81000837,-157.2575,70.20833333,81000005
81000839,-160.9733333,70.15666667,81000668
81000840,-154.8191667,70.17666667,81000004
81000843,-160.3766667,70.16333333,81000076
81000844,-153.7816667,70.1575,81000102
81000845,-158.9716667,70.13416667,81000076
81000846,-150.8233333,70.17583333,81000069
81000847,-160.7341667,70.16083333,81000668
81000849,-160.7633333,70.16,81000668
81000853,-159.3758333,70.15,81000076
81000854,-158.0566667,70.17666667,81000005
81000857,-155.0991667,70.19083333,81000004
81000858,-150.2791667,70.18,81000069
81000859,-157.9866667,70.18083333,81000005
81000860,-150.6808333,70.20083333,81000069
81000861,-157.5,70.18583333,81000005
81000862,-150.9525,70.18166667,81000069
81000863,-159.8841667,70.2175,81000076
81000866,-161.0458333,70.18583333,81000668
