reachid,Str_Order,iso_pred,assignment_sum,assignment_rescale,assignment_norm
4936,4,0.707815459,39.409968809691605,5.405030177330275e-4,0.6206816002103108
4937,7,0.708950812,0,0,0
4943,3,0.706910884,0,0,0
4944,3,0.707548347,0,0,0
13416,4,0.706548374,38.28281735228525,5.250442700463129e-4,0.6029296914574594
1502,3,0.706550922,0,0,0
4964,3,0.706834425,0,0,0
4965,7,0.708952506,0,0,0
7433,7,0.708533911,53.67192085969726,7.361039876047951e-4,0.8452981499788894
7440,5,0.70781397,51.293308395702,7.03481601603549e-4,0.8078365372188787
7441,3,0.707595005,0,0,0
7443,3,0.705897116,51.93850165394325,7.123303501215799e-4,0.8179979150647705
7445,3,0.708837095,0,0,0
7453,3,0.708848684,0,0,0
7455,5,0.70803294,54.149082994215675,7.426482093193709e-4,0.8528131459598004
7461,5,0.706925426,32.24031977236484,4.421721370496399e-4,0.5077642503153283
7463,5,0.706946002,0,0,0
7464,3,0.70620737200000006,0,0,0
7477,3,0.707290961,0,0,0
7478,3,0.705844727,50.66299656969103,6.948369501521132e-4,0.7979095323362014
13399,5,0.709352451,56.28110845099541,7.718886839525225e-4,0.8863911723366632
13401,3,0.705869784,0,0,0
11481,6,0.707481491,0,0,0
11482,4,0.705974066,48.06491561365001,6.592045799811033e-4,0.756991432323016
11483,5,0.709224203,0,0,0
11500,5,0.70924007,58.921183113133026,8.080969927897264e-4,0.9279706461465309
11512,6,0.708388925,51.27383105402628,7.032144721875381e-4,0.8075297816449907
11517,5,0.709257427,57.52969575433356,7.89012909770013e-4,0.906055617370368
12329,3,0.706446865,45.916811566863124,6.297435894053556e-4,0.7231601785197893
12330,3,0.706845255,0,0,0
12375,3,0.709405932,53.512823280782875,7.339219833019626e-4,0.8427924656849735
1590,4,0.704745821,11.624016242358163,1.5942199516857415e-4,0.18307076153796037
1591,4,0.704922598,16.20055108123374,2.2218862416839908e-4,0.25514823464961084
1479,7,0.70868493,0,0,0
1482,7,0.707016446,0,0,0
1484,4,0.704935736,16.683837308417004,2.2881683708282101e-4,0.2627596811416452
11523,5,0.709234523,0,0,0
11527,5,0.70923353,58.98603256460057,8.089863952753209e-4,0.928991983197164
11530,3,0.707584877,0,0,0
11537,4,0.706275171,53.155188112885945,7.290170596662908e-4,0.8371599423664784
12332,6,0.707310637,0,0,0
12338,7,0.709186659,59.790141303801406,8.200146506444718e-4,0.9416561774115866
12342,3,0.706259231,0,0,0
12344,7,0.70918574,59.79555947079503,8.200889601580056e-4,0.9417415100485151
12346,7,0.708753899,56.58306176684777,7.760299376343209e-4,0.8911467423848679
12350,3,0.706879152,0,0,0
12354,4,0.706999227,31.964883844102555,4.3839456617317544e-4,0.5034263120252781
1491,4,0.704682049,11.31207771041324,1.551437954400329e-4,0.17815793077400358
1492,3,0.705450735,45.918909113216166,6.297723570031969e-4,0.7231932135225119
1495,4,0.704924801,16.61449614477599,2.2786583130095724e-4,0.26166760252019333
1497,3,0.707078536,0,0,0
1576,3,0.706696758,0,0,0
12359,7,0.709312036,58.840139174203266,8.069854848417746e-4,0.9266942563593382
12360,3,0.70939831,53.62451754716791,7.354538568321376e-4,0.844551578368593
12383,4,0.706586705,24.770331415773988,3.397221384549942e-4,0.39011674977782457
12386,3,0.70686969,11.551811995859804,1.584317225470971e-4,0.1819335912074028
12395,5,0.708977475,63.173239058908685,8.664134325047516e-4,0.9949377858911018
12403,3,0.707408714,0,0,0
12409,6,0.707300175,0,0,0
12412,3,0.706182817,0,0,0
1656,3,0.706658869,0,0,0
1885,7,0.708709062,0,0,0
1924,3,0.705012496,0,0,0
2072,5,0.705106807,20.96298353661173,2.875048167873716e-4,0.3301534753685684
12419,3,0.70628432,49.92709347436076,6.847441270467249e-4,0.7863195330389426
12421,3,0.706973319,0,0,0
12427,3,0.709400424,53.5941727174238,7.35037681114555e-4,0.8440736668641553
12428,4,0.707420626,0,0,0
12429,3,0.707465833,0,0,0
12430,4,0.706591845,24.631776626133814,3.3782187605480013e-4,0.38793460117055345
1542,3,0.704176298,0,0,0
1848,3,0.705299844,0,0,0
1970,3,0.706081818,0,0,0
1971,4,0.70498968,18.452473387076104,2.5307346977398076e-4,0.2906145590988656
12434,3,0.707443649,0,0,0
13371,3,0.709642334,45.42814434731829,6.230415768230407e-4,0.7154639848673137
13372,3,0.706029439,45.747388758911804,6.274199758188365e-4,0.7204918785254617
13390,4,0.709532927,49.168329787548,6.74337773658095e-4,0.7743694941646008
13391,7,0.709433818,51.91226688710532,7.119705434261242e-4,0.8175847344012499
13392,5,0.709401474,53.57891960111489,7.348284864451906e-4,0.8438334401163361
1509,3,0.707336115,0,0,0
1513,3,0.707345545,0,0,0
1514,3,0.705443755,0,0,0
1516,7,0.70702106,0,0,0
1587,3,0.706967684,0,0,0
1593,3,0.705063716,19.99818017113528,2.742726538014734e-4,0.31495844439394477
13408,7,0.709445334,51.71908039869234,7.093210137988188e-4,0.8145421717606601
13413,3,0.706447807,40.976903812983,5.619933442532107e-4,0.6453598162719606
13431,3,0.707847373,0,0,0
13437,3,0.707901252,52.1654817044063,7.154433544183582e-4,0.8215727045201372
13439,4,0.709552576,49.285558819228704,6.759455558335977e-4,0.7762157758332325
1611,7,0.707030547,0,0,0
1615,4,0.704891605,15.679921656242167,2.1504825375381111e-4,0.24694865686814158
1616,3,0.704248449,3.73520454314828,5.122788442616781e-5,0.05882706337955712
1683,4,0.706697059,0,0,0
1685,3,0.706665976,0,0,0
1691,4,0.706702762,0,0,0
1506,6,0.706614901,0,0,0
1534,3,0.707353625,0,0,0
1538,3,0.707362054,0,0,0
1550,3,0.707393047,0,0,0
1555,5,0.705049642,19.90791947539571,2.730347391341082e-4,0.3135368966292595
1558,6,0.706645575,0,0,0
1563,3,0.704598363,0,0,0
1570,3,0.70540973,0,0,0
1572,3,0.706601089,0,0,0
1574,3,0.707103507,0,0,0
1585,4,0.704734555,11.575758227472065,1.587601422551223e-4,0.18231072891659197
1599,4,0.706985168,0,0,0
1706,3,0.70668304,0,0,0
1832,6,0.707253496,0,0,0
1937,4,0.705021487,19.707885425739093,2.702912960217612e-4,0.31038648931386764
2012,5,0.706943206,0,0,0
1603,3,0.706797836,0,0,0
1622,3,0.706960455,0,0,0
1628,4,0.704595551,10.749197937699998,1.4742396654999912e-4,0.1692929372557201
1629,3,0.704591443,0,0,0
1631,4,0.704810054,11.84005294979928,1.62384912822148e-4,0.18647320039616477
1638,4,0.704587369,10.688438397448584,1.4659065670850836e-4,0.16833601366987813
1916,4,0.70674398,0,0,0
1912,5,0.705004976,19.578810733130133,2.6852105202068125e-4,0.3083536461227946
1995,3,0.706811121,0,0,0
2134,3,0.70661069,0,0,0
2135,3,0.706871315,0,0,0
2158,3,0.706238015,53.60033998057492,7.35122264392467e-4,0.8441707972826045
1651,3,0.706780422,0,0,0
1654,3,0.706696585,0,0,0
1655,7,0.708688687,0,0,0
1663,3,0.706795801,0,0,0
1669,3,0.706599842,0,0,0
1672,4,0.704623441,10.946971748007545,1.5013641074948555e-4,0.17240774725859406
1939,6,0.706904639,0,0,0
2015,5,0.705013953,0,0,0
2016,7,0.708730416,0,0,0
2018,4,0.706770813,0,0,0
2095,4,0.706794611,0,0,0
2096,6,0.706764557,0,0,0
1956,6,0.706848183,0,0,0
1957,6,0.707292412,0,0,0
2030,6,0.70673265,0,0,0
2031,5,0.705130663,22.818015175540246,3.129463542743167e-4,0.35936902769876367
2033,5,0.705109016,20.98139653576133,2.8775734887269075e-4,0.33044346823387705
2034,5,0.706947125,0,0,0
2273,6,0.707304632,0,0,0
1676,3,0.706158948,0,0,0
1682,4,0.704888261,15.659010372394796,2.1476145799209013e-4,0.24661931762954656
1699,5,0.705055759,19.947957888666057,2.735838611925998e-4,0.3141674758245521
1700,3,0.706693087,0,0,0
1703,3,0.706687156,0,0,0
1714,3,0.706600995,0,0,0
1715,7,0.708694405,0,0,0
1716,3,0.706676645,0,0,0
1718,3,0.706814466,0,0,0
1720,3,0.706828424,0,0,0
1730,3,0.706805106,0,0,0
1852,3,0.705183918,0,0,0
1854,6,0.706647004,0,0,0
1856,3,0.706594296,0,0,0
1857,6,0.706698391,0,0,0
1741,6,0.706999917,0,0,0
1744,4,0.706814775,0,0,0
1745,3,0.706821266,0,0,0
1749,7,0.707050492,0,0,0
1822,4,0.706999477,0,0,0
1827,7,0.708703557,0,0,0
1837,3,0.706491242,0,0,0
1840,3,0.706725518,0,0,0
1849,6,0.706807684,0,0,0
1851,3,0.707127636,0,0,0
1858,3,0.706515879,0,0,0
1861,3,0.704518897,0,0,0
1863,3,0.706568292,0,0,0
1864,3,0.704489456,0,0,0
1865,6,0.706661252,0,0,0
1868,4,0.706399172,0,0,0
1871,3,0.704504749,0,0,0
1874,4,0.706442636,0,0,0
1877,6,0.706754053,0,0,0
1878,3,0.704498014,0,0,0
2060,3,0.706828526,0,0,0
2061,6,0.706788988,0,0,0
2598,4,0.706866814,0,0,0
2162,3,0.706860232,0,0,0
2348,3,0.706891119,0,0,0
2349,3,0.706755828,0,0,0
1879,3,0.704487871,0,0,0
1880,3,0.706736586,0,0,0
1882,4,0.70673415,0,0,0
1884,5,0.705068656,20.77403067551062,2.84913350853267e-4,0.32717758962862054
1900,7,0.708715088,0,0,0
1905,3,0.707403356,0,0,0
3079,5,0.706819099,0,0,0
3080,4,0.706660082,0,0,0
3081,3,0.705039266,0,0,0
5376,4,0.707637078,50.38032100646494,6.909600885463381e-4,0.7934575744630357
5377,5,0.707940224,0,0,0
5379,4,0.706900503,0,0,0
2086,4,0.706889436,0,0,0
8940,5,0.706994798,31.817201503185494,4.363691204968033e-4,0.501100410370145
8941,4,0.70798164,0,0,0
8942,4,0.707981649,0,0,0
12568,3,0.706554773,0,0,0
2604,3,0.706434874,0,0,0
1923,4,0.706339425,0,0,0
1928,4,0.705038988,0,0,0
1929,6,0.706948875,0,0,0
1944,3,0.707313703,0,0,0
1946,4,0.70676111,0,0,0
1950,5,0.705130364,0,0,0
1951,5,0.706944521,0,0,0
1952,4,0.704715149,11.485635825516699,1.5752412427049895e-4,0.18089135918984667
1964,4,0.7050906,21.170812445979273,2.90355165470157e-4,0.3334266466988763
1968,6,0.706944117,0,0,0
1984,5,0.705063551,19.997160206701547,2.742586651110211e-4,0.31494238061170876
2045,4,0.706780726,0,0,0
2280,3,0.706896268,0,0,0
1990,5,0.706918496,0,0,0
1992,6,0.706975757,0,0,0
1996,5,0.706885381,0,0,0
2005,5,0.705009487,19.614923194203374,2.690163301134427e-4,0.30892239410213734
2020,3,0.706813362,0,0,0
2022,3,0.704936978,0,0,0
2023,7,0.708746806,0,0,0
2025,3,0.706119982,0,0,0
2085,6,0.706744949,0,0,0
2142,5,0.705007056,19.595540642291372,2.687505007277258e-4,0.30861713140591457
2185,4,0.70680997,0,0,0
2187,5,0.705005222,0,0,0
2190,4,0.707012537,0,0,0
2312,3,0.706696035,0,0,0
2366,3,0.707029592,0,0,0
2027,3,0.706820868,0,0,0
2040,4,0.704983672,18.410363780915283,2.5249594155224116e-4,0.2899513599508952
2047,6,0.706859514,0,0,0
2048,4,0.704975061,18.34811733948863,2.516422390386281e-4,0.2889710186301837
3142,4,0.70607816,0,0,0
3144,3,0.706700995,0,0,0
3217,3,0.707768881,0,0,0
3278,7,0.708896518,0,0,0
3285,3,0.706519825,0,0,0
3346,3,0.706760233,0,0,0
3063,3,0.707766682,0,0,0
3029,3,0.707991172,0,0,0
3030,3,0.706861371,0,0,0
2934,6,0.707225142,0,0,0
