reachid,Str_Order,iso_pred,assignment_sum,assignment_rescale,assignment_norm,assignment_individuals
9421,2,0.70844677,0,0,0,0
9422,1,0.707295438,0,0,0,0
9423,3,0.708776342,56.769884278368025,4.267031756274708e-4,0.8519852570790653,62.35968219572546
9424,2,0.707577961,0,0,0,0
9425,1,0.708410183,0,0,0,0
9434,2,0.707573798,0,0,0,0
9438,1,0.707223684,0,0,0,0
9439,5,0.708025404,48.843533951978515,3.671258328444238e-4,0.7330289881634184,53.65287058938262
9440,1,0.706905563,0,0,0,0
9441,1,0.707210719,0,0,0,0
9442,2,0.708984219,0,0,0,0
9443,4,0.708420245,53.77974507874002,4.042281977713748e-4,0.8071101521342416,59.07512150690203
9444,3,0.708966761,54.35384596797147,4.0854334964599226e-4,0.8157260846822592,59.70575074731425
9445,3,0.706569026,53.02071510913855,3.9852305141530264e-4,0.7957188598671895,58.24135430298657
9446,1,0.70756039,0,0,0,0
9447,2,0.706901391,0,0,0,0
9448,1,0.708343364,0,0,0,0
9449,3,0.7064064,52.989744796301544,3.9829026723746413e-4,0.7952540667769856,58.20733452488472
9450,4,0.708974135,56.27741262452951,4.230015788870406e-4,0.8445943914126429,61.818719743288774
9451,3,0.708429239,54.16469890392979,4.071216512593716e-4,0.812887422739721,59.49797947999834
9452,1,0.706000557,0,0,0,0
9453,1,0.707739768,0,0,0,0
9454,2,0.707743969,0,0,0,0
9455,2,0.709281567,0,0,0,0
9459,2,0.706971664,0,0,0,0
9460,2,0.707527565,0,0,0,0
9461,1,0.704528424,0,0,0,0
9588,1,0.706887377,0,0,0,0
9589,1,0.707943009,0,0,0,0
9590,1,0.706801503,0,0,0,0
9591,3,0.707331732,0,0,0,0
9592,3,0.707334086,0,0,0,0
9593,1,0.706576752,0,0,0,0
9597,1,0.706492434,0,0,0,0
9598,2,0.707154113,0,0,0,0
9599,1,0.707274142,0,0,0,0
9600,1,0.705237885,0,0,0,0
9601,2,0.708563221,0,0,0,0
9602,3,0.706492178,55.06645410820222,4.1389957258496194e-4,0.8264206921712246,60.48852523628409
9603,2,0.707274295,0,0,0,0
