reachid,Str_Order,iso_pred,assignment_sum,assignment_rescale,assignment_norm,assignment_individuals
928,7,0.707010014,0,0,0,0
929,7,0.707021817,0,0,0,0
427,5,0.706813175,0,0,0,0
429,5,0.706973057,0,0,0,0
440,5,0.706976717,0,0,0,0
442,3,0.706808149,0,0,0,0
443,5,0.70696655,0,0,0,0
452,3,0.705736559,0,0,0,0
453,5,0.706971068,0,0,0,0
455,3,0.706623955,0,0,0,0
457,5,0.706971488,0,0,0,0
465,3,0.706805255,0,0,0,0
467,4,0.706526586,0,0,0,0
489,3,0.706804918,0,0,0,0
490,3,0.70679781,0,0,0,0
491,3,0.705634191,0,0,0,0
498,3,0.706803808,0,0,0,0
526,3,0.706553598,0,0,0,0
530,5,0.706962891,0,0,0,0
543,3,0.706807103,0,0,0,0
550,3,0.706783791,0,0,0,0
555,5,0.706959192,0,0,0,0
1089,1,0.707292696,0,0,0,0
537,1,0.706545643,0,0,0,0
595,2,0.706329176,0,0,0,0
596,1,0.706170992,0,0,0,0
598,2,0.706751174,0,0,0,0
599,1,0.706807775,0,0,0,0
600,1,0.706738577,0,0,0,0
1176,1,0.707262823,0,0,0,0
1177,1,0.704706607,0,0,0,0
1178,1,0.706652497,0,0,0,0
1179,1,0.706862598,0,0,0,0
1189,1,0.706682488,0,0,0,0
1190,1,0.707265441,0,0,0,0
1191,2,0.706544545,0,0,0,0
1192,2,0.706684297,0,0,0,0
1276,1,0.704459579,0,0,0,0
1278,2,0.706385294,0,0,0,0
1279,2,0.706720922,0,0,0,0
1281,1,0.706702911,0,0,0,0
1282,1,0.704639095,0,0,0,0
11543,2,0.708160509,0,0,0,0
11544,2,0.705539192,0,0,0,0
11545,1,0.707448384,0,0,0,0
11546,1,0.707773668,0,0,0,0
12323,2,0.706705323,0,0,0,0
1926,1,0.706726005,0,0,0,0
1999,1,0.704472405,0,0,0,0
2000,2,0.705247156,0,0,0,0
2070,1,0.706789768,0,0,0,0
5538,2,0.705591597,0,0,0,0
5539,1,0.707460894,0,0,0,0
5540,1,0.706897299,0,0,0,0
5541,2,0.706896328,0,0,0,0
5542,2,0.706747937,0,0,0,0
5543,2,0.707549768,0,0,0,0
5544,1,0.706823338,0,0,0,0
8758,1,0.707284856,0,0,0,0
8759,1,0.708194784,0,0,0,0
10212,2,0.704920145,0,0,0,0
10213,2,0.709695552,0,0,0,0
10214,2,0.70863626,0,0,0,0
