number,year,indiv,repunit,collection,PofZ,n_miss_loci,TF_YEAR_ID,FishID,QC_or_RR
20204,2017,KLYUTF17_0005,middle,Henshaw_Creek,6.29e-6,0,KLYUTF17,5,NA
20205,2017,KLYUTF17_0005,middle,Kantishna_R,0.037040294,0,KLYUTF17,5,NA
20206,2017,KLYUTF17_0005,middle,Chatanika_R,1.62e-5,0,KLYUTF17,5,NA
20207,2017,KLYUTF17_0005,middle,Chena_R,1.87629e-4,0,KLYUTF17,5,NA
20208,2017,KLYUTF17_0005,middle,Salcha_R,0.034887533,0,KLYUTF17,5,NA
20209,2017,KLYUTF17_0005,middle,Goodpaster_R,3.1e-5,0,KLYUTF17,5,NA
20210,2017,KLYUTF17_0005,middle,Beaver_Ck,0.063838468,0,KLYUTF17,5,NA
20211,2017,KLYUTF17_0005,middle,Chandalar_R,1.13168e-4,0,KLYUTF17,5,NA
20212,2017,KLYUTF17_0005,middle,Sheenjek_R,2.80053e-4,0,KLYUTF17,5,NA
20213,2017,KLYUTF17_0005,middle,Coleen_R,1.31098e-4,0,KLYUTF17,5,NA
20214,2017,KLYUTF17_0005,upper,Kandik_R,1.08e-6,0,KLYUTF17,5,NA
20215,2017,KLYUTF17_0005,upper,Chandindu_R,5.26e-9,0,KLYUTF17,5,NA
20216,2017,KLYUTF17_0005,upper,Klondike_R,8.77e-8,0,KLYUTF17,5,NA
20217,2017,KLYUTF17_0005,upper,Porcupine_R,4.4e-5,0,KLYUTF17,5,NA
20218,2017,KLYUTF17_0005,upper,Stewart_R,0.041532809,0,KLYUTF17,5,NA
20219,2017,KLYUTF17_0005,upper,Mayo_R,4.12633e-4,0,KLYUTF17,5,NA
20220,2017,KLYUTF17_0005,upper,Pelly_R,2.87e-5,0,KLYUTF17,5,NA
20221,2017,KLYUTF17_0005,upper,Blind_CK,2.73e-5,0,KLYUTF17,5,NA
20222,2017,KLYUTF17_0005,upper,Tincup_Creek,4.34e-5,0,KLYUTF17,5,NA
20223,2017,KLYUTF17_0005,upper,Yukon_R_Mainstem,4.10726e-4,0,KLYUTF17,5,NA
20224,2017,KLYUTF17_0005,upper,Tatchun_CK,8.59e-6,0,KLYUTF17,5,NA
20225,2017,KLYUTF17_0005,upper,Nordenskiold_R,2e-5,0,KLYUTF17,5,NA
20226,2017,KLYUTF17_0005,upper,Little_Salmon_R,4.59e-5,0,KLYUTF17,5,NA
20227,2017,KLYUTF17_0005,upper,Big_Salmon_R,7.6e-6,0,KLYUTF17,5,NA
20228,2017,KLYUTF17_0005,upper,Nisutlin_R,1.0517e-4,0,KLYUTF17,5,NA
20229,2017,KLYUTF17_0005,upper,Teslin_R,0.008569201,0,KLYUTF17,5,NA
20230,2017,KLYUTF17_0005,upper,Morley_R,3.49231e-4,0,KLYUTF17,5,NA
20231,2017,KLYUTF17_0005,upper,Takhini_R,2.49e-5,0,KLYUTF17,5,NA
20232,2017,KLYUTF17_0005,upper,Whitehorse,5.72958e-4,0,KLYUTF17,5,NA
20233,2017,KLYUTF17_0007,lower,Andreafsky_R,2.54e-5,7,KLYUTF17,7,NA
20234,2017,KLYUTF17_0007,lower,Anvik_R,6.28e-6,7,KLYUTF17,7,NA
20235,2017,KLYUTF17_0007,lower,Nulato_R,3.61e-5,7,KLYUTF17,7,NA
20236,2017,KLYUTF17_0007,lower,Gisasa_R,0.025222537,7,KLYUTF17,7,NA
20237,2017,KLYUTF17_0007,lower,Kateel_R,8.78939e-4,7,KLYUTF17,7,NA
20238,2017,KLYUTF17_0007,lower,Tozitna_R,0.033993102,7,KLYUTF17,7,NA
20239,2017,KLYUTF17_0007,middle,S_Fk_Koyukuk_R,1.29674e-4,7,KLYUTF17,7,NA
20240,2017,KLYUTF17_0007,middle,Henshaw_Creek,9.99e-5,7,KLYUTF17,7,NA
20241,2017,KLYUTF17_0007,middle,Kantishna_R,0.009369284,7,KLYUTF17,7,NA
20242,2017,KLYUTF17_0007,middle,Chatanika_R,2.47e-5,7,KLYUTF17,7,NA
20243,2017,KLYUTF17_0007,middle,Chena_R,1.66442e-4,7,KLYUTF17,7,NA
20244,2017,KLYUTF17_0007,middle,Salcha_R,0.020331183,7,KLYUTF17,7,NA
20245,2017,KLYUTF17_0007,middle,Goodpaster_R,3.8e-5,7,KLYUTF17,7,NA
20246,2017,KLYUTF17_0007,middle,Beaver_Ck,0.262347291,7,KLYUTF17,7,NA
20247,2017,KLYUTF17_0007,middle,Chandalar_R,8.29e-5,7,KLYUTF17,7,NA
20248,2017,KLYUTF17_0007,middle,Sheenjek_R,7.06e-5,7,KLYUTF17,7,NA
20249,2017,KLYUTF17_0007,middle,Coleen_R,5.03e-5,7,KLYUTF17,7,NA
20250,2017,KLYUTF17_0007,upper,Kandik_R,2.08e-5,7,KLYUTF17,7,NA
20251,2017,KLYUTF17_0007,upper,Chandindu_R,1.89e-5,7,KLYUTF17,7,NA
20252,2017,KLYUTF17_0007,upper,Klondike_R,2.82e-5,7,KLYUTF17,7,NA
20253,2017,KLYUTF17_0007,upper,Porcupine_R,7.77564e-4,7,KLYUTF17,7,NA
20254,2017,KLYUTF17_0007,upper,Stewart_R,0.387976626,7,KLYUTF17,7,NA
20255,2017,KLYUTF17_0007,upper,Mayo_R,0.001524353,7,KLYUTF17,7,NA
20256,2017,KLYUTF17_0007,upper,Pelly_R,4.62559e-4,7,KLYUTF17,7,NA
20257,2017,KLYUTF17_0007,upper,Blind_CK,0.00195623,7,KLYUTF17,7,NA
20258,2017,KLYUTF17_0007,upper,Tincup_Creek,3.36598e-4,7,KLYUTF17,7,NA
20259,2017,KLYUTF17_0007,upper,Yukon_R_Mainstem,0.008316759,7,KLYUTF17,7,NA
20260,2017,KLYUTF17_0007,upper,Tatchun_CK,0.003923369,7,KLYUTF17,7,NA
20261,2017,KLYUTF17_0007,upper,Nordenskiold_R,7.53257e-4,7,KLYUTF17,7,NA
20262,2017,KLYUTF17_0007,upper,Little_Salmon_R,0.004661837,7,KLYUTF17,7,NA
20263,2017,KLYUTF17_0007,upper,Big_Salmon_R,0.002130895,7,KLYUTF17,7,NA
20264,2017,KLYUTF17_0007,upper,Nisutlin_R,0.004692981,7,KLYUTF17,7,NA
20265,2017,KLYUTF17_0007,upper,Teslin_R,0.208177211,7,KLYUTF17,7,NA
20266,2017,KLYUTF17_0007,upper,Morley_R,0.001451329,7,KLYUTF17,7,NA
20267,2017,KLYUTF17_0007,upper,Takhini_R,8.2e-6,7,KLYUTF17,7,NA
20268,2017,KLYUTF17_0007,upper,Whitehorse,0.019909581,7,KLYUTF17,7,NA
20269,2017,KLYUTF17_0008,lower,Andreafsky_R,9.03e-5,31,KLYUTF17,8,NA
20270,2017,KLYUTF17_0008,lower,Anvik_R,1.69893e-4,31,KLYUTF17,8,NA
20271,2017,KLYUTF17_0008,lower,Nulato_R,1.84697e-4,31,KLYUTF17,8,NA
20272,2017,KLYUTF17_0008,lower,Gisasa_R,0.095631522,31,KLYUTF17,8,NA
20273,2017,KLYUTF17_0008,lower,Kateel_R,0.003853749,31,KLYUTF17,8,NA
20274,2017,KLYUTF17_0008,lower,Tozitna_R,0.03003316,31,KLYUTF17,8,NA
20275,2017,KLYUTF17_0008,middle,S_Fk_Koyukuk_R,8.30046e-4,31,KLYUTF17,8,NA
20276,2017,KLYUTF17_0008,middle,Henshaw_Creek,5.03285e-4,31,KLYUTF17,8,NA
20277,2017,KLYUTF17_0008,middle,Kantishna_R,0.10220596,31,KLYUTF17,8,NA
20278,2017,KLYUTF17_0008,middle,Chatanika_R,6.23002e-4,31,KLYUTF17,8,NA
20279,2017,KLYUTF17_0008,middle,Chena_R,0.002961562,31,KLYUTF17,8,NA
20280,2017,KLYUTF17_0008,middle,Salcha_R,0.403592754,31,KLYUTF17,8,NA
20281,2017,KLYUTF17_0008,middle,Goodpaster_R,4.21996e-4,31,KLYUTF17,8,NA
20282,2017,KLYUTF17_0008,middle,Beaver_Ck,0.1691207,31,KLYUTF17,8,NA
20283,2017,KLYUTF17_0008,middle,Chandalar_R,4.59572e-4,31,KLYUTF17,8,NA
20284,2017,KLYUTF17_0008,middle,Sheenjek_R,0.002054776,31,KLYUTF17,8,NA
20285,2017,KLYUTF17_0008,middle,Coleen_R,2.61042e-4,31,KLYUTF17,8,NA
20286,2017,KLYUTF17_0008,upper,Kandik_R,4.56e-5,31,KLYUTF17,8,NA
20287,2017,KLYUTF17_0008,upper,Chandindu_R,4.61e-5,31,KLYUTF17,8,NA
20288,2017,KLYUTF17_0008,upper,Klondike_R,6.95e-5,31,KLYUTF17,8,NA
20289,2017,KLYUTF17_0008,upper,Porcupine_R,4.23906e-4,31,KLYUTF17,8,NA
20290,2017,KLYUTF17_0008,upper,Stewart_R,0.121656657,31,KLYUTF17,8,NA
20291,2017,KLYUTF17_0008,upper,Mayo_R,0.001118907,31,KLYUTF17,8,NA
20292,2017,KLYUTF17_0008,upper,Pelly_R,2.43166e-4,31,KLYUTF17,8,NA
