focal_reach,stream_order,Year_2015,Year_2016,Year_2018,Year_2021
2709,3,0,0,0,0
2710,3,0,0,0,0
2718,3,0,0,0,0
2721,3,0,0,0,0
2722,3,0,0,0,0
2723,3,0,0,0,0
2724,3,0,0,0,0
2732,3,0,0,0,0
2740,3,0,0,0,0
2744,3,0,0,0,0
2746,3,0,0,0,0
2748,3,0,0,0,0
2753,3,0,0,0,0
2754,3,0,0,0,0
2755,3,0,0,0,0
2757,3,0,0,0,0
2759,3,0,0,0,0
2762,3,0,0,0,0
2763,3,0,0,0,0
2767,3,0,0,0,0
2770,3,0,0,0,0
2772,3,0,0,0,0
2775,3,0,0,0,0
2777,3,0,0,0,0
2783,3,0,0,0,0
2784,3,0,0,0,0
2793,3,0,0,0,0
2795,3,0,0,0,0
2804,3,0,0,0,0
2807,3,0,0,0,0
2808,3,0,0,0,0
2811,3,0,0,0,0
2812,3,0,0,0,0
2814,3,0,0,0,0
2816,3,0,0,0,0
2820,3,0,0,0,0
2822,3,0,0,0,0
2823,3,0,0,0,0
2824,3,0,0,0,0
2829,3,0,0,0,0
2832,3,0,0,0,0
2834,3,0,0,0,0
2840,3,0,0,0,0
2841,3,0,0,0,0
2848,3,0,0,0,0
2850,3,0,0,0,0
2852,3,0,0,0,0
2853,3,0,0,0,0
2854,3,0,0,0,0
2855,3,0,0,0,0
2856,3,0,0,0,0
2857,3,0,0,0,0
2864,3,0,0,0,0
2874,3,0,0,0,0
2875,3,0,0,0,0
2885,3,0,0,0,0
2887,3,0,0,0,0
2888,3,0,0,0,0
2889,3,0,0,0,0
2894,3,0,0,0,0
2895,3,0,0,0,0
2897,3,0,0,0,0
2898,3,0,0,0,0
2899,3,0,0,0,0
2902,3,0,0,0,0
2903,3,0,0,0,0
2904,3,0,0,0,0
2906,3,0,0,0,0
2917,3,0,0,0,0
2935,3,0,0,0,0
2938,3,0,0,0,0
2940,3,0,0,0,0
2947,3,0,0,0,0
2950,3,0,0,0,0
2954,3,0,0,0,0
2955,3,0,0,0,0
2963,3,0,0,0,0
2966,3,0,0,0,0
2970,3,0,0,0,0
2972,3,0,0,0,0
2976,3,0,0,0,0
2979,3,0,0,0,0
2982,3,0,0,0,0
2985,3,0,0,0,0
2987,3,0,0,0,0
2989,3,0,0,0,0
2994,3,0,0,0,0
2995,3,0,0,0,0
3001,3,0,0,0,0
