"","basin_assign_rescale"
"315",8.3154425327326e-05
"316",7.15244357710567e-05
"317",8.48989237607665e-05
"318",5.46609509144661e-05
"319",9.01324190610877e-05
"320",8.37359248051395e-05
"321",6.62909404707355e-05
"322",7.50134326379375e-05
"323",7.61764315935644e-05
"324",7.85024295048183e-05
"325",5.75684483035334e-05
"326",7.4431933160124e-05
"327",8.89694201054607e-05
"328",6.62909404707355e-05
"329",6.28019436038547e-05
"330",8.37359248051395e-05
"331",8.19914263716991e-05
"332",8.19914263716991e-05
"333",8.4317424282953e-05
"334",8.19914263716991e-05
"335",7.85024295048183e-05
"336",6.51279415151085e-05
"337",8.89694201054607e-05
"338",8.37359248051395e-05
"339",9.01324190610877e-05
"340",8.48989237607665e-05
"341",6.86169383819893e-05
"342",8.14099268938857e-05
"343",8.37359248051395e-05
"344",6.51279415151085e-05
"345",8.72249216720203e-05
"346",8.14099268938857e-05
"347",9.01324190610877e-05
"348",8.95509195832742e-05
"349",8.02469279382587e-05
"350",8.4317424282953e-05
"351",5.81499477813469e-05
"352",8.60619227163934e-05
"353",7.67579310713779e-05
"354",5.5823949870093e-05
"355",8.19914263716991e-05
"356",5.52424503922795e-05
"357",2.50044775459792e-05
"358",6.51279415151085e-05
"359",8.95509195832742e-05
"360",5.46609509144661e-05
"361",5.5823949870093e-05
"362",8.89694201054607e-05
"363",8.37359248051395e-05
"364",7.03614368154297e-05
"365",7.85024295048183e-05
"366",6.86169383819893e-05
"367",6.22204441260412e-05
"368",6.04759456926008e-05
"369",8.14099268938857e-05
"370",7.50134326379375e-05
"371",8.66434221942069e-05
"372",8.14099268938857e-05
"373",7.50134326379375e-05
"374",7.79209300270048e-05
"375",7.03614368154297e-05
"376",6.51279415151085e-05
"377",5.93129467369738e-05
"378",8.66434221942069e-05
"379",8.89694201054607e-05
"380",8.3154425327326e-05
"381",9.07139185389011e-05
"382",8.02469279382587e-05
"383",7.09429362932432e-05
"384",6.04759456926008e-05
"385",8.19914263716991e-05
"386",7.38504336823106e-05
"387",6.4546442037295e-05
"388",8.14099268938857e-05
"389",8.14099268938857e-05
"390",8.02469279382587e-05
"391",8.14099268938857e-05
"392",8.60619227163934e-05
"393",6.68724399485489e-05
"394",6.04759456926008e-05
"395",6.5709440992922e-05
"396",7.15244357710567e-05
"397",8.14099268938857e-05
"398",5.81499477813469e-05
"399",8.08284274160722e-05
"400",5.5823949870093e-05
"401",9.07139185389011e-05
"402",8.72249216720203e-05
"403",8.60619227163934e-05
"404",6.04759456926008e-05
"405",7.4431933160124e-05
"406",8.37359248051395e-05
"407",8.3154425327326e-05
"408",7.79209300270048e-05
