"","basin_assign_rescale"
"230",4.38236785595783e-05
"231",6.57355178393674e-05
"232",9.39078826276678e-05
"233",2.81723647883003e-05
"234",5.63447295766007e-05
"235",5.94749923308563e-05
"236",4.38236785595783e-05
"237",3.44328902968115e-05
"238",5.94749923308563e-05
"239",3.75631530510671e-05
"240",4.06934158053227e-05
"241",4.06934158053227e-05
"242",2.81723647883003e-05
"243",3.44328902968115e-05
"244",3.13026275425559e-05
"245",4.06934158053227e-05
"246",1.5651313771278e-05
"247",5.32144668223451e-05
"248",4.06934158053227e-05
"249",0
"250",5.63447295766007e-05
"251",6.26052550851118e-05
"252",3.75631530510671e-05
"253",4.38236785595783e-05
"254",4.38236785595783e-05
"255",2.81723647883003e-05
"256",6.26052550851118e-05
"257",4.06934158053227e-05
"258",3.75631530510671e-05
"259",2.81723647883003e-05
"260",6.26052550851118e-05
"261",3.75631530510671e-05
"262",2.81723647883003e-05
"263",5.94749923308563e-05
"264",3.13026275425559e-05
"265",6.26052550851118e-05
"266",3.75631530510671e-05
"267",4.06934158053227e-05
"268",5.63447295766007e-05
"269",0
"270",5.63447295766007e-05
"271",1.25210510170224e-05
"272",2.19118392797891e-05
"273",6.26052550851118e-05
"274",5.63447295766007e-05
"275",2.19118392797891e-05
"276",5.63447295766007e-05
"277",4.38236785595783e-05
"278",4.38236785595783e-05
"279",5.94749923308563e-05
"280",6.26052550851118e-05
"281",6.26052550851118e-06
"282",0
"283",5.63447295766007e-05
"284",3.13026275425559e-05
"285",3.75631530510671e-05
"286",6.26052550851118e-05
"287",5.63447295766007e-05
"288",5.63447295766007e-05
"289",5.63447295766007e-05
"290",4.06934158053227e-05
"291",0
"292",4.38236785595783e-05
"293",3.75631530510671e-05
"294",3.75631530510671e-05
"295",0
"296",4.38236785595783e-05
"297",6.26052550851118e-05
"298",4.38236785595783e-05
"299",5.94749923308563e-05
"300",5.63447295766007e-05
"301",2.81723647883003e-05
"302",3.75631530510671e-05
"303",0
"304",4.06934158053227e-05
"305",6.26052550851118e-05
"306",3.75631530510671e-05
"307",5.63447295766007e-05
"308",6.26052550851118e-05
"309",4.38236785595783e-05
"310",3.75631530510671e-05
"311",3.44328902968115e-05
"312",6.57355178393674e-05
"313",4.38236785595783e-05
"314",4.06934158053227e-05
"315",5.63447295766007e-05
"316",2.81723647883003e-05
"317",4.38236785595783e-05
"318",6.57355178393674e-05
"319",3.44328902968115e-05
"320",3.75631530510671e-05
"321",5.94749923308563e-05
"322",0
"323",3.13026275425559e-05
"324",5.63447295766007e-05
"325",1.5651313771278e-05
"326",0
"327",2.81723647883003e-05
"328",5.94749923308563e-05
"329",2.50421020340447e-05
"330",5.94749923308563e-05
"331",3.75631530510671e-05
"332",3.75631530510671e-05
"333",5.63447295766007e-05
"334",3.75631530510671e-05
"335",5.63447295766007e-05
"336",5.94749923308563e-05
"337",3.44328902968115e-05
"338",3.75631530510671e-05
"339",4.06934158053227e-05
"340",5.32144668223451e-05
"341",5.94749923308563e-05
"342",3.75631530510671e-05
"343",3.75631530510671e-05
"344",5.94749923308563e-05
"345",4.06934158053227e-05
"346",3.75631530510671e-05
"347",3.44328902968115e-05
"348",4.69539413138339e-05
"349",3.75631530510671e-05
