"","basin_assign_rescale"
"104",6.02420610069951e-05
"105",2.52176069331607e-05
"106",4.20293448886012e-05
"107",6.16430391699485e-05
"108",5.6039126518135e-05
"109",6.30440173329018e-05
"110",6.02420610069951e-05
"111",2.10146724443006e-05
"112",6.02420610069951e-05
"113",5.74401046810883e-05
"114",5.74401046810883e-05
"115",6.02420610069951e-05
"116",4.34303230515546e-05
"117",4.62322793774613e-05
"118",1.40097816295337e-05
"119",0
"120",3.50244540738343e-05
"121",7.70537989624356e-05
"122",6.16430391699485e-05
"123",5.88410828440417e-05
"124",5.74401046810883e-05
"125",5.88410828440417e-05
"126",1.40097816295337e-06
"127",2.80195632590675e-05
"128",5.74401046810883e-05
"129",5.88410828440417e-05
"130",6.58459736588086e-05
"131",6.30440173329018e-05
"132",6.30440173329018e-05
"133",6.30440173329018e-05
"134",6.30440173329018e-05
"135",2.94205414220209e-05
"136",6.30440173329018e-05
"137",5.88410828440417e-05
"138",6.30440173329018e-05
"139",6.16430391699485e-05
"140",6.02420610069951e-05
"141",7.14498863106221e-05
"142",6.86479299847153e-05
"143",6.30440173329018e-05
"144",7.28508644735755e-05
"145",3.78264103997411e-05
"146",0
"147",6.30440173329018e-05
"148",1.68117379554405e-05
"149",1.54107597924871e-05
"150",6.58459736588086e-05
"151",7.14498863106221e-05
"152",6.02420610069951e-05
"153",6.30440173329018e-05
"154",7.14498863106221e-05
"155",6.30440173329018e-05
"156",4.4831301214508e-05
"157",0
"158",7.14498863106221e-05
"159",2.80195632590675e-06
"160",5.18361920292748e-05
"161",0
"162",7.14498863106221e-05
"163",1.68117379554405e-05
"164",7.84547771253889e-05
"165",6.16430391699485e-05
"166",1.54107597924871e-05
"167",2.52176069331607e-05
"168",3.78264103997411e-05
"169",6.30440173329018e-05
"170",5.18361920292748e-05
"171",5.18361920292748e-05
"172",1.40097816295337e-05
"173",3.92273885626945e-05
"174",4.20293448886012e-06
"175",6.58459736588086e-05
"176",6.30440173329018e-05
"177",5.74401046810883e-05
"178",7.00489081476687e-05
"179",6.02420610069951e-05
"180",5.74401046810883e-05
"181",7.00489081476687e-05
"182",6.58459736588086e-05
"183",5.74401046810883e-05
"184",2.10146724443006e-05
"185",5.32371701922282e-05
"186",5.18361920292748e-05
"187",5.04352138663215e-05
"188",4.20293448886012e-06
"189",7.14498863106221e-05
"190",7.14498863106221e-05
"191",6.30440173329018e-05
"192",6.02420610069951e-05
"193",4.20293448886012e-05
"194",6.30440173329018e-05
"195",5.6039126518135e-05
"196",4.62322793774613e-05
"197",6.58459736588086e-05
"198",5.04352138663215e-05
"199",1.54107597924871e-05
"200",8.40586897772024e-06
"201",6.58459736588086e-05
"202",3.64254322367877e-05
"203",3.08215195849742e-05
"204",2.94205414220209e-05
"205",3.78264103997411e-05
"206",2.94205414220209e-05
"207",6.58459736588086e-05
"208",6.44449954958552e-05
"209",4.20293448886012e-06
"210",5.18361920292748e-05
"211",6.30440173329018e-05
"212",7.42518426365288e-05
"213",5.32371701922282e-05
"214",6.58459736588086e-05
"215",6.44449954958552e-05
"216",5.32371701922282e-05
"217",7.56528207994822e-05
"218",0
"219",6.02420610069951e-05
"220",6.7246951821762e-05
"221",2.2415650607254e-05
"222",5.6039126518135e-05
"223",6.16430391699485e-05
"224",6.58459736588086e-05
"225",6.30440173329018e-05
"226",1.40097816295337e-05
"227",5.88410828440417e-05
"228",6.16430391699485e-05
"229",6.02420610069951e-05
"230",6.16430391699485e-05
"231",7.14498863106221e-05
"232",7.56528207994822e-05
"233",2.10146724443006e-05
"234",6.44449954958552e-05
"235",6.58459736588086e-05
"236",6.02420610069951e-05
"237",5.88410828440417e-05
"238",6.44449954958552e-05
"239",5.74401046810883e-05
"240",6.30440173329018e-05
"241",5.88410828440417e-05
"242",2.38166287702074e-05
"243",6.02420610069951e-05
"244",5.74401046810883e-05
"245",6.16430391699485e-05
"246",1.54107597924871e-05
"247",6.44449954958552e-05
"248",6.30440173329018e-05
"249",2.80195632590675e-06
"250",6.30440173329018e-05
"251",7.42518426365288e-05
"252",6.30440173329018e-05
"253",5.74401046810883e-05
"254",6.30440173329018e-05
"255",3.08215195849742e-05
"256",7.00489081476687e-05
"257",6.16430391699485e-05
"258",6.30440173329018e-05
"259",2.38166287702074e-05
"260",6.7246951821762e-05
"261",6.16430391699485e-05
"262",2.38166287702074e-05
"263",6.58459736588086e-05
"264",3.78264103997411e-05
"265",6.58459736588086e-05
"266",5.04352138663215e-05
"267",6.30440173329018e-05
"268",6.02420610069951e-05
"269",2.80195632590675e-06
"270",6.44449954958552e-05
"271",1.54107597924871e-05
"272",1.68117379554405e-05
"273",6.86479299847153e-05
"274",6.44449954958552e-05
"275",1.68117379554405e-05
"276",6.16430391699485e-05
"277",5.74401046810883e-05
"278",5.74401046810883e-05
"279",6.58459736588086e-05
"280",7.00489081476687e-05
"281",1.54107597924871e-05
"282",0
"283",6.02420610069951e-05
"284",3.78264103997411e-05
"285",4.76332575404147e-05
"286",6.58459736588086e-05
"287",6.16430391699485e-05
"288",6.30440173329018e-05
"289",6.02420610069951e-05
"290",5.6039126518135e-05
"291",1.40097816295337e-05
"292",5.74401046810883e-05
"293",5.18361920292748e-05
"294",4.76332575404147e-05
"295",0
"296",5.74401046810883e-05
"297",7.00489081476687e-05
"298",6.44449954958552e-05
"299",6.58459736588086e-05
"300",6.16430391699485e-05
"301",3.50244540738343e-05
"302",5.18361920292748e-05
"303",4.20293448886012e-06
"304",6.30440173329018e-05
"305",6.7246951821762e-05
"306",5.32371701922282e-05
"307",6.30440173329018e-05
"308",7.00489081476687e-05
"309",5.88410828440417e-05
"310",4.76332575404147e-05
"311",4.62322793774613e-05
"312",7.00489081476687e-05
"313",5.74401046810883e-05
"314",6.30440173329018e-05
"315",6.02420610069951e-05
"316",3.08215195849742e-05
"317",6.16430391699485e-05
"318",7.14498863106221e-05
"319",6.02420610069951e-05
"320",5.32371701922282e-05
"321",6.58459736588086e-05
"322",2.38166287702074e-05
"323",3.64254322367877e-05
"324",6.44449954958552e-05
"325",1.54107597924871e-05
"326",2.38166287702074e-05
"327",5.6039126518135e-05
"328",6.58459736588086e-05
"329",1.68117379554405e-05
"330",6.02420610069951e-05
"331",4.90342357033681e-05
"332",4.90342357033681e-05
"333",6.02420610069951e-05
