"","basin_assign_rescale"
"342",5.59800944810311e-05
"343",5.51445706828068e-05
"344",6.29427927995673e-05
"345",5.68156182792554e-05
"346",5.45875548173239e-05
"347",5.93221896739285e-05
"348",5.84866658757041e-05
"349",5.37520310190995e-05
"350",6.2107269001343e-05
"351",5.29165072208752e-05
"352",5.82081579429627e-05
"353",5.34735230863581e-05
"354",5.34735230863581e-05
"355",5.51445706828068e-05
"356",6.34998086650502e-05
"357",5.48660627500653e-05
"358",6.34998086650502e-05
"359",5.84866658757041e-05
"360",6.34998086650502e-05
"361",5.37520310190995e-05
"362",5.73726341447383e-05
"363",6.04362214048943e-05
"364",5.34735230863581e-05
"365",5.45875548173239e-05
"366",5.96006976066699e-05
"367",5.29165072208752e-05
"368",5.29165072208752e-05
"369",5.51445706828068e-05
"370",6.12717452031186e-05
"371",5.68156182792554e-05
"372",5.51445706828068e-05
"373",5.79296500102212e-05
"374",5.70941262119969e-05
"375",5.34735230863581e-05
"376",6.26642848668259e-05
"377",5.34735230863581e-05
"378",5.9043681741187e-05
"379",5.73726341447383e-05
"380",5.73726341447383e-05
"381",5.87651738084456e-05
"382",5.37520310190995e-05
"383",6.18287610686015e-05
"384",5.29165072208752e-05
"385",5.48660627500653e-05
"386",6.12717452031186e-05
"387",6.26642848668259e-05
"388",6.12717452031186e-05
"389",5.37520310190995e-05
"390",5.37520310190995e-05
"391",6.12717452031186e-05
"392",5.62586024137726e-05
"393",6.2107269001343e-05
"394",5.29165072208752e-05
"395",6.23857769340844e-05
"396",5.34735230863581e-05
"397",6.09932372703772e-05
"398",6.26642848668259e-05
"399",6.12717452031186e-05
"400",5.34735230863581e-05
"401",5.79296500102212e-05
"402",5.68156182792554e-05
"403",5.62586024137726e-05
"404",5.29165072208752e-05
"405",5.29165072208752e-05
"406",5.70941262119969e-05
"407",5.96006976066699e-05
"408",5.31950151536166e-05
"409",5.34735230863581e-05
"410",6.26642848668259e-05
"411",6.26642848668259e-05
"412",5.84866658757041e-05
"413",6.09932372703772e-05
"414",6.26642848668259e-05
"415",5.96006976066699e-05
"416",6.26642848668259e-05
"417",5.51445706828068e-05
"418",5.29165072208752e-05
"419",5.76511420774798e-05
"420",5.79296500102212e-05
"421",5.79296500102212e-05
"422",5.34735230863581e-05
"423",5.68156182792554e-05
"424",5.96006976066699e-05
"425",5.98792055394114e-05
"426",5.79296500102212e-05
"427",5.62586024137726e-05
"428",5.26379992881337e-05
"429",5.29165072208752e-05
"430",6.23857769340844e-05
"431",6.04362214048943e-05
"432",5.84866658757041e-05
"433",5.31950151536166e-05
"434",5.29165072208752e-05
"435",5.34735230863581e-05
"436",5.12454596244265e-05
"437",6.09932372703772e-05
"438",5.37520310190995e-05
"439",5.62586024137726e-05
"440",6.2107269001343e-05
"441",5.68156182792554e-05
"442",6.09932372703772e-05
"443",6.23857769340844e-05
"444",5.84866658757041e-05
"445",5.68156182792554e-05
"446",5.62586024137726e-05
"447",5.29165072208752e-05
"448",5.79296500102212e-05
"449",5.73726341447383e-05
"450",5.31950151536166e-05
"451",5.34735230863581e-05
"452",6.07147293376357e-05
"453",5.98792055394114e-05
"454",5.34735230863581e-05
"455",6.26642848668259e-05
"456",5.62586024137726e-05
"457",5.29165072208752e-05
"458",6.29427927995673e-05
"459",6.09932372703772e-05
"460",5.82081579429627e-05
"461",5.68156182792554e-05
"462",5.68156182792554e-05
"463",6.01577134721528e-05
"464",5.98792055394114e-05
"465",5.6537110346514e-05
"466",5.51445706828068e-05
"467",5.76511420774798e-05
"468",5.62586024137726e-05
"469",5.9043681741187e-05
"470",5.43090468845824e-05
"471",5.96006976066699e-05
"472",5.62586024137726e-05
"473",5.96006976066699e-05
"474",5.93221896739285e-05
"475",5.93221896739285e-05
"476",5.62586024137726e-05
"477",6.18287610686015e-05
"478",5.6537110346514e-05
"479",5.84866658757041e-05
"480",5.98792055394114e-05
"481",5.48660627500653e-05
"482",5.68156182792554e-05
"483",5.51445706828068e-05
"484",6.18287610686015e-05
"485",5.68156182792554e-05
"486",5.73726341447383e-05
"487",5.68156182792554e-05
"488",5.62586024137726e-05
"489",5.62586024137726e-05
"490",5.70941262119969e-05
"491",5.34735230863581e-05
"492",5.20809834226508e-05
"493",5.84866658757041e-05
"494",5.73726341447383e-05
"495",5.9043681741187e-05
"496",5.73726341447383e-05
"497",5.76511420774798e-05
"498",5.29165072208752e-05
"499",5.62586024137726e-05
"500",5.62586024137726e-05
"501",5.73726341447383e-05
"502",5.93221896739285e-05
"503",5.96006976066699e-05
"504",6.18287610686015e-05
"505",5.79296500102212e-05
"506",5.84866658757041e-05
"507",5.93221896739285e-05
"508",5.31950151536166e-05
"509",5.29165072208752e-05
"510",5.62586024137726e-05
"511",5.31950151536166e-05
"512",5.31950151536166e-05
"513",6.18287610686015e-05
"514",5.98792055394114e-05
"515",5.93221896739285e-05
"516",5.93221896739285e-05
"517",5.70941262119969e-05
"518",6.09932372703772e-05
"519",6.26642848668259e-05
"520",5.96006976066699e-05
"521",6.09932372703772e-05
"522",5.96006976066699e-05
"523",5.79296500102212e-05
"524",5.04099358262021e-05
"525",5.84866658757041e-05
"526",5.34735230863581e-05
"527",5.15239675571679e-05
"528",5.79296500102212e-05
"529",5.62586024137726e-05
"530",5.84866658757041e-05
"531",4.98529199607192e-05
"532",5.51445706828068e-05
"533",6.26642848668259e-05
"534",5.34735230863581e-05
"535",0
"536",5.68156182792554e-05
"537",5.68156182792554e-05
"538",5.37520310190995e-05
"539",5.4030538951841e-05
"540",6.09932372703772e-05
"541",5.62586024137726e-05
"542",5.04099358262021e-05
"543",5.79296500102212e-05
"544",5.84866658757041e-05
"545",5.93221896739285e-05
"546",5.51445706828068e-05
"547",5.6537110346514e-05
"548",5.73726341447383e-05
"549",5.29165072208752e-05
"550",5.31950151536166e-05
"551",5.84866658757041e-05
"552",5.37520310190995e-05
"553",5.73726341447383e-05
"554",6.34998086650502e-05
"555",5.79296500102212e-05
"556",5.62586024137726e-05
"557",5.76511420774798e-05
"558",5.29165072208752e-05
