FishID,natal_iso,natal_isose,Date,OtoNum,DOY,Days_into_run,Prop_run,Year,Watershed,dailyCPUEprop,OtoPropDaily,COratio,Strat,Quartile
2018_kk_096_redo,0.710376086,8.15e-5,6/15/18,96,166,15,0.283018868,2018,Kuskokwim,0.05083752352160902,0.04938271604938271,1.0294598513125828,0.985641379071655,Q2
2018_kk_097,0.709388632,1.00779e-4,6/15/18,97,166,15,0.283018868,2018,Kuskokwim,0.05083752352160902,0.04938271604938271,1.0294598513125828,0.985641379071655,Q2
2018_kk_098_redo,0.709129163,1.34648e-4,6/15/18,98,166,15,0.283018868,2018,Kuskokwim,0.05083752352160902,0.04938271604938271,1.0294598513125828,0.985641379071655,Q2
2018_kk_101,0.706598995,7.26e-5,6/16/18,101,167,16,0.301886792,2018,Kuskokwim,0.024138569269210593,0.024691358024691357,0.9776120554030291,1.0965442179425446,Q2
2018_kk_102,0.708971954,1.08607e-4,6/16/18,102,167,16,0.301886792,2018,Kuskokwim,0.024138569269210593,0.024691358024691357,0.9776120554030291,1.0965442179425446,Q2
2018_kk_103_redo,0.709104216,1.017e-4,6/17/18,103,168,17,0.320754717,2018,Kuskokwim,0.02045223185365703,0.0205761316872428,0.9939784680877316,1.0965442179425446,Q2
2018_kk_106_redo,0.709188043,1.60032e-4,6/17/18,106,168,17,0.320754717,2018,Kuskokwim,0.02045223185365703,0.0205761316872428,0.9939784680877316,1.0965442179425446,Q2
2018_kk_107,0.704904683,1.1482e-4,6/17/18,107,168,17,0.320754717,2018,Kuskokwim,0.02045223185365703,0.0205761316872428,0.9939784680877316,1.0965442179425446,Q2
2018_kk_109,0.706809421,5.63e-5,6/17/18,109,168,17,0.320754717,2018,Kuskokwim,0.02045223185365703,0.0205761316872428,0.9939784680877316,1.0965442179425446,Q2
2018_kk_110,0.709205173,7.74e-5,6/16/18,110,167,16,0.301886792,2018,Kuskokwim,0.024138569269210593,0.024691358024691357,0.9776120554030291,1.0965442179425446,Q2
2018_kk_111,0.706120167,8.35e-5,6/16/18,111,167,16,0.301886792,2018,Kuskokwim,0.024138569269210593,0.024691358024691357,0.9776120554030291,1.0965442179425446,Q2
2018_kk_114_redo,0.706757742,1.59886e-4,6/16/18,114,167,16,0.301886792,2018,Kuskokwim,0.024138569269210593,0.024691358024691357,0.9776120554030291,1.0965442179425446,Q2
2018_kk_116_redo,0.706612536,1.855e-4,6/16/18,116,167,16,0.301886792,2018,Kuskokwim,0.024138569269210593,0.024691358024691357,0.9776120554030291,1.0965442179425446,Q2
2018_kk_118,0.707101012,8.4e-5,6/18/18,118,169,18,0.339622642,2018,Kuskokwim,0.022256840546626765,0.0205761316872428,1.0816824505660607,1.0965442179425446,Q2
2018_kk_121,0.707914409,1.26356e-4,6/17/18,121,168,17,0.320754717,2018,Kuskokwim,0.02045223185365703,0.0205761316872428,0.9939784680877316,1.0965442179425446,Q2
2018_kk_122,0.707958478,8.2e-5,6/19/18,122,170,19,0.358490566,2018,Kuskokwim,0.015285189869512907,0.00823045267489712,1.857150569145818,1.0965442179425446,Q2
2018_kk_123,0.709316502,9.04e-5,6/19/18,123,170,19,0.358490566,2018,Kuskokwim,0.015285189869512907,0.00823045267489712,1.857150569145818,1.0965442179425446,Q2
2018_kk_125,0.708323481,8.99e-5,6/18/18,125,169,18,0.339622642,2018,Kuskokwim,0.022256840546626765,0.0205761316872428,1.0816824505660607,1.0965442179425446,Q2
2018_kk_127,0.710725125,1.66874e-4,6/18/18,127,169,18,0.339622642,2018,Kuskokwim,0.022256840546626765,0.0205761316872428,1.0816824505660607,1.0965442179425446,Q2
2018_kk_128,0.705158179,1.41145e-4,6/18/18,128,169,18,0.339622642,2018,Kuskokwim,0.022256840546626765,0.0205761316872428,1.0816824505660607,1.0965442179425446,Q2
2018_kk_129_redo,0.706736156,1.31907e-4,6/18/18,129,169,18,0.339622642,2018,Kuskokwim,0.022256840546626765,0.0205761316872428,1.0816824505660607,1.0965442179425446,Q2
2018_kk_132,0.70716323,8.26e-5,6/20/18,132,171,20,0.377358491,2018,Kuskokwim,0.02165530431563685,0.0205761316872428,1.052447789739951,1.0965442179425446,Q2
2018_kk_134,0.714792243,1.43256e-4,6/20/18,134,171,20,0.377358491,2018,Kuskokwim,0.02165530431563685,0.0205761316872428,1.052447789739951,1.0965442179425446,Q2
2018_kk_136,0.70863215,1.08487e-4,6/20/18,136,171,20,0.377358491,2018,Kuskokwim,0.02165530431563685,0.0205761316872428,1.052447789739951,1.0965442179425446,Q2
2018_kk_137,0.706007862,8e-5,6/20/18,137,171,20,0.377358491,2018,Kuskokwim,0.02165530431563685,0.0205761316872428,1.052447789739951,1.0965442179425446,Q2
2018_kk_138_redo,0.704942387,1.79312e-4,6/20/18,138,171,20,0.377358491,2018,Kuskokwim,0.02165530431563685,0.0205761316872428,1.052447789739951,1.0965442179425446,Q2
