FishID,natal_iso,natal_isose
2016_yukon_chin_yk037 ,0.707099959,7.19E-05
2016_yukon_chin_yk038 ,0.705627972,8.08E-05
2016_yukon_chin_yk039_redo ,0.712138979,0.000123091
2016_yukon_chin_yk040 ,0.706597908,6.59E-05
2016_yukon_chin_yk041 ,0.712288645,8.63E-05
2016_yukon_chin_yk042_redo ,0.707035029,8.18E-05
2016_yukon_chin_yk043 ,0.710102628,8.92E-05
2016_yukon_chin_yk044_redo ,0.708114623,0.000122981
2016_yukon_chin_yk045 ,0.707464474,5.47E-05
2016_yukon_chin_yk046_redo ,0.712483957,0.000150895
2016_yukon_chin_yk047 ,0.707373132,5.61E-05
2016_yukon_chin_yk048 ,0.714362482,0.000129559
2016_yukon_chin_yk049 ,0.707364871,6.38E-05
2016_yukon_chin_yk050 ,0.70715928,6.66E-05
2016_yukon_chin_yk051_redo ,0.706285126,0.000183792
2016_yukon_chin_yk052 ,0.724568188,9.63E-05
2016_yukon_chin_yk053_redo ,0.710413092,0.000225051
2016_yukon_chin_yk054_redo ,0.709822467,0.000258303
2016_yukon_chin_yk055 ,0.706048262,8.76E-05
2016_yukon_chin_yk056 ,0.70655383,7.47E-05
2016_yukon_chin_yk057_redo ,0.723588504,0.000128714
2016_yukon_chin_yk058_redo ,0.706818043,0.000142342
2016_yukon_chin_yk059 ,0.710206237,0.000129163
2016_yukon_chin_yk060_redo ,0.706792,0.000152986
2016_yukon_chin_yk061 ,0.70659542,8.98E-05
2016_yukon_chin_yk062_redo ,0.710921211,0.000186564
2016_yukon_chin_yk063 ,0.714234758,0.000140849
2016_yukon_chin_yk064 ,0.707959088,5.41E-05
2016_yukon_chin_yk065 ,0.723139502,0.000118293
2016_yukon_chin_yk066_redo ,0.707086369,0.00011181
2016_yukon_chin_yk067_redo ,0.707215202,0.000112938
2016_yukon_chin_yk068 ,0.709800003,8.73E-05
2016_yukon_chin_yk069 ,0.726011315,0.000101648
2016_yukon_chin_yk070 ,0.716833772,0.00014153
2016_yukon_chin_yk071 ,0.713785104,0.000166396
2016_yukon_chin_yk072 ,0.706633362,7.66E-05
2016_yukon_chin_yk073 ,0.707229969,7.34E-05
2016_yukon_chin_yk074_redo ,0.706509934,8.65E-05
2016_yukon_chin_yk075 ,0.709313815,0.000140543
2016_yukon_chin_yk076 ,0.714811059,0.000135952
2016_yukon_chin_yk077 ,0.706240956,8.19E-05
2016_yukon_chin_yk078_redo ,0.739809212,0.000137877
2016_yukon_chin_yk079 ,0.706446849,8.44E-05
2016_yukon_chin_yk080 ,0.707417482,5.09E-05
2016_yukon_chin_yk081 ,0.710590729,9.97E-05
2016_yukon_chin_yk082_redo ,0.709785488,0.000131765
2016_yukon_chin_yk083_redo ,0.712806664,0.000204961
2016_yukon_chin_yk084 ,0.712067493,0.000155874
2016_yukon_chin_yk085_redo ,0.712140151,9.03E-05
2016_yukon_chin_yk086 ,0.707490213,6.11E-05
2016_yukon_chin_yk087 ,0.708765445,0.000127159
2016_yukon_chin_yk088_redo ,0.712829872,0.000181649
2016_yukon_chin_yk089_redo ,0.707115629,0.000132292
2016_yukon_chin_yk090 ,0.717754668,0.000209526
2016_yukon_chin_yk091 ,0.707149353,8.98E-05
2016_yukon_chin_yk092 ,0.739276505,0.00016027
2016_yukon_chin_yk093 ,0.707730596,5.40E-05
2016_yukon_chin_yk094 ,0.714776135,0.000144023
2016_yukon_chin_yk095_redo ,0.726260013,0.000113964
2016_yukon_chin_yk096_redo ,0.707288166,6.91E-05
2016_yukon_chin_yk097 ,0.707854823,6.17E-05
2016_yukon_chin_yk098_redo ,0.711293738,0.000148052
2016_yukon_chin_yk099 ,0.716646366,7.93E-05
2016_yukon_chin_yk100 ,0.711450738,9.30E-05
2016_yukon_chin_yk101 ,0.716672469,0.000123111
2016_yukon_chin_yk102a ,0.722954685,0.000260686
2016_yukon_chin_yk103b ,0.719534686,8.77E-05
2016_yukon_chin_yk104_redo ,0.71582731,0.000143469
2016_yukon_chin_yk105 ,0.712095494,0.000108426
2016_yukon_chin_yk107 ,0.709806399,6.91E-05
2016_yukon_chin_yk108 ,0.721426491,0.000143463
2016_yukon_chin_yk109 ,0.715995088,0.000114357
2016_yukon_chin_yk110_redo ,0.713283277,0.000130213
2016_yukon_chin_yk111 ,0.721878282,9.28E-05
2016_yukon_chin_yk112 ,0.715855127,0.000133313
2016_yukon_chin_yk113_redo ,0.713274091,0.000180672
2016_yukon_chin_yk114 ,0.716427394,0.000169575
2016_yukon_chin_yk115 ,0.715917356,0.000132231
2016_yukon_chin_yk116_redo ,0.714698668,0.000284147
2016_yukon_chin_yk117 ,0.733057407,0.00010706
2016_yukon_chin_yk118_redo ,0.715044962,0.000155586
2016_yukon_chin_yk119 ,0.708302588,7.33E-05
2016_yukon_chin_yk120 ,0.712119746,0.000132904
2016_yukon_chin_yk121 ,0.721587644,0.000123661
2016_yukon_chin_yk122 ,0.716480668,0.000126528
2016_yukon_chin_yk123 ,0.716096462,0.000133229
2016_yukon_chin_yk124 ,0.707819952,9.57E-05
2016_yukon_chin_yk125 ,0.712217112,0.000154613
2016_yukon_chin_yk126 ,0.723926694,0.000108555
2016_yukon_chin_yk127 ,0.724364848,8.03E-05
2016_yukon_chin_yk128 ,0.715620058,0.000141557
2016_yukon_chin_yk129 ,0.715826289,0.000123626
2016_yukon_chin_yk130 ,0.723166781,0.000125737
2016_yukon_chin_yk131 ,0.72053497,0.000146366
2016_yukon_chin_yk132 ,0.71947019,0.000118039
2016_yukon_chin_yk133 ,0.707395463,6.91E-05
2016_yukon_chin_yk134 ,0.710619756,0.00026112
2016_yukon_chin_yk135_redo ,0.711346674,0.000268647
2016_yukon_chin_yk135 ,0.716982208,0.000143099
2016_yukon_chin_yk136 ,0.706336927,5.45E-05
2016_yukon_chin_yk137 ,0.711396535,0.000128956
2016_yukon_chin_yk139 ,0.706061888,6.17E-05
2016_yukon_chin_yk140 ,0.723051138,0.000153579
2016_yukon_chin_yk141 ,0.71340414,0.000116114
2016_yukon_chin_yk143 ,0.712686077,0.000170147
2016_yukon_chin_yk144 ,0.711768153,0.000240603
2016_yukon_chin_yk146 ,0.72098615,0.000136221
2016_yukon_chin_yk147 ,0.713633357,0.000174372
2016_yukon_chin_yk148 ,0.723572794,0.000104899
2016_yukon_chin_yk149_redo ,0.708960603,0.000103967
2016_yukon_chin_yk150 ,0.718482604,0.000115743
2016_yukon_chin_yk151 ,0.710206644,0.000115434
2016_yukon_chin_yk152 ,0.712134638,0.000206171
2016_yukon_chin_yk154 ,0.706580275,9.75E-05
2016_yukon_chin_yk155 ,0.717945648,0.000285837
2016_yukon_chin_yk156 ,0.710656245,0.00017571
2016_yukon_chin_yk157 ,0.712450013,0.000140417
2016_yukon_chin_yk159 ,0.707106808,6.50E-05
2016_yukon_chin_yk160 ,0.724973482,0.000131882
2016_yukon_chin_yk161 ,0.715930616,0.000138121
2016_yukon_chin_yk162 ,0.723249889,0.000152332
2016_yukon_chin_yk163 ,0.722987642,0.000100302
2016_yukon_chin_yk164 ,0.724490895,0.000112413
2016_yukon_chin_yk165 ,0.716082718,0.000115678
2016_yukon_chin_yk166_redo ,0.70642004,8.79E-05
2016_yukon_chin_yk167 ,0.706866556,8.70E-05
2016_yukon_chin_yk168 ,0.713271505,0.000175101
2016_yukon_chin_yk169 ,0.710266311,0.000210832
2016_yukon_chin_yk170 ,0.715403025,0.000127144
2016_yukon_chin_yk171 ,0.722935455,9.22E-05
2016_yukon_chin_yk172 ,0.70897997,0.000276987
