"basin","reachid","stream_order","observed_cv","n_years"
"Kuskokwim",11823,4,0.123177402637148,6
"Kuskokwim",11829,3,0.168708703551275,6
"Kuskokwim",11887,4,0.128067645275575,6
"Kuskokwim",11937,4,0.118316188615047,6
"Kuskokwim",11940,5,0.132180851732208,6
"Kuskokwim",12008,3,0.110126603543546,6
"Kuskokwim",12036,4,0.13810891614725,6
"Kuskokwim",12067,3,0.134336938718746,6
"Kuskokwim",12083,3,0.137664421669229,6
"Kuskokwim",12089,3,0.0867106410193121,6
"Kuskokwim",12097,4,0.101992469527311,6
"Kuskokwim",12156,3,0.106229187337054,6
"Kuskokwim",12169,3,0.148139692461707,6
"Kuskokwim",12171,5,0.127331001387911,6
"Kuskokwim",12178,3,0.101067424012664,6
"Kuskokwim",12204,3,0.0993159579680056,6
"Kuskokwim",12222,3,0.0988477493981327,6
"Kuskokwim",12228,3,0.114189317406322,6
"Kuskokwim",12248,3,0.199736601687102,6
"Kuskokwim",12251,3,0.128518444496282,6
"Kuskokwim",12297,6,0.0668791776442173,6
"Kuskokwim",12300,3,0.121140597484982,6
"Kuskokwim",12322,3,0.111084264485485,6
"Kuskokwim",12336,4,0.144967711880588,6
"Kuskokwim",12487,3,0.103171229399295,6
"Kuskokwim",12506,3,0.13051196162776,6
"Kuskokwim",12630,6,0.0212913357153034,6
"Kuskokwim",12636,3,0.160179984033627,6
"Kuskokwim",12663,3,0.141772154990927,6
"Kuskokwim",12674,3,0.101380124659751,6
"Kuskokwim",12686,4,0.0473403938192687,6
"Kuskokwim",12761,3,0.0885195377300638,6
"Kuskokwim",12770,5,0.0941280467529374,6
"Kuskokwim",12837,4,0.0995884451269678,6
"Kuskokwim",12843,5,0.0839943688389631,6
"Kuskokwim",12851,3,0.0864778977034849,6
"Kuskokwim",12974,3,0.102682963897849,6
"Kuskokwim",13180,3,0.0863219387233868,6
"Kuskokwim",13187,6,0.0846071124268591,6
"Kuskokwim",13213,4,0.0881739014543542,6
"Kuskokwim",13245,3,0.620934450493965,6
"Kuskokwim",13271,3,0.130263804417348,6
"Kuskokwim",13276,3,0.0928220854415979,6
"Kuskokwim",13304,3,0.089202490730414,6
"Kuskokwim",13330,5,0.0838366250218403,6
"Kuskokwim",13346,4,0.0959452938921644,6
"Kuskokwim",13365,4,0.184357550220113,6
"Kuskokwim",13370,4,0.0878072630889085,6
"Kuskokwim",13413,3,0.131147923803488,6
"Kuskokwim",13431,3,0.102784006363998,6
"Kuskokwim",13434,3,0.17307871284735,6
"Kuskokwim",13437,3,0.102187911393281,6
"Kuskokwim",13472,5,0.0861467743808502,6
"Kuskokwim",13480,4,0.109443505582088,6
"Kuskokwim",13487,3,0.106491034016841,6
"Kuskokwim",13507,3,0.096875096263603,6
"Kuskokwim",13524,3,0.108405754134622,6
"Kuskokwim",13526,4,0.10151366877931,6
"Kuskokwim",13554,3,0.30745033580009,6
"Kuskokwim",13563,3,0.108676001090658,6
"Kuskokwim",13568,3,0.100030396559375,6
"Kuskokwim",13590,4,0.089798481048892,6
"Kuskokwim",13630,4,0.0912388438650643,6
"Kuskokwim",13796,3,0.103702180017485,6
"Kuskokwim",13869,3,0.0898338495375379,6
"Kuskokwim",13882,3,0.0962770843110039,6
"Kuskokwim",13884,3,0.0979012254710135,6
"Kuskokwim",13908,3,0.09673728695132,6
"Kuskokwim",14033,3,0.0948891156284395,6
"Kuskokwim",14055,3,0.093838976419612,6
"Kuskokwim",14061,3,0.092066851677683,6
"Kuskokwim",14113,3,0.0849758177994867,6
"Kuskokwim",14134,3,0.0928729205036459,6
"Kuskokwim",14159,3,0.103182240808689,6
"Kuskokwim",14163,3,0.0924271579284444,6
"Kuskokwim",14175,3,0.0869657062975216,6
"Kuskokwim",14195,3,0.0965664105243304,6
"Kuskokwim",14227,3,0.0983067959131709,6
"Kuskokwim",14273,3,0.108130340628617,6
"Kuskokwim",14290,4,0.0848019289025417,6
"Kuskokwim",14318,3,0.0822229769382324,6
"Kuskokwim",14436,4,0.0619105484986462,6
"Kuskokwim",14466,3,0.0888690821656306,6
"Kuskokwim",14475,3,0.0905562263670671,6
"Kuskokwim",14501,4,0.0984144764764086,6
"Kuskokwim",14505,3,0.0936986046720296,6
"Kuskokwim",14599,3,0.0991908117480684,6
"Kuskokwim",14644,3,0.0911687333813327,6
