"basin","reachid","stream_order","year_earlier","year_later","upstream_length_km","length_bin","mean_catchment_share","pct_change"
"Yukon",12598,5,2016,2018,128.982261626166,6,0.000260733342473914,-26.9730181317684
"Yukon",12600,7,2016,2018,1068.4818838654,9,0.00871236821881352,22.6130333381547
"Yukon",12602,6,2016,2018,600.305705949536,8,0.00121221769755228,25.289613557366
"Yukon",12603,5,2016,2018,139.623243970639,6,0.000537992292340666,-42.3963968694816
"Yukon",12604,5,2016,2018,170.443692045592,6,0.00101497589489345,20.5321992452723
"Yukon",12608,5,2016,2018,135.879491846831,6,0.000320044390062248,-26.7666792964615
"Yukon",12609,4,2016,2018,91.2261855687531,6,0.000301804123578116,-73.456450375946
"Yukon",12613,7,2016,2018,1047.1998414026,9,0.00842934502914634,22.4029056238777
"Yukon",12617,6,2016,2018,1691.75905574877,9,0.00184649549406409,28.6407715562534
"Yukon",12618,4,2016,2018,82.4016061960837,6,0.000208555123526151,-26.7619059748396
"Yukon",12619,7,2016,2018,1035.44658430272,9,0.00834012333470652,22.351570759865
"Yukon",12620,4,2016,2018,15.793217252697,4,3.91550484401594e-05,-47.0568643243803
"Yukon",12626,5,2016,2018,162.634004484563,6,0.000933824252898878,20.3047152209542
"Yukon",12628,4,2016,2018,121.984998805505,6,0.000544382501638051,-1.90149304746279
"Yukon",12632,4,2016,2018,102.560595186767,6,1.47082893924553e-05,-32.2724919119301
"Yukon",12634,4,2016,2018,23.3076884305681,4,0.000191247428109608,32.0035195363842
"Yukon",12638,4,2016,2018,102.456955165141,6,0.000201965351214695,-27.4363359074888
"Yukon",12639,4,2016,2018,21.2787494968392,4,7.7011069924134e-05,-47.6558613023239
"Yukon",12643,4,2016,2018,89.6922443604484,6,0.000871596274870175,18.2590255722192
"Yukon",12645,5,2016,2018,103.483925729352,6,0.000387354583260805,-19.5647313731112
"Yukon",12646,5,2016,2018,31.4646534658357,5,4.50908084822124e-05,-35.9712674298558
"Yukon",12647,5,2016,2018,151.441686997788,6,0.00088037416168349,16.6426567299077
"Yukon",12649,7,2016,2018,1105.55648614875,9,0.008889099358679,22.6981906742815
"Yukon",12650,6,2016,2018,569.489040399571,8,0.0011123038959975,21.343532096054
"Yukon",12651,4,2016,2018,48.2504578208789,5,0.000215268220121165,36.3080760278545
"Yukon",12653,4,2016,2018,48.1857766394575,5,0.000174333910756114,12.1036172615501
"Yukon",12654,7,2016,2018,1087.92340710591,9,0.00880087824493654,22.6568731500584
"Yukon",12656,4,2016,2018,14.5626634284675,4,8.98664849966847e-05,29.2048417483968
"Yukon",12657,5,2016,2018,221.274012011092,7,6.27178848105939e-05,-48.423396843174
"Yukon",12658,9,2016,2018,122575.704723796,14,0.660400298257597,4.77200927995064
"Yukon",12659,5,2016,2018,75.7589705551455,6,0.000163997818972068,-25.3267345760918
"Yukon",12660,4,2016,2018,84.3516061924021,6,0.000172619466455003,-27.3690135178747
"Yukon",12661,4,2016,2018,52.7935421489986,5,0.000425154850705045,29.4651655791251
"Yukon",12662,4,2016,2018,75.6804129084878,6,5.70695174504722e-05,-73.4849914045596
"Yukon",12663,5,2016,2018,179.848422095592,7,5.68059435064838e-05,-46.4718246859901
"Yukon",12666,4,2016,2018,14.7451093998196,4,9.53849416447317e-05,31.8366320299574
"Yukon",12667,4,2016,2018,33.2995706324419,5,0.000182367880661997,29.9577204121803
"Yukon",12670,6,2016,2018,313.744253897279,7,0.000826030040777579,-27.0956115342555
"Yukon",12671,4,2016,2018,12.0229999973372,3,2.19366464150646e-05,-28.3923005312057
"Yukon",12672,4,2016,2018,33.0475309397076,5,0.000317987043997212,29.4469776345967
"Yukon",12677,5,2016,2018,134.969151216048,6,0.000669044197013567,16.9613538611807
"Yukon",12680,5,2016,2018,182.066993235903,7,0.00136491671921849,22.1492087607428
"Yukon",12682,4,2016,2018,98.72116338988,6,0.000207148362732009,-60.5272013196913
"Yukon",12685,5,2016,2018,138.392758443168,6,0.000349885345052528,-26.7180748790963
"Yukon",12687,4,2016,2018,102.105717447878,6,0.00117460614413263,19.1567681788741
"Yukon",12689,4,2016,2018,36.5334181093753,5,0.000519381526517873,16.226984074768
"Yukon",12690,4,2016,2018,7.7345955931581,3,9.74545357543552e-05,29.1046296463599
"Yukon",12694,4,2016,2018,3.72965173297458,2,0.000160096296185703,-14.5270879785415
"Yukon",12696,5,2016,2018,153.691460734897,6,0.0012303650392507,27.7619664021713
"Yukon",12703,4,2016,2018,73.3468787679321,5,0.000143377398440908,-27.2918843435239
"Yukon",12704,4,2016,2018,16.3082033641691,4,0.000106814295673652,29.359678919139
"Yukon",12706,5,2016,2018,179.307214204774,7,0.000378381126882295,-50.4753922862253
"Yukon",12710,9,2016,2018,122559.768205911,14,0.660356162880311,4.77271806822515
"Yukon",12711,4,2016,2018,12.0523537484548,3,0.000320389584033897,-13.8703352507992
"Yukon",12712,5,2016,2018,141.007313805843,6,0.000806432361631866,16.6188764408539
"Yukon",12715,8,2016,2018,15939.6504062079,12,0.0922241052749841,-20.1203044218037
"Yukon",12716,5,2016,2018,148.360955514404,6,0.000379477727290786,-26.6863646096712
"Yukon",12717,4,2016,2018,21.9871663132972,4,6.6914886592722e-05,-60.9171534005091
"Yukon",12718,4,2016,2018,47.8557785998523,5,0.000170010256790878,-10.82633077198
"Yukon",12722,7,2016,2018,2678.33278914681,10,0.00795983334303826,-20.5826887037873
"Yukon",12723,5,2016,2018,72.3198948924359,5,0.000114118318406874,-28.3418664354033
"Yukon",12725,4,2016,2018,32.5508298701196,5,0.000139192660194254,-59.815165613706
"Yukon",12726,4,2016,2018,26.0645973668697,4,0.000209754782797424,29.1015631130126
"Yukon",12727,7,2016,2018,2705.49852175708,10,0.00800425849107925,-20.6775852720077
"Yukon",12731,6,2016,2018,312.654346084071,7,0.00108516080875318,-53.2064910788085
"Yukon",12733,6,2016,2018,703.853910420449,8,0.00518607846733317,17.5173397097461
"Yukon",12736,4,2016,2018,13.7892717724162,4,1.41310209286869e-05,51.8381396979647
"Yukon",12741,6,2016,2018,392.534510639973,7,0.000762697626798936,-26.0012074061521
"Yukon",12748,6,2016,2018,558.047004202431,8,0.00102643041526352,17.3652141156602
"Yukon",12749,4,2016,2018,25.0854279190439,4,0.000217557372724154,33.6293444135289
"Yukon",12750,4,2016,2018,42.9670715470318,5,6.42992618878162e-05,-36.2552632147788
"Yukon",12758,4,2016,2018,31.0494624451219,4,2.67549817249665e-05,-21.6779081878483
"Yukon",12762,4,2016,2018,36.0158992247369,5,0.000479270973154791,-13.8880470051303
"Yukon",12763,4,2016,2018,103.719651747527,6,0.00147742674075197,19.7129691752874
"Yukon",12764,4,2016,2018,17.9202160640868,4,8.6694480729347e-05,6.92815529274055
"Yukon",12766,5,2016,2018,994.015270738257,9,0.00230056552565116,-49.8439408576693
"Yukon",12768,5,2016,2018,239.253376799901,7,0.000701422179052581,-60.2759807136184
"Yukon",12769,4,2016,2018,123.121773714555,6,0.00177980646849021,20.1614320315867
"Yukon",12770,4,2016,2018,106.337060841805,6,0.000481966178848401,-1.6454915039866
"Yukon",12772,8,2016,2018,15616.8596593972,12,0.0896362651078631,-20.9550093492917
"Yukon",12773,4,2016,2018,26.2179217807678,4,3.9979330109136e-05,56.8202883246628
"Yukon",12774,4,2016,2018,65.3580753070011,5,0.000523266903931945,6.29025255007111
"Yukon",12775,6,2016,2018,296.378748329174,7,0.000793935449437001,-26.9940347788203
"Yukon",12778,4,2016,2018,25.3920233709946,4,0.000182712359186254,31.1395925498976
"Yukon",12781,5,2016,2018,59.7554993626409,5,0.000216794446176033,-31.4491145767826
"Yukon",12784,5,2016,2018,153.138057383939,6,0.000409131734136147,-26.666450387056
"Yukon",12785,5,2016,2018,172.39129987456,6,0.000611277642650467,-38.6047082704364
"Yukon",12786,4,2016,2018,84.5404888850113,6,0.000117746306569823,-66.9987174069543
"Yukon",12789,4,2016,2018,73.4723523051804,5,0.00072825669105591,15.9736455922337
"Yukon",12793,5,2016,2018,56.6084355142305,5,0.000131943964143601,-17.7843621102128
"Yukon",12794,5,2016,2018,48.0318630392661,5,0.000189512913631362,-32.470921593925
"Yukon",12797,5,2016,2018,43.9248127314653,5,6.36879283602428e-05,-26.4027851720421
"Yukon",12799,9,2016,2018,122522.710348865,14,0.660356162880311,4.77271806822515
"Yukon",12803,9,2016,2018,122503.006772637,14,0.660356162880311,4.77271806822515
"Yukon",12804,5,2016,2018,696.235032007729,8,0.000132156431831506,-40.9963270584884
"Yukon",12805,4,2016,2018,13.4368591359284,4,0.000108536072265147,32.3816517250031
"Yukon",12809,4,2016,2018,73.8428622211097,5,0.000254962908671897,-53.9022999309918
"Yukon",12810,5,2016,2018,157.637081854273,6,0.000438814926804363,-26.6529323211254
"Yukon",12812,5,2016,2018,113.109479772331,6,0.000877268070168033,29.1213415474019
"Yukon",12813,4,2016,2018,57.4201511406171,5,0.000125788934112857,-25.6766293983969
"Yukon",12815,6,2016,2018,288.466347045238,7,0.000762168978187642,-26.9057382447971
