basin,reachid,stream_order,n_upstream_reaches,n_unit_reaches,is_outlet,in_domain,nested,mean_production,sd_production,cv,n_years,prod_2015,prod_2016,prod_2018,prod_2021
Yukon,225,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,227,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,228,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,230,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,232,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,233,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,236,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,237,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,241,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,243,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,244,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,247,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,248,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,249,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,252,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,254,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,256,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,260,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,263,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,264,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,265,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,268,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,270,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,271,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,273,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,274,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,278,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,279,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,280,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,281,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,285,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,288,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,293,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,296,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,297,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,298,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,301,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,302,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,304,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,307,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,308,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,310,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,311,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,312,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,315,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,316,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,317,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,318,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,319,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,323,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,325,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,326,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,327,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,328,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,330,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,331,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,332,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,337,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,338,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,340,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,342,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,345,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,346,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,347,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,348,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,349,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,351,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,353,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,354,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,355,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,357,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,359,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,360,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,362,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,364,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,365,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,366,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,368,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,369,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,370,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,371,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,375,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,376,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,377,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,381,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,382,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,386,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,387,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,390,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,391,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,395,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,396,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,399,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,400,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,401,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,404,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,406,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,407,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,408,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,412,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,416,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,417,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,419,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,421,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,422,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,423,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,424,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,427,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,429,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,430,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,432,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,434,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,435,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,437,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,438,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,439,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,445,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,447,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,448,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,452,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,454,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,455,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,456,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,459,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,460,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,462,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,464,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,466,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,467,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,468,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,469,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,472,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,475,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,477,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,479,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,480,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,481,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,487,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,488,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,489,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,490,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,491,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,492,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,493,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,498,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,499,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,501,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,503,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,504,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,511,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,515,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,517,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,520,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,524,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,526,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,529,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,530,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,531,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,532,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,537,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,540,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,541,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,542,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,543,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,545,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,549,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,551,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,552,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,553,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,557,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,558,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,559,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,560,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,561,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,565,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,570,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,571,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
