"basin","stream_order","reachid","absolute_cv","basin_cv","cv_ratio_to_basin","anomaly_pct"
"Kuskokwim",3,11514,0.334585560838345,0.244254784482295,1.36982193223977,36.9821932239767
"Kuskokwim",3,11589,0.282743699016888,0.244254784482295,1.15757691140492,15.7576911404917
"Kuskokwim",3,11647,0.254006031456197,0.244254784482295,1.03992243998238,3.99224399823754
"Kuskokwim",3,11675,0.289381474109068,0.244254784482295,1.18475253093781,18.475253093781
"Kuskokwim",3,11681,0.325009907550106,0.244254784482295,1.33061838784028,33.061838784028
"Kuskokwim",3,11698,0.232705014178231,0.244254784482295,0.95271425152001,-4.72857484799905
"Kuskokwim",3,11711,0.281043340850826,0.244254784482295,1.15061549949372,15.0615499493718
"Kuskokwim",3,11730,0.240143778173147,0.244254784482295,0.983169188198867,-1.6830811801133
"Kuskokwim",3,11771,0.285707791478974,0.244254784482295,1.16971215972101,16.9712159721007
"Kuskokwim",3,11786,0.255593266931855,0.244254784482295,1.04642071791385,4.64207179138492
"Kuskokwim",3,11788,0.216813512845019,0.244254784482295,0.88765308448128,-11.234691551872
"Kuskokwim",3,11806,0.245482553662865,0.244254784482295,1.00502659214301,0.502659214300682
"Kuskokwim",3,11829,0.249434526881988,0.244254784482295,1.02120630885766,2.12063088576615
"Kuskokwim",3,12008,0.270992651738025,0.244254784482295,1.10946711775739,10.9467117757395
"Kuskokwim",3,12067,0.311645674406369,0.244254784482295,1.27590407314604,27.5904073146044
"Kuskokwim",3,12083,0.246484885088129,0.244254784482295,1.00913022281451,0.913022281451181
"Kuskokwim",3,12089,0.277504821238453,0.244254784482295,1.1361284972437,13.6128497243698
"Kuskokwim",3,12156,0.198138488213542,0.244254784482295,0.811195934742907,-18.8804065257093
"Kuskokwim",3,12169,0.238131214218069,0.244254784482295,0.974929579057355,-2.50704209426453
"Kuskokwim",3,12178,0.318813146328657,0.244254784482295,1.30524831685238,30.5248316852384
"Kuskokwim",3,12204,0.329774965937811,0.244254784482295,1.35012694484892,35.0126944848917
"Kuskokwim",3,12222,0.325034907741367,0.244254784482295,1.33072074076374,33.0720740763742
"Kuskokwim",3,12228,0.319338106166981,0.244254784482295,1.3073975473759,30.7397547375898
"Kuskokwim",3,12248,0.284398685873749,0.244254784482295,1.1643525692917,16.4352569291696
"Kuskokwim",3,12251,0.22666331334911,0.244254784482295,0.927979011054092,-7.20209889459079
"Kuskokwim",3,12300,0.220152683590062,0.244254784482295,0.901323935400826,-9.86760645991743
"Kuskokwim",3,12322,0.270137664687955,0.244254784482295,1.1059667275731,10.5966727573096
"Kuskokwim",3,12487,0.255963061640623,0.244254784482295,1.04793468911221,4.79346891122094
"Kuskokwim",3,12506,0.241316935216233,0.244254784482295,0.987972193575292,-1.20278064247079
"Kuskokwim",3,12636,0.248819531167517,0.244254784482295,1.01868846374861,1.86884637486109
"Kuskokwim",3,12663,0.24296820864481,0.244254784482295,0.994732648368744,-0.526735163125569
"Kuskokwim",3,12674,0.274306419840214,0.244254784482295,1.1230339680822,12.3033968082199
"Kuskokwim",3,12761,0.275311171314764,0.244254784482295,1.12714750664268,12.714750664268
"Kuskokwim",3,12851,0.273058407749711,0.244254784482295,1.11792449973279,11.7924499732794
"Kuskokwim",3,12974,0.263064463157085,0.244254784482295,1.07700843492035,7.70084349203537
"Kuskokwim",3,13180,0.208127334050104,0.244254784482295,0.852091124811478,-14.7908875188522
"Kuskokwim",3,13245,0.602991710750959,0.244254784482295,2.46869969007574,146.869969007574
"Kuskokwim",3,13271,0.248650947896128,0.244254784482295,1.01799826940197,1.79982694019747
"Kuskokwim",3,13276,0.302230602092129,0.244254784482295,1.23735796100255,23.7357961002549
"Kuskokwim",3,13304,0.274408412492378,0.244254784482295,1.12345153473245,12.345153473245
"Kuskokwim",3,13413,0.21587970295188,0.244254784482295,0.883829986828889,-11.6170013171111
