focal_reach,stream_order,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021
3172,3,51.39582522097272,115.96333514757436,65.26484521850007,54.757674609071174,56.9557978042808
3173,3,0,0,0,0,0
3174,3,0,0,0,0,0
3177,3,0,0,0,0,0
3180,3,0,0,0,0,0
3184,3,0,0,0,0,0
3185,3,0,0,0,0,0
3199,3,0,0,0,0,0
3200,3,0,0,0,0,0
3201,3,0,0,0,0,0
3203,3,0,0,0,0,0
3209,3,0,0,0,0,0
3210,3,0,0,0,0,0
3212,3,0,0,0,0,0
3220,3,0,0,0,0,0
3221,3,49.83742739034602,52.22813192253285,84.30932290123339,51.87021009685081,48.76064308025043
3223,3,0,0,0,0,0
3224,3,0,0,0,0,0
3229,3,0,0,0,0,0
3232,3,0,0,0,0,0
3239,3,26.979021113318648,31.393303797820607,34.5724221226379,19.94315799554813,21.03082654673526
3255,3,0,0,0,0,0
3256,3,0,0,0,0,0
3257,3,0,0,0,0,0
3260,3,0,0,0,0,0
3264,3,0,0,0,0,0
3269,3,0,0,0,0,0
3280,3,0,0,0,0,0
3281,3,0,0,0,0,0
3282,3,0,0,0,0,0
3289,3,0,0,0,0,0
3293,3,0,0,0,0,0
3296,3,0,0,0,0,0
3299,3,0,0,0,0,0
3313,3,0,0,0,0,0
3316,3,0,0,0,0,0
3320,3,0,0,0,0,0
3322,3,0,0,0,0,0
3323,3,0,0,0,0,0
3324,3,0,0,0,0,0
3327,3,26.689302331259192,31.153624883890075,34.04004121797462,19.648958525389663,20.79402886257544
3328,3,0,0,0,0,0
3333,3,0,0,0,0,0
3334,3,62.97585084934127,72.5447214487257,93.58140987033757,55.44682828947301,60.091734951724696
3336,3,0,0,0,0,0
3345,3,0,0,0,0,0
3347,3,0,0,0,0,0
3348,3,0,0,0,0,0
3349,3,0,0,0,0,0
3353,3,0,0,0,0,0
3359,3,0,0,0,0,0
3362,3,44.94334479328603,61.18992101953312,42.55177632233545,27.07735924691795,39.40373208396876
3364,3,0,0,0,0,0
3365,3,0,0,0,0,0
