"2015","2016","2017","2018","2019","2021","Mean","SD","CV","Shp_Lng","ProdPerStrLngth"
1.30855977769647e-05,3.71580149377377e-06,1.03283502739523e-05,1.26614460887258e-05,1.90601509091325e-05,1.3633814641578e-05,1.20808601973545e-05,5.01027428535524e-06,0.414728272946358,3057.41081558,3.95133690761892e-09
8.71371460628835e-06,7.45337239252673e-06,3.42033505551212e-06,6.83680176889984e-06,1.18844562455391e-05,1.36190099354408e-05,8.65461500070116e-06,3.66676150280652e-06,0.423677021162634,7573.65456948,1.14272639731645e-09
1.99656192472625e-05,1.67467278792444e-05,1.93100443184461e-05,2.26712742757189e-05,4.94764531542541e-05,2.59970132931017e-05,2.56945220280046e-05,1.20702665989983e-05,0.469760308669794,5326.02790387,4.82433109472342e-09
3.55962968197291e-05,3.43072619143461e-05,3.55478554015052e-05,3.79743515339373e-05,3.54381544387686e-05,6.89888040121945e-05,4.13087873534134e-05,1.3613290262159e-05,0.329549501070845,13296.3500683,3.10677645678856e-09
0,0,0,0,0,0,0,0,NA,3228.09326906,0
0,0,0,0,0,0,0,0,NA,1218.53058043,0
1.29929147246845e-05,1.85074280691941e-05,2.42483035503516e-05,1.94973885065516e-05,1.78322895569777e-05,4.09842119439044e-05,2.23437560586106e-05,9.81534187984599e-06,0.439287909073973,8202.3165381,2.72407873493095e-09
3.80454216310855e-05,3.42172946504356e-05,2.13366674190232e-05,3.41181912524645e-05,3.41788442151001e-05,6.41676272723615e-05,3.76773410734117e-05,1.41828580380905e-05,0.3764293772869,1451.95308065,2.5949420525727e-08
1.31046484099798e-05,3.72363890185233e-06,1.0361536252683e-05,1.46152974504526e-05,2.02569951331054e-05,1.36655198134023e-05,1.26212726602459e-05,5.43835989814883e-06,0.430888393313807,54.7436584241,2.30552232415099e-07
0,0,0,0,0,0,0,0,NA,2426.7659106,0
1.31187722117287e-05,3.72796724909858e-06,1.20688461429525e-05,1.46335324348112e-05,2.02792912330644e-05,1.3681826948637e-05,1.2918372703382e-05,5.34664688647901e-06,0.413879287216977,2680.87325679,4.81871818097441e-09
0,0,0,0,0,0,0,0,NA,227.408062895,0
0,0,0,0,0,0,0,0,NA,3889.07826643,0
3.3679641820485e-05,3.78156905964389e-05,4.24307469924932e-05,3.41680638115331e-05,5.98406854054464e-05,4.2008208452352e-05,4.16571728464581e-05,9.6524247028762e-06,0.231710988608218,5655.44456015,7.36585292339126e-09
3.37602834251469e-05,3.84560907778241e-05,4.97203371698753e-05,3.23352218420948e-05,4.28108969019976e-05,3.11966545224556e-05,3.80465807732324e-05,7.17016667120653e-06,0.188457583453888,367.040137148,1.03657820828165e-07
2.71269009718732e-05,5.3317220564778e-05,6.20647859227732e-05,3.53013281756629e-05,4.27641497368681e-05,2.6519792526827e-05,4.11823629831304e-05,1.43733500676348e-05,0.349017128364456,6404.66695292,6.43005534649301e-09
0,0,0,0,0,0,0,0,NA,2180.09775214,0
3.36013805328825e-05,3.40244898492457e-05,4.06577933354892e-05,3.40451351386513e-05,6.01698318982063e-05,3.91064430211613e-05,4.02675122959394e-05,1.01954239356816e-05,0.253192297074425,8240.52103646,4.88652502891221e-09
0,0,0,0,0,0,0,0,NA,2128.06336838,0
1.31346898627071e-05,3.73653504822396e-06,1.38168247397582e-05,1.56469514664643e-05,2.03098110058716e-05,1.52086793765199e-05,1.36422485832575e-05,5.46516570776855e-06,0.400605931963129,434.330672624,3.14098207728184e-08
0,0,0,0,0,0,0,0,NA,2040.76554953,0
1.31642212295325e-05,7.38128706184569e-06,8.64656278910696e-06,1.36647335351845e-05,1.91750130470123e-05,1.51882182305001e-05,1.2870005982197e-05,4.33148668248389e-06,0.336556695348518,1866.98750413,6.89346123299005e-09
0,0,0,0,0,0,0,0,NA,4887.60665736,0
