reachid,down_reachid,strahler,n_upstream,is_outlet,component
111,154,2,2,0,0
112,134,1,0,0,0
113,140,2,2,0,0
114,113,1,0,0,0
115,108,4,120,0,0
116,115,2,2,0,0
117,116,1,0,0,0
118,86,1,0,0,0
119,127,3,16,0,0
120,126,2,2,0,0
121,142,1,0,0,0
122,259,1,0,0,0
123,116,1,0,0,0
124,115,4,116,0,0
125,127,1,0,0,0
126,156,3,16,0,0
127,151,3,18,0,0
128,154,1,0,0,0
129,164,1,0,0,0
130,140,1,0,0,0
131,134,1,0,0,0
132,133,4,96,0,0
133,124,4,100,0,0
134,189,2,2,0,0
135,133,2,2,0,0
136,135,1,0,0,0
137,180,2,2,0,0
138,200,1,0,0,0
139,135,1,0,0,0
140,175,2,4,0,0
141,235,1,0,0,0
142,183,2,2,0,0
143,157,1,0,0,0
144,142,1,0,0,0
145,184,1,0,0,0
146,132,4,94,0,0
147,200,1,0,0,0
148,239,1,0,0,0
149,156,1,0,0,0
150,120,1,0,0,0
151,169,4,60,0,0
152,168,1,0,0,0
153,146,1,0,0,0
154,180,2,4,0,0
155,201,1,0,0,0
156,179,3,18,0,0
157,195,2,2,0,0
158,157,1,0,0,0
159,161,1,0,0,0
160,146,4,92,0,0
161,160,4,86,0,0
162,160,2,4,0,0
163,164,1,0,0,0
164,193,2,2,0,0
165,166,1,0,0,0
166,162,2,2,0,0
167,235,1,0,0,0
168,169,2,2,0,0
169,175,4,64,0,0
170,196,1,0,0,0
171,161,4,84,0,0
172,179,1,0,0,0
173,184,3,10,0,0
174,183,1,0,0,0
175,201,4,70,0,0
176,168,1,0,0,0
177,205,1,0,0,0
178,196,1,0,0,0
179,199,3,20,0,0
180,211,3,8,0,0
181,166,1,0,0,0
182,162,1,0,0,0
183,192,2,4,0,0
184,204,3,12,0,0
185,171,4,78,0,0
186,231,1,0,0,0
187,173,1,0,0,0
188,488,1,0,0,0
189,173,3,8,0,0
190,224,1,0,0,0
191,192,1,0,0,0
192,362,2,6,0,0
193,189,2,4,0,0
194,193,1,0,0,0
195,199,2,4,0,0
196,302,2,2,0,0
197,220,2,2,0,0
198,185,1,0,0,0
199,246,3,26,0,0
200,209,2,2,0,0
201,205,4,72,0,0
202,231,1,0,0,0
203,209,1,0,0,0
204,211,3,18,0,0
205,245,4,74,0,0
206,185,4,76,0,0
207,255,1,0,0,0
208,261,1,0,0,0
209,267,2,4,0,0
210,206,4,74,0,0
211,228,4,28,0,0
212,195,1,0,0,0
213,285,1,0,0,0
214,228,1,0,0,0
215,246,1,0,0,0
216,219,1,0,0,0
217,197,1,0,0,0
218,219,1,0,0,0
219,224,2,2,0,0
220,210,4,72,0,0
221,250,1,0,0,0
222,255,1,0,0,0
223,206,1,0,0,0
224,312,2,4,0,0
225,378,1,0,0,0
226,247,1,0,0,0
227,266,1,0,0,0
228,248,4,30,0,0
229,220,4,68,0,0
230,283,1,0,0,0
231,239,2,2,0,0
232,273,1,0,0,0
233,245,1,0,0,0
234,210,1,0,0,0
235,260,2,2,0,0
236,241,1,0,0,0
237,268,1,0,0,0
238,241,1,0,0,0
239,283,2,4,0,0
240,229,1,0,0,0
241,266,2,2,0,0
242,264,1,0,0,0
243,341,1,0,0,0
244,317,1,0,0,0
245,247,4,76,0,0
246,263,3,28,0,0
247,254,4,78,0,0
248,259,4,32,0,0
249,275,1,0,0,0
250,312,4,134,0,0
251,270,1,0,0,0
252,254,1,0,0,0
253,278,1,0,0,0
254,270,4,80,0,0
255,302,2,2,0,0
256,267,1,0,0,0
257,396,1,0,0,0
258,263,1,0,0,0
259,273,4,34,0,0
260,294,2,4,0,0
261,296,2,2,0,0
262,261,1,0,0,0
263,275,3,30,0,0
264,204,2,4,0,0
265,334,1,0,0,0
266,305,2,4,0,0
267,285,2,6,0,0
268,264,2,2,0,0
269,410,1,0,0,0
270,278,4,82,0,0
271,350,1,0,0,0
272,292,1,0,0,0
273,284,4,36,0,0
274,332,1,0,0,0
275,320,3,32,0,0
276,296,1,0,0,0
277,307,1,0,0,0
278,307,4,84,0,0
279,411,1,0,0,0
280,313,1,0,0,0
281,229,4,66,0,0
282,364,1,0,0,0
283,314,2,6,0,0
284,281,4,62,0,0
285,399,2,8,0,0
286,308,1,0,0,0
287,248,1,0,0,0
288,290,1,0,0,0
289,292,1,0,0,0
290,281,2,2,0,0
291,324,1,0,0,0
292,368,2,2,0,0
293,310,1,0,0,0
294,488,2,6,0,0
295,305,1,0,0,0
296,333,2,4,0,0
297,369,1,0,0,0
298,268,1,0,0,0
299,356,1,0,0,0
300,381,1,0,0,0
301,320,1,0,0,0
302,313,3,6,0,0
303,317,1,0,0,0
304,383,1,0,0,0
305,413,2,6,0,0
306,314,1,0,0,0
307,308,4,86,0,0
308,412,4,88,0,0
309,260,1,0,0,0
310,341,2,3,0,0
311,352,1,0,0,0
312,362,4,140,0,0
313,358,3,8,0,0
314,334,2,8,0,0
315,386,1,0,0,0
316,343,1,0,0,0
317,347,2,2,0,0
318,343,1,0,0,0
319,333,1,0,0,0
320,339,3,34,0,0
321,381,1,0,0,0
322,326,1,0,0,0
323,284,3,24,0,0
324,323,3,22,0,0
325,357,1,0,0,0
326,387,2,2,0,0
327,326,1,0,0,0
328,332,1,0,0,0
329,290,1,0,0,0
330,348,1,0,0,0
331,409,1,0,0,0
332,357,2,2,0,0
333,366,2,6,0,0
334,388,2,10,0,0
335,342,1,0,0,0
336,310,2,1,0,0
338,342,1,0,0,0
339,369,3,36,0,0
340,383,1,0,0,0
341,592,2,5,0,0
342,347,2,2,0,0
343,388,2,2,0,0
344,336,1,0,0,0
345,352,1,0,0,0
346,339,1,0,0,0
347,360,3,6,0,0
348,415,2,2,0,0
349,410,1,0,0,0
350,370,2,8,0,0
351,366,1,0,0,0
352,424,2,2,0,0
353,384,1,0,0,0
354,358,1,0,0,0
355,348,1,0,0,0
356,350,2,6,0,0
357,356,2,4,0,0
358,380,3,10,0,0
359,323,1,0,0,0
360,367,4,22,0,0
361,395,1,0,0,0
362,364,4,148,0,0
363,405,1,0,0,0
364,429,4,150,0,0
365,448,1,0,0,0
366,415,2,8,0,0
367,368,4,24,0,0
368,401,4,28,0,0
369,396,3,38,0,0
370,377,2,10,0,0
371,384,1,0,0,0
372,400,1,0,0,0
373,424,1,0,0,0
374,408,1,0,0,0
375,324,3,20,0,0
376,367,1,0,0,0
377,360,3,14,0,0
378,446,2,6,0,0
379,387,1,0,0,0
380,393,3,14,0,0
381,380,2,2,0,0
382,400,1,0,0,0
383,419,2,2,0,0
384,436,2,2,0,0
385,408,1,0,0,0
386,390,2,2,0,0
387,412,2,4,0,0
388,405,3,14,0,0
389,386,1,0,0,0
390,378,2,4,0,0
391,466,1,0,0,0
392,393,1,0,0,0
393,399,3,16,0,0
394,434,1,0,0,0
395,375,3,14,0,0
396,452,3,40,0,0
397,402,1,0,0,0
398,375,2,4,0,0
399,419,3,26,0,0
400,435,2,2,0,0
401,416,5,58,0,0
402,398,2,2,0,0
403,466,1,0,0,0
404,370,1,0,0,0
405,490,3,16,0,0
406,421,1,0,0,0
407,377,2,2,0,0
408,499,2,2,0,0
409,395,3,12,0,0
410,574,2,2,0,0
411,427,5,70,0,0
412,417,4,94,0,0
413,411,5,68,0,0
414,434,1,0,0,0
415,421,3,12,0,0
416,413,5,60,0,0
417,435,4,96,0,0
418,407,1,0,0,0
419,442,3,30,0,0
420,430,1,0,0,0
421,440,3,14,0,0
422,390,1,0,0,0
423,468,1,0,0,0
424,457,2,4,0,0
425,429,5,88,0,0
426,448,1,0,0,0
427,425,5,74,0,0
428,518,1,0,0,0
429,430,5,240,0,0
430,443,5,242,0,0
431,402,1,0,0,0
432,442,1,0,0,0
433,407,1,0,0,0
434,550,2,2,0,0
435,507,4,100,0,0
436,483,2,4,0,0
437,473,1,0,0,0
438,473,1,0,0,0
439,468,1,0,0,0
440,457,5,264,0,0
441,436,1,0,0,0
442,465,3,32,0,0
443,453,5,246,0,0
444,417,1,0,0,0
445,669,1,0,0,0
446,491,2,8,0,0
447,453,1,0,0,0
448,546,2,2,0,0
449,452,1,0,0,0
450,467,1,0,0,0
451,443,2,2,0,0
452,491,3,42,0,0
453,440,5,248,0,0
454,465,1,0,0,0
455,425,3,12,0,0
456,481,1,0,0,0
457,479,5,270,0,0
458,800,1,0,0,0
459,493,1,0,0,0
460,480,1,0,0,0
461,490,1,0,0,0
462,401,4,28,0,0
463,612,1,0,0,0
464,416,1,0,0,0
465,489,3,34,0,0
466,516,2,2,0,0
467,462,4,26,0,0
468,486,2,2,0,0
469,446,1,0,0,0
470,455,1,0,0,0
471,501,1,0,0,0
472,576,1,0,0,0
473,489,2,2,0,0
474,513,1,0,0,0
475,462,1,0,0,0
476,481,1,0,0,0
477,451,1,0,0,0
478,616,1,0,0,0
479,499,5,280,0,0
480,486,2,2,0,0
481,518,2,2,0,0
482,648,1,0,0,0
483,409,3,10,0,0
484,467,4,24,0,0
485,498,1,0,0,0
486,548,3,6,0,0
487,479,2,8,0,0
488,542,2,8,0,0
489,498,3,38,0,0
490,561,3,18,0,0
491,608,3,52,0,0
492,480,1,0,0,0
493,484,2,2,0,0
494,501,1,0,0,0
495,493,1,0,0,0
496,487,1,0,0,0
497,398,1,0,0,0
498,513,3,40,0,0
499,530,5,284,0,0
500,483,2,4,0,0
501,543,2,2,0,0
502,507,1,0,0,0
503,451,1,0,0,0
504,511,1,0,0,0
505,658,1,0,0,0
506,525,1,0,0,0
507,604,4,102,0,0
508,500,2,2,0,0
509,517,1,0,0,0
510,500,1,0,0,0
511,530,2,10,0,0
512,536,1,0,0,0
513,536,3,42,0,0
514,527,1,0,0,0
515,542,1,0,0,0
516,658,2,4,0,0
517,522,2,6,0,0
518,552,2,4,0,0
519,574,1,0,0,0
520,581,1,0,0,0
521,560,1,0,0,0
522,511,2,8,0,0
523,540,1,0,0,0
524,552,1,0,0,0
525,487,2,6,0,0
526,455,3,10,0,0
527,526,2,2,0,0
528,427,2,2,0,0
529,522,1,0,0,0
530,555,5,296,0,0
531,535,1,0,0,0
532,527,1,0,0,0
533,508,1,0,0,0
534,604,1,0,0,0
535,645,3,12,0,0
536,560,3,44,0,0
537,602,1,0,0,0
538,517,2,4,0,0
539,516,1,0,0,0
540,538,2,2,0,0
541,570,1,0,0,0
542,644,2,10,0,0
543,535,3,10,0,0
544,562,1,0,0,0
545,551,1,0,0,0
546,550,2,4,0,0
547,546,1,0,0,0
548,484,4,20,0,0
549,557,1,0,0,0
550,579,3,8,0,0
551,526,2,6,0,0
552,543,2,6,0,0
553,508,1,0,0,0
554,528,1,0,0,0
555,561,5,316,0,0
556,540,1,0,0,0
557,559,3,16,0,0
558,608,1,0,0,0
559,555,3,18,0,0
560,570,3,46,0,0
561,563,5,336,0,0
562,525,2,4,0,0
563,579,5,338,0,0
564,592,1,0,0,0
565,548,3,12,0,0
566,557,3,14,0,0
567,614,1,0,0,0
568,585,1,0,0,0
569,614,1,0,0,0
570,597,3,48,0,0
571,616,1,0,0,0
572,623,1,0,0,0
573,565,2,4,0,0
574,610,2,4,0,0
575,573,1,0,0,0
576,837,2,2,0,0
577,602,1,0,0,0
578,566,3,10,0,0
579,641,5,348,0,0
580,576,1,0,0,0
581,707,2,2,0,0
582,528,1,0,0,0
583,581,1,0,0,0
584,585,1,0,0,0
585,665,2,2,0,0
586,538,1,0,0,0
587,642,1,0,0,0
588,629,1,0,0,0
589,660,1,0,0,0
590,597,1,0,0,0
591,595,1,0,0,0
592,683,2,7,0,0
593,632,1,0,0,0
594,624,1,0,0,0
595,551,2,4,0,0
596,606,1,0,0,0
597,627,3,50,0,0
598,566,2,2,0,0
599,627,1,0,0,0
600,598,1,0,0,0
601,687,1,0,0,0
602,573,2,2,0,0
603,613,1,0,0,0
604,687,4,104,0,0
605,559,1,0,0,0
606,595,2,2,0,0
607,629,1,0,0,0
608,642,3,54,0,0
609,610,1,0,0,0
610,612,2,6,0,0
611,624,1,0,0,0
612,635,2,8,0,0
613,562,2,2,0,0
614,644,2,2,0,0
615,623,1,0,0,0
616,736,2,2,0,0
617,578,2,2,0,0
618,598,1,0,0,0
619,657,1,0,0,0
620,606,1,0,0,0
621,742,1,0,0,0
622,613,1,0,0,0
623,645,2,2,0,0
624,657,2,2,0,0
625,631,1,0,0,0
626,617,1,0,0,0
627,667,3,52,0,0
628,647,1,0,0,0
629,648,2,2,0,0
630,631,1,0,0,0
631,637,2,2,0,0
632,660,5,358,0,0
633,635,1,0,0,0
634,859,1,0,0,0
635,673,2,10,0,0
636,617,1,0,0,0
637,578,3,6,0,0
638,632,5,356,0,0
639,656,1,0,0,0
640,669,1,0,0,0
641,643,5,352,0,0
642,673,3,56,0,0
643,638,5,354,0,0
644,684,3,14,0,0
645,698,3,16,0,0
646,656,1,0,0,0
647,674,5,362,0,0
648,649,2,4,0,0
649,565,2,6,0,0
650,649,1,0,0,0
651,758,1,0,0,0
652,662,1,0,0,0
653,563,1,0,0,0
654,643,1,0,0,0
655,665,1,0,0,0
656,637,2,2,0,0
657,711,2,4,0,0
658,742,2,6,0,0
659,727,1,0,0,0
660,647,5,360,0,0
661,680,1,0,0,0
662,641,2,2,0,0
663,662,1,0,0,0
664,667,1,0,0,0
665,741,2,4,0,0
666,638,1,0,0,0
667,672,3,54,0,0
668,683,1,0,0,0
669,846,2,2,0,0
670,710,1,0,0,0
671,672,1,0,0,0
672,696,3,56,0,0
673,710,3,68,0,0
674,698,5,364,0,0
675,674,1,0,0,0
676,763,1,0,0,0
677,684,1,0,0,0
678,693,1,0,0,0
679,680,1,0,0,0
680,721,2,2,0,0
681,696,1,0,0,0
682,694,1,0,0,0
683,753,2,9,0,0
684,699,3,16,0,0
685,721,1,0,0,0
686,693,1,0,0,0
687,694,4,106,0,0
688,705,1,0,0,0
689,718,1,0,0,0
690,699,1,0,0,0
691,711,1,0,0,0
692,697,1,0,0,0
693,704,2,2,0,0
694,708,4,108,0,0
695,747,1,0,0,0
696,697,3,58,0,0
697,726,3,60,0,0
698,714,5,382,0,0
699,748,3,18,0,0
700,751,1,0,0,0
701,705,1,0,0,0
702,775,1,0,0,0
703,727,1,0,0,0
704,725,3,80,0,0
705,714,2,2,0,0
706,708,1,0,0,0
707,704,3,76,0,0
708,726,4,110,0,0
709,718,1,0,0,0
710,712,3,70,0,0
711,822,2,6,0,0
712,707,3,72,0,0
713,755,1,0,0,0
714,862,5,386,0,0
715,759,1,0,0,0
716,1125,1,0,0,0
717,781,1,0,0,0
718,753,2,2,0,0
719,738,1,0,0,0
720,771,1,0,0,0
721,930,2,4,0,0
722,768,1,0,0,0
723,725,1,0,0,0
724,747,4,203,0,0
725,740,3,82,0,0
726,743,4,172,0,0
727,740,2,2,0,0
728,729,1,0,0,0
729,745,2,2,0,0
730,724,3,12,0,0
731,730,1,0,0,0
732,736,1,0,0,0
733,729,1,0,0,0
734,771,1,0,0,0
735,774,1,0,0,0
736,741,2,4,0,0
737,757,1,0,0,0
738,772,2,4,0,0
739,748,1,0,0,0
740,745,3,86,0,0
741,730,3,10,0,0
742,1125,2,8,0,0
743,798,4,176,0,0
744,750,1,0,0,0
745,810,3,90,0,0
746,712,1,0,0,0
747,795,4,205,0,0
748,1014,3,20,0,0
749,750,1,0,0,0
750,738,2,2,0,0
751,785,2,2,0,0
752,751,1,0,0,0
753,759,3,13,0,0
754,763,1,0,0,0
755,743,2,2,0,0
756,724,4,189,0,0
757,810,2,2,0,0
758,756,4,187,0,0
759,861,3,15,0,0
760,-1,8,16993,1,0
761,794,4,30,0,0
762,761,1,0,0,0
763,789,2,2,0,0
764,757,1,0,0,0
765,774,1,0,0,0
766,815,1,0,0,0
767,755,1,0,0,0
768,782,4,173,0,0
769,865,1,0,0,0
770,839,1,0,0,0
771,837,2,2,0,0
772,777,4,26,0,0
773,938,1,0,0,0
774,832,2,2,0,0
775,772,4,20,0,0
776,813,1,0,0,0
777,761,4,28,0,0
778,796,1,0,0,0
779,789,1,0,0,0
780,781,1,0,0,0
781,796,2,2,0,0
782,787,4,175,0,0
783,756,1,0,0,0
784,861,1,0,0,0
785,788,3,6,0,0
786,846,1,0,0,0
787,758,4,185,0,0
788,775,4,18,0,0
789,832,2,4,0,0
790,777,1,0,0,0
791,986,1,0,0,0
792,782,1,0,0,0
793,833,1,0,0,0
794,836,5,369,0,0
795,910,4,207,0,0
796,997,2,4,0,0
797,842,1,0,0,0
798,807,6,941,0,0
799,795,1,0,0,0
800,915,3,106,0,0
801,818,1,0,0,0
802,958,1,0,0,0
803,820,1,0,0,0
804,894,1,0,0,0
805,922,1,0,0,0
806,813,1,0,0,0
807,997,6,961,0,0
808,947,1,0,0,0
809,794,4,337,0,0
810,843,3,94,0,0
811,839,1,0,0,0
812,945,1,0,0,0
813,785,2,2,0,0
814,829,1,0,0,0
815,852,4,159,0,0
816,844,1,0,0,0
817,819,1,0,0,0
818,827,4,325,0,0
819,825,2,4,0,0
820,871,2,2,0,0
821,834,1,0,0,0
822,768,4,171,0,0
823,815,4,157,0,0
824,809,1,0,0,0
825,818,4,323,0,0
826,820,1,0,0,0
827,841,4,327,0,0
828,800,3,104,0,0
829,809,4,335,0,0
830,798,6,763,0,0
831,830,1,0,0,0
832,842,3,8,0,0
833,865,2,4,0,0
834,829,4,333,0,0
835,836,1,0,0,0
836,854,5,371,0,0
837,840,3,6,0,0
838,844,1,0,0,0
839,833,2,2,0,0
840,823,4,155,0,0
841,848,4,329,0,0
842,788,3,10,0,0
843,828,3,102,0,0
844,819,2,2,0,0
845,930,1,0,0,0
846,859,2,4,0,0
847,827,1,0,0,0
848,834,4,331,0,0
849,944,1,0,0,0
850,1025,1,0,0,0
851,828,1,0,0,0
852,822,4,163,0,0
853,928,1,0,0,0
854,862,5,373,0,0
855,840,4,147,0,0
856,895,1,0,0,0
857,848,1,0,0,0
858,877,1,0,0,0
859,1001,2,6,0,0
860,841,1,0,0,0
861,903,3,17,0,0
862,830,6,761,0,0
863,1014,1,0,0,0
864,760,7,14592,0,0
865,893,2,6,0,0
866,873,1,0,0,0
867,952,1,0,0,0
868,854,1,0,0,0
869,874,1,0,0,0
870,825,4,317,0,0
871,874,2,4,0,0
872,922,1,0,0,0
873,855,4,141,0,0
874,877,2,6,0,0
875,906,1,0,0,0
876,823,1,0,0,0
877,891,2,8,0,0
878,888,1,0,0,0
879,880,1,0,0,0
880,787,2,8,0,0
881,963,1,0,0,0
882,852,2,2,0,0
883,907,1,0,0,0
884,923,1,0,0,0
885,890,1,0,0,0
886,871,1,0,0,0
887,898,1,0,0,0
888,891,4,44,0,0
889,901,1,0,0,0
890,870,4,309,0,0
891,959,4,54,0,0
892,906,1,0,0,0
893,864,2,8,0,0
894,1031,2,12,0,0
895,894,2,10,0,0
896,955,1,0,0,0
897,952,1,0,0,0
898,949,4,293,0,0
899,905,1,0,0,0
900,890,4,307,0,0
901,927,4,211,0,0
902,909,1,0,0,0
903,931,4,137,0,0
904,958,1,0,0,0
905,898,4,291,0,0
906,909,2,2,0,0
907,807,2,18,0,0
908,1039,1,0,0,0
909,962,2,4,0,0
910,901,4,209,0,0
911,910,1,0,0,0
912,843,2,6,0,0
913,882,1,0,0,0
914,921,1,0,0,0
915,925,3,110,0,0
916,1181,1,0,0,0
917,1046,1,0,0,0
918,956,1,0,0,0
919,912,1,0,0,0
920,903,3,118,0,0
921,880,2,6,0,0
922,923,2,2,0,0
923,1062,2,4,0,0
924,950,1,0,0,0
925,920,3,112,0,0
926,931,1,0,0,0
927,940,4,287,0,0
928,929,7,2385,0,0
929,938,7,2393,0,0
930,1046,2,6,0,0
931,873,4,139,0,0
932,973,1,0,0,0
933,977,1,0,0,0
934,915,2,2,0,0
935,940,1,0,0,0
936,988,1,0,0,0
937,944,1,0,0,0
938,948,7,2395,0,0
939,893,1,0,0,0
940,905,4,289,0,0
941,760,7,2399,0,0
942,900,4,305,0,0
943,970,1,0,0,0
944,981,2,2,0,0
945,983,3,54,0,0
946,882,1,0,0,0
947,928,7,2383,0,0
948,941,7,2397,0,0
949,942,4,303,0,0
950,1033,4,60,0,0
951,945,3,52,0,0
952,986,2,2,0,0
953,962,1,0,0,0
954,900,1,0,0,0
955,951,3,50,0,0
956,950,4,58,0,0
957,1006,1,0,0,0
958,974,2,2,0,0
959,956,4,56,0,0
960,1001,1,0,0,0
961,1255,1,0,0,0
962,966,2,6,0,0
963,947,7,2381,0,0
964,855,2,4,0,0
965,959,1,0,0,0
966,895,2,8,0,0
967,864,7,14582,0,0
968,1013,1,0,0,0
969,934,1,0,0,0
970,912,2,4,0,0
971,934,1,0,0,0
972,941,1,0,0,0
973,955,3,48,0,0
974,973,3,46,0,0
975,966,1,0,0,0
976,951,1,0,0,0
977,987,2,12,0,0
978,964,1,0,0,0
979,963,7,2379,0,0
980,1032,1,0,0,0
981,927,3,74,0,0
982,907,2,16,0,0
983,1044,3,56,0,0
984,1188,1,0,0,0
985,991,1,0,0,0
986,1225,2,4,0,0
987,982,2,14,0,0
988,1008,2,6,0,0
989,1025,1,0,0,0
990,992,1,0,0,0
991,921,2,4,0,0
992,988,2,4,0,0
993,1103,1,0,0,0
994,1076,1,0,0,0
995,967,7,14580,0,0
996,987,1,0,0,0
997,1090,6,967,0,0
998,1007,1,0,0,0
999,1145,1,0,0,0
1000,1010,1,0,0,0
1001,1260,2,8,0,0
1002,948,1,0,0,0
1003,977,2,10,0,0
1004,992,2,2,0,0
1005,1090,1,0,0,0
1006,888,4,42,0,0
1007,970,2,2,0,0
1008,1003,2,8,0,0
1009,979,7,2367,0,0
1010,1043,2,2,0,0
1011,995,7,14578,0,0
1012,920,2,4,0,0
1013,870,2,6,0,0
1014,1140,3,22,0,0
1015,1061,1,0,0,0
1016,1048,1,0,0,0
1017,1039,1,0,0,0
1018,1004,1,0,0,0
1019,964,2,2,0,0
1020,982,1,0,0,0
1021,1010,1,0,0,0
1022,1009,7,2365,0,0
1023,929,2,6,0,0
1024,1012,1,0,0,0
1025,1107,2,2,0,0
1026,1314,1,0,0,0
1027,1004,1,0,0,0
1028,1019,1,0,0,0
1029,983,1,0,0,0
1030,1003,1,0,0,0
1031,974,3,42,0,0
1032,1033,2,2,0,0
1033,1075,4,64,0,0
1034,1019,1,0,0,0
1035,1007,1,0,0,0
1036,1060,1,0,0,0
1037,1160,1,0,0,0
1038,1052,1,0,0,0
1039,1337,2,2,0,0
1040,1098,1,0,0,0
1041,1358,1,0,0,0
1042,1032,1,0,0,0
1043,1013,2,4,0,0
1044,981,3,70,0,0
1045,967,1,0,0,0
1046,1250,2,8,0,0
1047,1095,1,0,0,0
1048,1061,2,16,0,0
1049,1096,1,0,0,0
1050,1058,1,0,0,0
1051,1084,1,0,0,0
1052,949,2,8,0,0
1053,1086,1,0,0,0
1054,1100,1,0,0,0
1055,1188,1,0,0,0
1056,1062,1,0,0,0
1057,942,1,0,0,0
1058,1012,2,2,0,0
1059,1113,1,0,0,0
1060,991,2,2,0,0
1061,1115,2,18,0,0
1062,1102,2,6,0,0
1063,1011,7,14574,0,0
1064,1067,1,0,0,0
1065,1069,1,0,0,0
1066,1058,1,0,0,0
1067,1048,2,14,0,0
1068,1086,1,0,0,0
1069,1113,2,6,0,0
1070,1418,1,0,0,0
1071,1052,2,6,0,0
1072,1166,1,0,0,0
1073,1023,2,4,0,0
1074,1098,1,0,0,0
1075,1120,4,72,0,0
1076,1022,7,2361,0,0
1077,1073,1,0,0,0
1078,1080,1,0,0,0
1079,925,1,0,0,0
1080,1069,2,4,0,0
1081,1008,1,0,0,0
1082,1043,1,0,0,0
1083,1063,7,14572,0,0
1084,1006,4,40,0,0
1085,995,1,0,0,0
1086,1096,2,2,0,0
1087,1067,2,12,0,0
1088,1009,1,0,0,0
1089,1093,1,0,0,0
1090,1102,6,969,0,0
1091,1187,1,0,0,0
1092,1031,3,28,0,0
1093,1073,2,2,0,0
1094,1084,4,38,0,0
1095,1097,2,6,0,0
1096,1095,2,4,0,0
1097,1160,2,8,0,0
1098,1092,2,2,0,0
1099,1333,1,0,0,0
1100,1107,2,2,0,0
1101,1097,1,0,0,0
1102,1202,6,977,0,0
1103,1080,2,2,0,0
1104,1114,1,0,0,0
1105,1112,1,0,0,0
1106,1304,1,0,0,0
1107,1117,3,6,0,0
1108,1063,1,0,0,0
1109,979,2,10,0,0
1110,1071,1,0,0,0
1111,1289,1,0,0,0
1112,1094,2,4,0,0
1113,1133,2,8,0,0
1114,1146,2,2,0,0
1115,1151,2,20,0,0
1116,1132,1,0,0,0
1117,1140,3,8,0,0
1118,1093,1,0,0,0
1119,1109,2,8,0,0
1120,1076,7,2359,0,0
1121,1117,1,0,0,0
1122,1145,1,0,0,0
1123,1083,7,14570,0,0
1124,1112,2,2,0,0
1125,1169,2,10,0,0
1126,1011,2,2,0,0
1127,1231,1,0,0,0
1128,1087,1,0,0,0
1129,1126,1,0,0,0
1130,1233,1,0,0,0
1131,1119,1,0,0,0
1132,1265,2,2,0,0
1133,1087,2,10,0,0
1134,1022,2,2,0,0
1135,1124,1,0,0,0
1136,1132,1,0,0,0
1137,1152,1,0,0,0
