original_reachid,upstream_reachid,reachbase
1345,1155,4
1345,1171,4
1345,1590,4
1345,1676,4
1345,1821,4
1345,1876,4
1345,634,4
1345,846,4
1345,1445,4
1345,1585,4
1345,1643,4
1345,1671,4
1345,1778,4
1345,1806,4
1345,1936,4
1345,1941,4
1345,669,4
1345,786,4
1345,1355,4
1345,1423,4
1345,1428,4
1345,1491,4
1345,1633,4
1345,1760,4
1345,1947,4
1345,2140,4
1345,445,4
1345,640,4
1345,1139,4
1345,1349,4
1345,1419,4
1345,1459,4
1345,1804,4
1345,1883,4
1345,1316,4
1345,1361,4
1345,1453,4
1345,1492,4
1345,1824,4
1345,1869,4
1345,1897,4
1345,1913,4
1345,1263,4
1345,1318,4
1345,1514,4
1345,1545,4
1345,1169,4
1345,1255,4
1345,1570,4
1345,1634,4
1345,961,4
1345,1125,4
1345,1159,4
1345,1282,4
1345,1547,4
1345,1645,4
1345,716,4
1345,742,4
1345,1477,4
1345,1619,4
1345,1644,4
1345,1670,4
1345,621,4
1345,658,4
1345,1448,4
1345,1460,4
1345,505,4
1345,516,4
1345,1418,4
1345,1473,4
1345,466,4
1345,539,4
1345,1070,4
1345,1430,4
1345,391,4
1345,403,4
12336,12336,4
12336,12366,4
12336,12383,4
12336,12430,4
12336,12464,4
12336,12459,4
12336,12525,4
12336,12537,4
12336,12553,4
12336,12388,4
12336,12603,4
12336,12636,4
12336,12663,4
12336,12623,4
12336,12697,4
12336,12788,4
12336,12827,4
12336,12451,4
12336,12628,4
12336,12681,4
12336,12752,4
12336,12845,4
12336,12900,4
12336,12377,4
12336,12440,4
12336,12591,4
12336,12750,4
12336,12766,4
12336,12910,4
12336,12399,4
12336,12615,4
12336,12768,4
12336,12897,4
12336,12538,4
12336,12645,4
12336,12534,4
12336,12541,4
12336,12495,4
12336,12546,4
12336,12558,4
12336,12563,4
1767,1767,4
1767,1744,4
1767,1800,4
1767,1603,4
1767,1783,4
1767,1365,4
1767,1544,4
1767,1720,4
1767,1807,4
1767,1231,4
1767,1354,4
1767,1650,4
1767,1745,4
1767,1127,4
1767,1244,4
1767,1342,4
1767,1466,4
1767,1718,4
1767,1803,4
1767,1210,4
1767,1227,4
1767,1469,4
1767,1476,4
1767,1649,4
1767,1730,4
1767,1199,4
1767,1229,4
1767,1433,4
1767,1523,4
1767,1663,4
1767,1766,4
1767,1170,4
1767,1262,4
1767,1399,4
1767,1411,4
1767,1617,4
1767,1651,4
1767,1761,4
1767,1831,4
1767,1154,4
1767,1172,4
1767,1274,4
1767,1275,4
1767,1381,4
1767,1432,4
1767,1588,4
1767,1653,4
1767,1724,4
1767,1795,4
1767,1146,4
1767,1147,4
1767,1271,4
1767,1310,4
1767,1376,4
1767,1431,4
1767,1481,4
1767,1531,4
1767,1613,4
1767,1690,4
1767,1798,4
1767,1892,4
1767,1114,4
1767,1153,4
1767,1285,4
1767,1300,4
1767,1340,4
1767,1351,4
1767,1602,4
1767,1607,4
1767,1755,4
1767,1791,4
1767,1104,4
1767,1149,4
1767,1272,4
1767,1295,4
1767,1330,4
1767,1359,4
1767,1560,4
1767,1618,4
1767,1721,4
1767,1768,4
1767,1291,4
1767,1321,4
1767,1325,4
1767,1370,4
1767,1584,4
1767,1621,4
1767,1739,4
1767,1792,4
1767,1200,4
1767,1214,4
1767,1279,4
1767,1326,4
1767,1352,4
1767,1392,4
1767,1589,4
1767,1646,4
1767,1694,4
1767,1801,4
1767,1204,4
1767,1247,4
1767,1324,4
1767,1356,4
1767,1384,4
1767,1420,4
1767,1454,4
1767,1571,4
1767,1194,4
1767,1253,4
1767,1303,4
1767,1367,4
1767,1444,4
1767,1455,4
1767,1512,4
1767,1546,4
1767,1162,4
1767,1222,4
1767,1277,4
1767,1281,4
1767,1366,4
1767,1394,4
1767,1441,4
1767,1464,4
1767,1536,4
1767,1552,4
1767,1143,4
1767,1157,4
1767,1239,4
1767,1307,4
1767,1426,4
1767,1467,4
1767,1486,4
1767,1529,4
1767,1217,4
1767,1232,4
1767,1389,4
1767,1422,4
1767,1524,4
1767,1540,4
1767,1224,4
1767,1240,4
1767,1396,4
1767,1421,4
1767,1192,4
1767,1219,4
1767,1142,4
1767,1187,4
1767,1189,4
1767,1264,4
1767,1091,4
1767,1228,4
1767,1267,4
1767,1327,4
1767,1203,4
1767,1297,4
1767,1336,4
1767,1346,4
1767,1165,4
1767,1211,4
1767,1290,4
1767,1348,4
1767,1178,4
1767,1215,4
1767,1306,4
1767,1383,4
1767,1150,4
1767,1246,4
1767,1378,4
1767,1395,4
1767,1242,4
1767,1251,4
1767,1184,4
1767,1278,4
1767,1258,4
1767,1299,4
1767,1254,4
1767,1403,4
1767,1380,4
1767,1535,4
1767,1485,4
1767,1595,4
1822,1822,4
1822,1599,4
1822,1779,4
1822,1561,4
1822,1587,4
1822,1622,4
1822,1782,4
1822,1424,4
1822,1474,4
1822,1568,4
1822,1597,4
1822,1693,4
1822,1777,4
1822,1286,4
1822,1362,4
1822,1379,4
1822,1401,4
1822,1470,4
1822,1567,4
1822,1679,4
1822,1696,4
1822,1298,4
1822,1339,4
1822,1662,4
1822,1673,4
1822,1257,4
1822,1269,4
1822,1573,4
1822,1639,4
1822,1188,4
1822,1193,4
1822,1471,4
1822,1660,4
1822,984,4
1822,1055,4
1822,1148,4
1822,1223,4
2598,2598,4
2598,2553,4
2598,2608,4
2598,2360,4
2598,2469,4
2598,2201,4
2598,2463,4
2598,2173,4
2598,2185,4
2598,2124,4
2598,2144,4
2598,2115,4
2598,2119,4
2598,2090,4
2598,2095,4
2598,2045,4
2598,2070,4
2598,1988,4
2598,2018,4
2598,1899,4
2598,1927,4
2598,1946,4
2598,2010,4
2598,1860,4
2598,1916,4
2598,1917,4
2598,1998,4
