year_2015,year_2016,year_2017,sd,mean,cv,mean_cv,change_2016_2017,change_2015_2016
0,0,0,0,0,NA,0,0,0
3.01566055724768e-5,3.86306060125488e-5,2.3756611356956e-5,7.46105808438771e-6,2.5001220256592326e-5,0.29842775703799407,0.04975879385654617,-1.4873994655592799e-5,8.474000440071997e-6
9.27895556076208e-6,1.21991387408049e-5,1.72775355323317e-5,4.047527338569178e-6,1.0700789293116965e-5,0.3782456814818937,0.06304986423805987,5.0783967915268e-6,2.920183180042821e-6
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
3.24763444626673e-5,4.67633651730854e-5,2.59163032984975e-5,1.065952695681516e-5,2.895388497276634e-5,0.36815532585148336,0.06138334921272453,-2.08470618745879e-5,1.4287020710418102e-5
0,0,0,0,0,NA,0,0,0
3.71158222430483e-5,4.67633651730854e-5,1.94372274738731e-5,1.385836449679356e-5,2.929369484670009e-5,0.47308352767778944,0.07887166602533716,-2.73261376992123e-5,9.647542930037101e-6
5.3353994474382e-5,5.69293141237562e-5,4.31938388308292e-5,7.1259497006718014e-6,4.01507742824098e-5,0.17747975793816026,0.02961341863492872,-1.3735475292927001e-5,3.5753196493741953e-6
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
5.3353994474382e-5,6.30288834941586e-5,5.39922985385365e-5,5.410957667602006e-6,4.394653354366978e-5,0.12312592669510837,0.02055760989380445,-9.0365849556221e-6,9.674889019776601e-6
6.95921667057156e-6,8.1327591605366e-6,1.51178435907902e-5,4.410816245262716e-6,8.65515891679027e-6,0.5096170142764346,0.08494338167850309,6.985084430253601e-6,1.17354248996504e-6
8.11908611566682e-5,9.96262997165733e-5,7.55892179539511e-5,1.2576599309362653e-5,6.72457445341388e-5,0.18702446372614495,0.031226782074802607,-2.40370817626222e-5,1.843543855990509e-5
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
4.40750389136199e-5,4.47301753829513e-5,3.02356871815804e-5,8.185831747357063e-6,3.1806683306377165e-5,0.25736200371812495,0.04292017285577614,-1.4494488201370898e-5,6.551364693313999e-7
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
8.11908611566682e-5,9.96262997165733e-5,7.77489098954925e-5,1.1763875557286055e-5,6.758248658150502e-5,0.17406692402622279,0.029067472743188386,-2.187738982108079e-5,1.843543855990509e-5
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
1.62381722313336e-5,1.4232328530939e-5,3.02356871815804e-5,8.718384042105648e-6,1.735614299648966e-5,0.502322667188728,0.08373490798395174,1.60033586506414e-5,-2.005843700394598e-6
1.62381722313336e-5,1.4232328530939e-5,3.02356871815804e-5,8.718384042105648e-6,1.735614299648966e-5,0.502322667188728,0.08373490798395174,1.60033586506414e-5,-2.005843700394598e-6
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
8.58303389370492e-5,4.87965549632196e-5,3.45550710646633e-5,2.646845328070773e-5,4.8912604561409955e-5,0.5411376784786933,0.09023037358358339,-1.4241483898556304e-5,-3.7033783973829596e-5
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
1.62381722313336e-5,3.04978468520122e-5,4.31938388308292e-6,1.310666344137988e-5,1.604051660195215e-5,0.8170973396071785,0.13619625703169805,-2.617846296892928e-5,1.4259674620678602e-5
9.27895556076208e-6,1.4232328530939e-5,2.3756611356956e-5,7.358106464808152e-6,1.3656500478366308e-5,0.5387988289140663,0.08981118523607635,9.524282826017e-6,4.9533729701769205e-6
0,0,0,0,0,NA,0,0,0
2.55171277920957e-5,2.64314672717439e-5,3.88744549477463e-5,7.4619272279605255e-6,2.4571244309886607e-5,0.30368536220032244,0.05063470307031198,1.24429876760024e-5,9.143394796482009e-7
0,0,0,0,0,NA,0,0,0
9.51092944978113e-5,5.28629345434879e-5,3.67147630062048e-5,3.015360586925993e-5,5.371014947919098e-5,0.5614135533348756,0.09361368401371194,-1.6148171537283098e-5,-4.2246359954323396e-5
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
1.2526590007028e-4,1.1792500782778e-4,9.28667534862827e-5,1.6987787323694774e-5,8.826136217700937e-5,0.1924713929706357,0.032152116630253455,-2.5058254341497302e-5,-7.3408922424999975e-6
0,0,0,0,0,NA,0,0,0
