Date,dailyCatch,dailyCPUE,cumCPUE
6/26/18,80,1.67,14.77
6/27/18,54,1.13,15.9
6/28/18,39,0.81,16.71
6/29/18,21,0.44,17.15
6/30/18,43,0.9,18.04
7/1/18,70,1.46,19.5
7/2/18,100,2.08,21.59
7/3/18,51,1.06,22.65
7/4/18,18,0.38,23.02
7/5/18,21,0.44,23.46
7/6/18,11,0.23,23.69
7/7/18,4,0.08,23.77
7/8/18,13,0.27,24.04
7/9/18,3,0.06,24.11
7/10/18,1,0.04,24.15
7/11/18,2,0.08,24.23
7/12/18,2,0.08,24.32
