tributary_group_id,year,trib_total_assignment_rescale,trib_total_assignment_individuals,n_reaches,mean_str_order,min_str_order,max_str_order,stream_order
3_11675_3,2017,3.5085887593359183e-4,46.487397625697184,1,3,3,3,3
3_11676_3,2017,0,0,1,3,3,3,3
3_11681_3,2017,0,0,6,3,3,3,3
3_11698_3,2017,0,0,2,3,3,3,3
3_11711_3,2017,0,0,3,3,3,3,3
3_11730_3,2017,0,0,1,3,3,3,3
3_11746_3,2017,0,0,1,3,3,3,3
3_11769_4,2017,0,0,9,4,4,4,4
3_11771_3,2017,0.002701124178973194,357.8881492172323,7,3,3,3,3
3_11773_4,2017,0,0,10,4,4,4,4
3_11779_4,2017,4.830270464530789e-4,63.99915154684714,1,4,4,4,4
3_11786_3,2017,0,0,3,3,3,3,3
3_11788_3,2017,0.001284280631243898,170.16204651729151,10,3,3,3,3
3_11791_4,2017,0,0,1,4,4,4,4
3_11793_3,2017,0,0,1,3,3,3,3
3_11794_4,2017,0.006682249044755121,885.3712694338744,11,4,4,4,4
3_11806_3,2017,0,0,8,3,3,3,3
3_11817_4,2017,0,0,1,4,4,4,4
3_11829_3,2017,0,0,1,3,3,3,3
3_11848_3,2017,0,0,8,3,3,3,3
3_11853_4,2017,0,0,4,4,4,4,4
3_11879_4,2017,0,0,8,4,4,4,4
3_11880_4,2017,4.830270464530789e-4,63.99915154684714,1,4,4,4,4
3_11900_4,2017,0,0,7,4,4,4,4
3_11902_4,2017,3.4533983126866605e-4,45.75614628377318,2,4,4,4,4
3_11914_4,2017,0,0,3,4,4,4,4
3_11925_3,2017,0,0,2,3,3,3,3
3_11942_4,2017,0,0,2,4,4,4,4
3_11943_4,2017,0.003979308769544291,527.2424947295403,6,4,4,4,4
3_11951_4,2017,9.628203437523816e-4,127.56984426581556,2,4,4,4,4
3_11974_4,2017,0,0,5,4,4,4,4
3_11990_4,2017,0,0,6,4,4,4,4
3_12000_3,2017,0,0,2,3,3,3,3
3_12008_3,2017,0,0,2,3,3,3,3
3_12022_4,2017,8.57731668137037e-4,113.64601510148486,3,4,4,4,4
3_12023_4,2017,0.0014330576396395117,189.87440502167675,3,4,4,4,4
3_12035_3,2017,0,0,1,3,3,3,3
3_12046_4,2017,0.0031563392761580177,418.20232873383276,5,4,4,4,4
3_12059_4,2017,0.0013692886027069236,181.4252627042566,4,4,4,4,4
3_12067_3,2017,0.0013391995674180987,177.43858588462837,9,3,3,3,3
3_12076_4,2017,0.0023473156887283187,311.0099394937473,4,4,4,4,4
3_12083_3,2017,0,0,2,3,3,3,3
3_12089_3,2017,0,0,1,3,3,3,3
3_12091_4,2017,7.698769990419249e-4,102.00562286505888,1,4,4,4,4
3_12138_3,2017,0,0,1,3,3,3,3
3_12140_4,2017,0,0,1,4,4,4,4
3_12142_4,2017,7.698769990419249e-4,102.00562286505888,1,4,4,4,4
3_12156_3,2017,0.0012834996675059,170.05857194586173,6,3,3,3,3
3_12169_3,2017,0.005575526497521484,738.7349588156064,12,3,3,3,3
3_12178_3,2017,0,0,1,3,3,3,3
3_12199_4,2017,3.83588006221879e-4,50.82387647237408,1,4,4,4,4
3_12204_3,2017,2.9204274346383786e-4,38.69449533798466,3,3,3,3,3
3_12210_4,2017,0.00154352924637775,204.51145102806638,3,4,4,4,4
3_12213_4,2017,7.698769990419249e-4,102.00562286505888,2,4,4,4,4
3_12222_3,2017,3.186466710587895e-4,42.21940932860537,2,3,3,3,3
3_12228_3,2017,0.006434974531208981,852.6083854870653,12,3,3,3,3
3_12248_3,2017,0,0,1,3,3,3,3
3_12251_3,2017,0.0017687825521460398,234.35661302914173,11,3,3,3,3
3_12279_4,2017,5.508207544486272e-4,72.98154668142531,1,4,4,4,4
3_12300_3,2017,0.004799864136813242,635.9627986712073,16,3,3,3,3
3_12308_4,2017,5.508207544486272e-4,72.98154668142531,1,4,4,4,4
3_12322_3,2017,0,0,3,3,3,3,3
3_12354_4,2017,0.0010574943088593643,140.11376594663034,2,4,4,4,4
3_12368_4,2017,0.0015437057672498837,204.5348393375406,3,4,4,4,4
3_12383_4,2017,0.0010041178762024566,133.0416021253207,3,4,4,4,4
3_12428_4,2017,0,0,1,4,4,4,4
3_12429_3,2017,0,0,11,3,3,3,3
3_12430_4,2017,6.428019633447834e-4,85.16868893533041,2,4,4,4,4
3_12468_4,2017,0.001997246073072848,264.62711569786006,4,4,4,4,4
3_12481_4,2017,0.0029613909757142385,392.37245871823376,5,4,4,4,4
3_12487_3,2017,3.231409071311259e-4,42.81487763124566,5,3,3,3,3
3_124_4,2017,0,0,18,4,4,4,4
3_12506_3,2017,0,0,1,3,3,3,3
3_12516_4,2017,0.0039469856562680495,522.9598115128914,6,4,4,4,4
3_12525_4,2017,2.8251862848840053e-4,37.43258820019911,1,4,4,4,4
3_12557_4,2017,0.004945915019630447,655.3139564409556,7,4,4,4,4
3_12561_4,2017,0.005862433389692912,776.748974400752,8,4,4,4,4
