tributary_group_id,stream_order,n_years,mean_individuals,sd_individuals,min_individuals,max_individuals,cv_individuals,mean_rescale,sd_rescale,cv_rescale
3_16975_4,4,5,65.9764917420442,10.203489314767147,54.40336594535355,81.56652812156756,0.15465340828761992,4.561488166816329e-4,3.329303072884112e-5,0.07298721275008337
3_16976_4,4,5,239.6090248167675,37.02802888311166,201.6200733350151,297.67233686771976,0.15453520129898085,0.0016555612750801128,9.258568737154897e-5,0.05592404749082376
3_1925_4,4,5,69.04075213108155,30.26174154035542,40.04980305166497,111.71102405888345,0.43831708963570004,4.6986223964419276e-4,1.8398960144085176e-4,0.39158201259198755
3_1928_4,4,5,442.9728686493245,161.74856080109726,338.02097619635464,718.6975468249433,0.36514326779038936,0.0030659489813252517,0.0010537249887142342,0.34368640676426493
3_1937_4,4,5,385.1126354427484,141.42555710206165,287.5729501825616,623.4882912965428,0.3672316722079773,0.0026619630075650183,9.133229699772182e-4,0.3431013005746701
3_1952_4,4,5,97.41590205220139,41.80528775705382,57.817215925459855,157.30245459044218,0.4291423358647543,6.638763834480117e-4,2.545967936590879e-4,0.3835003021748934
3_1964_4,4,5,442.9728686493245,161.74856080109726,338.02097619635464,718.6975468249433,0.36514326779038936,0.0030659489813252517,0.0010537249887142342,0.34368640676426493
3_1971_4,4,5,330.4827950688373,122.54927339750473,240.7533482268902,534.2876199418793,0.37081892076099926,0.0022810376766381224,7.843157755111843e-4,0.3438416574807032
3_2040_4,4,5,276.99645135973145,104.72956345128654,195.69463085163986,447.96759083592036,0.3780899103117957,0.001908355645871345,6.639418626199224e-4,0.3479130653955071
3_2048_4,4,5,224.11146156116007,87.31181772988238,151.65090137596212,362.5947482604517,0.38959104153651225,0.0015400673808824952,5.474552593554112e-4,0.3554748747692496
3_2114_3,3,5,95.31111070451526,23.96644180442165,65.30834808260084,127.52587516463569,0.2514548579621816,6.599110646533724e-4,1.5028035327663768e-4,0.22772819145800285
3_2130_4,4,5,127.56089893970572,53.688266604760024,77.2704341730887,205.56697913500662,0.42088341373430493,8.703644221750976e-4,3.2746931969758323e-4,0.3762439173228336
3_2147_4,4,5,505.10075378963353,181.37935503919053,394.937668896309,816.7467925228087,0.35909539567769516,0.0035010742329828464,0.0011928981616273846,0.34072347006794507
3_2216_4,4,5,174.62462263543023,70.20451946369161,112.90848531668867,282.18918102656653,0.40203104467266326,0.0011965108484030035,4.348669971824192e-4,0.36344592927246844
3_2663_4,4,5,417.3955506605069,91.73946618857241,335.693663523783,566.6975661026354,0.21979023505018067,0.0028594994139135486,1.6554275737096187e-4,0.057892215877183156
3_2779_4,4,5,417.3955506605069,91.73946618857241,335.693663523783,566.6975661026354,0.21979023505018067,0.0028594994139135486,1.6554275737096187e-4,0.057892215877183156
3_2865_3,3,5,77.28318999233367,18.988957560534924,67.12920876135064,111.06774849972217,0.24570618219070134,5.278240934226577e-4,2.6271862330708928e-5,0.04977389751261621
3_3057_4,4,5,417.3955506605069,91.73946618857241,335.693663523783,566.6975661026354,0.21979023505018067,0.0028594994139135486,1.6554275737096187e-4,0.057892215877183156
3_3088_4,4,5,344.77982991564556,75.95111500572827,277.3016985720991,468.04878709974383,0.22028874201924922,0.0023617899798330324,1.3686626554102317e-4,0.05795022703530099
3_3161_4,4,5,203.16874547390938,45.00741726615276,163.40193582553678,275.72850952665107,0.2215272686808638,0.0013914131477477654,8.131820114515e-5,0.05844288684261543
3_3192_4,4,5,273.0884699985879,60.354407563297514,219.6457963929802,370.65348385518814,0.22100679521039315,0.0018704398246453733,1.088526642742899e-4,0.058196293107118734
3_3196_4,4,5,65.07861571857877,14.695898327816863,52.31465538839256,88.2513442122279,0.22581762327838587,4.453856329903485e-4,2.791594735316524e-5,0.06267814964244744
3_3221_4,4,5,57.4011470782427,15.11017406146194,48.76064308025043,84.30932290123339,0.26323819001152493,3.912241508619511e-4,2.5423618731159922e-5,0.06498478858001534
3_3254_4,4,5,57.4011470782427,15.11017406146194,48.76064308025043,84.30932290123339,0.26323819001152493,3.912241508619511e-4,2.5423618731159922e-5,0.06498478858001534
3_3297_3,3,5,218.04707411874236,51.43273289044788,173.4067092217963,294.7436113242429,0.23587903253606168,0.0014905645347841289,1.2383263236172303e-4,0.08307767256763365
3_3304_4,4,5,134.00672480049923,29.796396977229094,107.76148367786557,181.8327540825655,0.22235001281904393,9.17621056504999e-4,5.415725145362598e-5,0.059019189969221175
3_3327_4,4,5,53.335844994329726,12.666538809000755,39.67187544121258,68.75703923408744,0.23748641856798872,3.656536497166233e-4,5.0152513329847423e-5,0.13715851973230667
3_3334_4,4,5,65.07861571857877,14.695898327816863,52.31465538839256,88.2513442122279,0.22581762327838587,4.453856329903485e-4,2.791594735316524e-5,0.06267814964244744
3_3482_4,4,5,79.80103615854752,18.95190054993822,59.32083396660224,102.79708045206206,0.23748940442684058,5.471173465046231e-4,7.536412792495776e-5,0.13774764848242832
3_3585_4,4,5,114.14224512003973,27.1087030514704,84.69388026144351,146.6546116086277,0.23749929767862063,7.826903427480099e-4,1.0933814700823221e-4,0.13969528054268332
3_3686_4,4,5,128.65206624428615,34.23242810214053,108.5964811787888,189.56037381645132,0.266085334666445,8.764705975564461e-4,5.8196091005127096e-5,0.06639822393058561
3_3716_4,4,5,148.24597797609496,35.21169952659453,109.8678176325479,190.14205783774446,0.2375221237521365,0.0010166564436168148,1.433482621517969e-4,0.14099970845788087
3_3798_4,4,5,177.19280215612216,42.12485093709692,131.12801315920603,226.2161027472593,0.23773454917193135,0.0012154807598718281,1.7528987210794247e-4,0.1442144358800272
3_3874_4,4,5,218.65829153773282,52.08750489073294,161.63040173193662,277.6414027136807,0.2382141766700141,0.001500338760920126,2.2210156426923837e-4,0.14803427736081962
3_3893_4,4,5,260.5213230002891,62.24599401532164,192.55126490170045,329.25153982486296,0.2389285963178245,0.0017879644084843561,2.707466465154193e-4,0.15142731322315817
3_3969_4,4,5,224.96913363853497,60.71234301188364,187.49431443854502,332.75164208572187,0.26986965736122753,0.0015316073873340682,1.0260938560289223e-4,0.06699457475293012
3_3977_4,4,5,301.37493937279356,72.21143459562384,222.76783230260887,379.5474952876189,0.23960663333821539,0.0020686584682443852,3.18707582068323e-4,0.15406486230605362
3_4022_4,4,5,342.19123230120357,82.18961251391248,252.95701984162386,429.7913989042913,0.24018620220394057,0.0023490975136867347,3.66783491089429e-4,0.15613804405837095
3_4038_3,3,5,417.3102788289789,93.42259235588948,341.7294458770257,579.1083351065624,0.22386841900478494,0.0028593476690699435,1.7200337654920688e-4,0.06015476131489607
3_4171_4,4,5,342.19123230120357,82.18961251391248,252.95701984162386,429.7913989042913,0.24018620220394057,0.0023490975136867347,3.66783491089429e-4,0.15613804405837095
3_4289_3,3,5,75.9815377317898,18.059736648167227,64.46839695666513,107.93969518235366,0.23768585352822152,5.195644517141992e-4,2.7280011720001868e-5,0.052505539264660846
3_4318_4,4,5,383.2514624217717,92.27724232323645,283.3791748925995,480.2422731963169,0.2407746646030655,0.0026312182168670693,4.1568370665296116e-4,0.15798146424659
