Lower,Middle,Upper,fish.id
1,0,0,2019_yk_333
5.999999999999894e-4,0.9988,5.999999999999894e-4,2019_yk_334
0,0,1,2019_yk_340
1,0,0,2019_yk_342
0,0,1,2019_yk_344
0,0,1,2019_yk_345
1.4999999999998348e-4,1.4999999999998348e-4,0.9997,2019_yk_346
1,0,0,2019_yk_348
0,0,1,2019_yk_349
0.2,0.2,0.2,2019_yk_351_redo
1,0,0,2019_yk_352
0,0,1,2019_yk_354
0,0,1,2019_yk_355
0,0,1,2019_yk_357
0.0089500000000000135,0.9821,0.0089500000000000135,2019_yk_358
1,0,0,2019_yk_360
0.2,0.2,0.2,2019_yk_363_redo
1,0,0,2019_yk_365
4.5000000000000595e-4,0.9991,4.5000000000000595e-4,2019_yk_368
0.004850000000000021,0.9903,0.004850000000000021,2019_yk_374
1,0,0,2019_yk_376
0,0,1,2019_yk_377_redo
1,0,0,2019_yk_379
0,0,1,2019_yk_380
0,0,1,2019_yk_381
0.09905000000000003,0.8019,0.09905000000000003,2019_yk_382_redo
0.011199999999999988,0.011199999999999988,0.9776,2019_yk_383
0,0,1,2019_yk_384
0,0,1,2019_yk_385
0,0,1,2019_yk_387
0,1,0,2019_yk_388
0,1,0,2019_yk_388a
0.2,0.2,0.2,2019_yk_390
0.2,0.2,0.2,2019_yk_392
0.2,0.2,0.2,2019_yk_395
0.2,0.2,0.2,2019_yk_402
0.2,0.2,0.2,2019_yk_406
0.2,0.2,0.2,2019_yk_407
0.2,0.2,0.2,2019_yk_408
0.2,0.2,0.2,2019_yk_409
0.2,0.2,0.2,2019_yk_410
0.2,0.2,0.2,2019_yk_415
0.2,0.2,0.2,2019_yk_417
0.2,0.2,0.2,2019_yk_418
0.2,0.2,0.2,2019_yk_419
0.2,0.2,0.2,2019_yk_420
0.2,0.2,0.2,2019_yk_421
0.2,0.2,0.2,2019_yk_423
0.2,0.2,0.2,2019_yk_425
0.2,0.2,0.2,2019_yk_427
0.2,0.2,0.2,2019_yk_428
0.2,0.2,0.2,2019_yk_431
0.2,0.2,0.2,2019_yk_433
0.2,0.2,0.2,2019_yk_435
0.2,0.2,0.2,2019_yk_437
0.2,0.2,0.2,2019_yk_440
0.2,0.2,0.2,2019_yk_441
0.2,0.2,0.2,2019_yk_444
0.2,0.2,0.2,2019_yk_446
0.2,0.2,0.2,2019_yk_448
0.2,0.2,0.2,2019_yk_449
0.2,0.2,0.2,2019_yk_450
0.2,0.2,0.2,2019_yk_453
0.2,0.2,0.2,2019_yk_454
0.2,0.2,0.2,2019_yk_455
0.2,0.2,0.2,2019_yk_458
0.2,0.2,0.2,2019_yk_459
0.2,0.2,0.2,2019_yk_461
0.2,0.2,0.2,2019_yk_462
0.2,0.2,0.2,2019_yk_463
0.2,0.2,0.2,2019_yk_466
0.2,0.2,0.2,2019_yk_468
0.2,0.2,0.2,2019_yk_469
0.2,0.2,0.2,2019_yk_470
0.2,0.2,0.2,2019_yk_473
0.2,0.2,0.2,2019_yk_475
0.2,0.2,0.2,2019_yk_477
0.2,0.2,0.2,2019_yk_481
0.2,0.2,0.2,2019_yk_482
0.2,0.2,0.2,2019_yk_482_redo
0.2,0.2,0.2,2019_yk_487
0.2,0.2,0.2,2019_yk_488
0.2,0.2,0.2,2019_yk_490
0.2,0.2,0.2,2019_yk_490a
0.2,0.2,0.2,2019_yk_491
0.2,0.2,0.2,2019_yk_492
0.2,0.2,0.2,2019_yk_493
0.003149999999999986,0.9937,0.003149999999999986,2019_yk_499
6.499999999999839e-4,0.9987,6.499999999999839e-4,2019_yk_500
