"","Individual","tribs"
"504","106","Hogatza"
"505","107","Andreafsky"
"506","107","Anvik"
"507","107","Innoko"
"508","107","Kantishna"
"509","107","Nowitna"
"510","107","Koyokuk.mouth"
"511","107","Hogatza"
"512","108","Teslin"
"513","108","Nisutlin"
"514","108","Big.Salmon"
"515","108","White"
"516","108","Fishing.Branch"
"517","108","Porcupine.Canada"
"518","109","Kantishna"
"519","109","Salcha"
"520","110","Andreafsky"
"521","110","Anvik"
"522","110","Kantishna"
"523","110","Nowitna"
"524","110","Koyokuk.mouth"
"525","110","Hogatza"
"526","111","Andreafsky"
"527","111","Anvik"
"528","111","Nowitna"
"529","111","Kantishna"
"530","111","Koyokuk.mouth"
"531","111","Hogatza"
"532","112","Pelly.ab.Macm"
"533","112","Pelly"
"534","112","Upper.Yukon.Canada"
"535","112","Miner"
"536","112","Porcupine.Canada"
"537","112","Fishing.Branch"
"538","113","Andreafsky"
"539","113","Anvik"
"540","113","Nowitna"
"541","113","Kantishna"
"542","113","Koyokuk.mouth"
"543","114","Goodpaster"
"544","114","Salcha"
"545","114","Chena"
"546","115","Andreafsky"
"547","115","Innoko"
"548","115","Kantishna"
"549","115","Nowitna"
"550","115","Koyokuk.mouth"
"551","115","Hogatza"
"552","116","Andreafsky"
"553","116","Anvik"
"554","116","Nowitna"
"555","116","Kantishna"
"556","116","Koyokuk.mouth"
"557","116","Hogatza"
"558","117","Kantishna"
"559","117","Salcha"
"560","118","SMS.Yukon.Canada.Tahkini"
"561","118","Kluane.Donjek.Tincup"
"562","118","White"
"563","119","Teslin"
"564","119","Nisutlin"
"565","119","Big.Salmon"
"566","119","White"
"567","119","Porcupine.Canada"
"568","120","Tanana.mouth"
"569","120","Charly"
"570","121","Nisutlin"
"571","121","Teslin"
"572","121","Nisling"
"573","121","White"
"574","121","Upper.Yukon.Canada"
"575","121","Whitestone"
"576","121","Porcupine.Canada"
"577","122","SMS.Yukon.Canada.Tahkini"
"578","122","Kluane.Donjek.Tincup"
"579","122","White"
"580","123","Nenana"
"581","123","Kantishna"
"582","123",NA
"583","123","Koyokuk.mouth"
"584","123","Kanuti"
"585","123","South.Fork.Koyokuk"
"586","123","Chandlar.Teedriinjik"
"587","123","Porcupine.mouth"
"588","123","Sheenjek"
"589","124","SMS.Yukon.Canada.Tahkini"
"590","124","Nisling"
"591","124","Upper.Yukon.Canada"
"592","124","Fortymile"
"593","125","SMS.Yukon.Canada.Tahkini"
"594","125","White"
"595","125","Nordenskiold"
"596","126","SMS.Yukon.Canada.Tahkini"
"597","126","White"
"598","127","Andreafsky"
"599","127","Anvik"
"600","127","Kantishna"
"601","127","Nowitna"
"602","127","Koyokuk.mouth"
"603","127","Hogatza"
"604","128","Andreafsky"
"605","128","Anvik"
"606","128","Nowitna"
"607","128","Kantishna"
"608","129","SMS.Yukon.Canada.Tahkini"
"609","129","White"
"610","130","Andreafsky"
"611","130","Innoko"
"612","130","Nenana"
"613","130","Kantishna"
"614","130","Nowitna"
"615","130","Koyokuk.mouth"
"616","130","Hogatza"
"617","131","Andreafsky"
"618","131","Anvik"
"619","131","Innoko"
"620","131","Kantishna"
"621","131","Nowitna"
"622","131","Koyokuk.mouth"
"623","131","Hogatza"
"624","132","Nisutlin"
"625","132","Teslin"
"626","132","Nisling"
"627","132","Upper.Yukon.Canada"
"628","132","White"
"629","132","Porcupine.Canada"
"630","133","Stewart"
"631","133","Macmillan"
"632","133","Klondike"
"633","134","Andreafsky"
"634","134","Anvik"
"635","134","Innoko"
"636","134","Kantishna"
"637","134","Nowitna"
"638","134","Koyokuk.mouth"
"639","134","Hogatza"
"640","135","Andreafsky"
"641","135","Anvik"
"642","135","Nowitna"
"643","136","SMS.Yukon.Canada.Tahkini"
"644","136","White"
"645","136","Nordenskiold"
"646","137","SMS.Yukon.Canada.Tahkini"
"647","137","White"
"648","137","Nordenskiold"
"649","138","Andreafsky"
"650","138","Anvik"
"651","138","Kantishna"
"652","138","Nowitna"
"653","138","Koyokuk.mouth"
"654","138","Hogatza"
"655","139","Andreafsky"
"656","139","Anvik"
"657","139","Nowitna"
"658","139","Kantishna"
"659","140","Andreafsky"
"660","140","Innoko"
"661","140","Kantishna"
"662","140","Nowitna"
"663","140","Koyokuk.mouth"
"664","140","Hogatza"
"665","141","SMS.Yukon.Canada.Tahkini"
"666","141","Kluane.Donjek.Tincup"
"667","141","Upper.Yukon.Canada"
"668","142","Kantishna"
"669","142","Tanana.mouth"
"670","142","Nowitna"
"671","142",NA
"672","142","Black.Salmon.Fork"
"673","142","South.Fork.Koyokuk"
"674","142","Sheenjek"
"675","142","Colleen"
"676","142","Porcupine.Canada"
"677","143","Andreafsky"
"678","143","Anvik"
"679","143","Nowitna"
"680","144","SMS.Yukon.Canada.Tahkini"
"681","145","SMS.Yukon.Canada.Tahkini"
"682","145","White"
"683","145","Kluane.Donjek.Tincup"
"684","146","SMS.Yukon.Canada.Tahkini"
"685","146","Kluane.Donjek.Tincup"
"686","146","White"
"687","147","Tanana.mouth"
"688","147","Charly"
"689","147","Nation"
"690","147","Black.Salmon.Fork"
"691","148","Andreafsky"
"692","148","Anvik"
"693","148","Kantishna"
"694","148","Nowitna"
"695","148","Koyokuk.mouth"
"696","148","Hogatza"
"697","149",NA
"698","149","Tanana.mouth"
"699","149","Koyokuk.mouth"
"700","149","Alatna"
"701","149","Black.Salmon.Fork"
"702","149","Chandlar.Teedriinjik"
"703","149","Middle.Fork.Koyokuk"
"704","150","Andreafsky"
"705","150","Innoko"
"706","150","Nenana"
"707","150","Nowitna"
"708","150","Hogatza"
"709","150","Henshaw"
"710","151","Andreafsky"
"711","151","Anvik"
"712","151","Kantishna"
"713","151","Nowitna"
"714","151","Koyokuk.mouth"
"715","151","Hogatza"
"716","152","SMS.Yukon.Canada.Tahkini"
"717","152","White"
"718","152","Nordenskiold"
"719","153","SMS.Yukon.Canada.Tahkini"
"720","153","White"
"721","153","Nordenskiold"
"722","154","Andreafsky"
"723","154","Anvik"
"724","154","Kantishna"
"725","154","Nowitna"
"726","154","Koyokuk.mouth"
"727","154","Hogatza"
"728","155","Andreafsky"
"729","155","Anvik"
"730","155","Kantishna"
"731","155","Nowitna"
"732","155","Koyokuk.mouth"
"733","155","Hogatza"
"734","156","Tanana.mouth"
"735","156","Charly"
"736","156","Nation"
"737","156","Black.Salmon.Fork"
"738","157",NA
"739","157","Tanana.mouth"
"740","157","Koyokuk.mouth"
"741","157","Alatna"
"742","157","Black.Salmon.Fork"
"743","157","North.Fork.Koyokuk"
"744","157","Chandlar.Teedriinjik"
"745","157","Middle.Fork.Koyokuk"
"746","158","Kantishna"
"747","158","Tanana.mouth"
"748","158","Nowitna"
"749","158",NA
"750","158","Black.Salmon.Fork"
"751","158","South.Fork.Koyokuk"
"752","158","Sheenjek"
"753","158","Colleen"
"754","158","Porcupine.Canada"
"755","159","Innoko"
"756","159","Kantishna"
"757","159","Koyokuk.mouth"
"758","159",NA
"759","159","Kanuti"
"760","159","South.Fork.Koyokuk"
"761","159","Chandlar.Teedriinjik"
"762","159","Porcupine.Canada"
"763","159","Sheenjek"
"764","160","Kantishna"
"765","160","Nowitna"
"766","160","Koyokuk.mouth"
"767","160",NA
"768","160","Black.Salmon.Fork"
"769","160","South.Fork.Koyokuk"
"770","160","Sheenjek"
"771","160","Chandlar.Teedriinjik"
"772","160","Porcupine.Canada"
"773","161","SMS.Yukon.Canada.Tahkini"
"774","161","White"
"775","161","Nordenskiold"
"776","162","Andreafsky"
"777","162","Anvik"
"778","162","Nowitna"
"779","162","Kantishna"
"780","163","SMS.Yukon.Canada.Tahkini"
"781","163","White"
"782","163","Kluane.Donjek.Tincup"
"783","164","Andreafsky"
"784","164","Anvik"
"785","164","Kantishna"
"786","164","Nowitna"
"787","164","Koyokuk.mouth"
"788","164","Hogatza"
"789","165","Kantishna"
"790","165","Tanana.mouth"
"791","165","Nowitna"
"792","165","Colleen"
"793","166","Andreafsky"
"794","166","Anvik"
"795","166","Kantishna"
"796","166","Nowitna"
