Date,dailyCatch,dailyCPUE,cumCPUE,year,DOY,dailyPROP,otoCATCH,otoPROP,oto_cumPROP,COratio
2016-06-18,87,1.81,17.94,2016,169,0.04824093816631129,7,0.02892561983471074,0.5082644628099173,1.6677581480353334
2016-06-19,82,1.71,19.65,2016,170,0.04557569296375266,13,0.05371900826446281,0.5619834710743802,0.8484090536329342
2016-06-20,100,2.08,21.73,2016,171,0.05543710021321961,11,0.04545454545454545,0.6074380165289256,1.2196162046908314
2016-06-21,88,1.83,23.57,2016,172,0.04877398720682303,15,0.06198347107438017,0.6694214876033058,0.7868869936034115
2016-06-22,74,1.54,25.11,2016,173,0.04104477611940298,11,0.04545454545454545,0.7148760330578513,0.9029850746268656
2016-06-23,55,1.15,26.25,2016,174,0.0306503198294243,10,0.04132231404958678,0.756198347107438,0.7417377398720681
2016-06-24,48,1,27.25,2016,175,0.02665245202558635,11,0.04545454545454545,0.8016528925619835,0.5863539445628997
2016-06-25,72,1.5,28.75,2016,176,0.03997867803837952,10,0.04132231404958678,0.8429752066115703,0.9674840085287844
2016-06-26,47,0.98,29.73,2016,177,0.02611940298507462,9,0.0371900826446281,0.8801652892561984,0.7023217247097844
2016-06-27,50,1.04,30.77,2016,178,0.0277185501066098,8,0.03305785123966942,0.9132231404958678,0.8384861407249466
2016-06-28,30,0.63,31.4,2016,179,0.0167910447761194,6,0.02479338842975206,0.9380165289256198,0.6772388059701492
2016-06-29,44,0.92,32.32,2016,180,0.02452025586353944,5,0.02066115702479339,0.9586776859504132,1.1867803837953093
2016-06-30,44,0.92,33.23,2016,181,0.02452025586353944,6,0.02479338842975206,0.9834710743801652,0.9889836531627576
2016-07-01,25,1.04,34.27,2016,182,0.0277185501066098,4,0.01652892561983471,1,1.6769722814498933
2016-07-02,18,0.75,35.02,2016,183,0.01998933901918976,0,0,1,Inf
2016-07-03,24,1,36.02,2016,184,0.02665245202558635,0,0,1,Inf
2016-07-04,16,0.67,36.69,2016,185,0.01785714285714285,0,0,1,Inf
2016-07-05,3,0.13,36.82,2016,186,0.00346481876332622,0,0,1,Inf
2016-07-06,4,0.17,36.98,2016,187,0.00453091684434968,0,0,1,Inf
2016-07-07,1,0.04,37.02,2016,188,0.00106609808102345,0,0,1,Inf
2016-07-08,5,0.21,37.23,2016,189,0.00559701492537313,0,0,1,Inf
2016-07-09,1,0.04,37.27,2016,190,0.00106609808102345,0,0,1,Inf
2016-07-10,1,0.04,37.32,2016,191,0.00106609808102345,0,0,1,Inf
2016-07-11,3,0.13,37.44,2016,192,0.00346481876332622,0,0,1,Inf
2016-07-12,0,0,37.44,2016,193,0,0,0,1,NA
2016-07-13,0,0,37.44,2016,194,0,0,0,1,NA
2016-07-14,1,0.04,37.48,2016,195,0.00106609808102345,0,0,1,Inf
2016-07-15,0,0,37.48,2016,196,0,0,0,1,NA
2017-05-29,0,0,0,2017,148,0,0,0,0,NA
2017-05-30,0,0,0,2017,149,0,0,0,0,NA
2017-05-31,0,0,0,2017,150,0,0,0,0,NA
2017-06-01,2,0.08,0.08,2017,151,0.0028735632183908,0,0,0,Inf
2017-06-02,1,0.04,0.13,2017,152,0.0014367816091954,0,0,0,Inf
2017-06-03,2,0.08,0.21,2017,153,0.0028735632183908,0,0,0,Inf
2017-06-04,5,0.21,0.42,2017,154,0.00754310344827586,0,0,0,Inf
2017-06-05,9,0.38,0.79,2017,155,0.01364942528735632,1,0.00401606425702811,0.00401606425702811,3.3987068965517246
2017-06-06,19,0.59,1.39,2017,156,0.02119252873563218,2,0.00803212851405622,0.01204819277108433,2.638469827586207
2017-06-07,19,0.4,1.78,2017,157,0.01436781609195402,6,0.02409638554216867,0.03614457831325301,0.5962643678160919
