number,mixture_collection,indiv,repunit,collection,PofZ,n_miss_loci,TF_YEAR_ID,FishID,QC_or_RR
100,2015,KLYUTF15_0002rr,upper,Tatchun_CK,0.000698558,0,KLYUTF15,2,rr
101,2015,KLYUTF15_0002rr,upper,Nordenskiold_R,7.83E-06,0,KLYUTF15,2,rr
102,2015,KLYUTF15_0002rr,upper,Little_Salmon_R,1.31E-05,0,KLYUTF15,2,rr
103,2015,KLYUTF15_0002rr,upper,Big_Salmon_R,3.79E-07,0,KLYUTF15,2,rr
104,2015,KLYUTF15_0002rr,upper,Nisutlin_R,2.88E-06,0,KLYUTF15,2,rr
105,2015,KLYUTF15_0002rr,upper,Teslin_R,1.75E-05,0,KLYUTF15,2,rr
106,2015,KLYUTF15_0002rr,upper,Morley_R,0.00010552,0,KLYUTF15,2,rr
107,2015,KLYUTF15_0002rr,upper,Takhini_R,2.06E-07,0,KLYUTF15,2,rr
108,2015,KLYUTF15_0002rr,upper,Whitehorse,5.23E-06,0,KLYUTF15,2,rr
109,2015,KLYUTF15_0006rr,lower,Andreafsky_R,1.01E-06,0,KLYUTF15,6,rr
110,2015,KLYUTF15_0006rr,lower,Anvik_R,6.00E-06,0,KLYUTF15,6,rr
111,2015,KLYUTF15_0006rr,lower,Nulato_R,3.33E-06,0,KLYUTF15,6,rr
112,2015,KLYUTF15_0006rr,lower,Gisasa_R,0.002112302,0,KLYUTF15,6,rr
113,2015,KLYUTF15_0006rr,lower,Kateel_R,0.002457531,0,KLYUTF15,6,rr
114,2015,KLYUTF15_0006rr,lower,Tozitna_R,0.01737269,0,KLYUTF15,6,rr
115,2015,KLYUTF15_0006rr,middle,S_Fk_Koyukuk_R,0.000749551,0,KLYUTF15,6,rr
116,2015,KLYUTF15_0006rr,middle,Henshaw_Creek,8.57E-05,0,KLYUTF15,6,rr
117,2015,KLYUTF15_0006rr,middle,Kantishna_R,0.000196698,0,KLYUTF15,6,rr
118,2015,KLYUTF15_0006rr,middle,Chatanika_R,0.006127108,0,KLYUTF15,6,rr
119,2015,KLYUTF15_0006rr,middle,Chena_R,0.000371324,0,KLYUTF15,6,rr
120,2015,KLYUTF15_0006rr,middle,Salcha_R,0.001400937,0,KLYUTF15,6,rr
121,2015,KLYUTF15_0006rr,middle,Goodpaster_R,0.00358608,0,KLYUTF15,6,rr
122,2015,KLYUTF15_0006rr,middle,Beaver_Ck,0.210329643,0,KLYUTF15,6,rr
123,2015,KLYUTF15_0006rr,middle,Chandalar_R,0.000139372,0,KLYUTF15,6,rr
124,2015,KLYUTF15_0006rr,middle,Sheenjek_R,0.000316191,0,KLYUTF15,6,rr
125,2015,KLYUTF15_0006rr,middle,Coleen_R,0.000165041,0,KLYUTF15,6,rr
126,2015,KLYUTF15_0006rr,upper,Kandik_R,4.13E-06,0,KLYUTF15,6,rr
127,2015,KLYUTF15_0006rr,upper,Chandindu_R,4.41E-05,0,KLYUTF15,6,rr
128,2015,KLYUTF15_0006rr,upper,Klondike_R,5.51E-06,0,KLYUTF15,6,rr
129,2015,KLYUTF15_0006rr,upper,Porcupine_R,0.000419835,0,KLYUTF15,6,rr
130,2015,KLYUTF15_0006rr,upper,Stewart_R,0.466360722,0,KLYUTF15,6,rr
131,2015,KLYUTF15_0006rr,upper,Mayo_R,0.167159812,0,KLYUTF15,6,rr
132,2015,KLYUTF15_0006rr,upper,Pelly_R,0.001329944,0,KLYUTF15,6,rr
133,2015,KLYUTF15_0006rr,upper,Blind_CK,0.047422344,0,KLYUTF15,6,rr
134,2015,KLYUTF15_0006rr,upper,Tincup_Creek,0.00614157,0,KLYUTF15,6,rr
135,2015,KLYUTF15_0006rr,upper,Yukon_R_Mainstem,0.002045042,0,KLYUTF15,6,rr
136,2015,KLYUTF15_0006rr,upper,Tatchun_CK,0.004192212,0,KLYUTF15,6,rr
137,2015,KLYUTF15_0006rr,upper,Nordenskiold_R,0.000396878,0,KLYUTF15,6,rr
138,2015,KLYUTF15_0006rr,upper,Little_Salmon_R,0.010200952,0,KLYUTF15,6,rr
139,2015,KLYUTF15_0006rr,upper,Big_Salmon_R,0.00046584,0,KLYUTF15,6,rr
140,2015,KLYUTF15_0006rr,upper,Nisutlin_R,4.00E-05,0,KLYUTF15,6,rr
141,2015,KLYUTF15_0006rr,upper,Teslin_R,0.005022725,0,KLYUTF15,6,rr
142,2015,KLYUTF15_0006rr,upper,Morley_R,0.042189971,0,KLYUTF15,6,rr
143,2015,KLYUTF15_0006rr,upper,Takhini_R,1.78E-05,0,KLYUTF15,6,rr
