basin,year,fish_id,threshold,retained_km,basin_km,retained_pct
Kuskokwim,2017,Kuskokwim_2017_0029,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0030,0,13025.94577128066,17384.97530681032,74.92645540990748
Kuskokwim,2017,Kuskokwim_2017_0031,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0032,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0033,0,13025.94577128066,17384.97530681032,74.92645540990748
Kuskokwim,2017,Kuskokwim_2017_0034,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0035,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0036,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0037,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0038,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0039,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0040,0,13025.94577128066,17384.97530681032,74.92645540990748
Kuskokwim,2017,Kuskokwim_2017_0041,0,13025.94577128066,17384.97530681032,74.92645540990748
Kuskokwim,2017,Kuskokwim_2017_0042,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0043,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0044,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0045,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0046,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0047,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0048,0,13025.94577128066,17384.97530681032,74.92645540990748
Kuskokwim,2017,Kuskokwim_2017_0049,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0050,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0051,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0052,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0053,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0054,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0055,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0056,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0057,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0058,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0059,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0060,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0061,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0062,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0063,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0064,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0065,0,13025.94577128066,17384.97530681032,74.92645540990748
Kuskokwim,2017,Kuskokwim_2017_0066,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0067,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0068,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0069,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0070,0,2341.798978292029,17384.97530681032,13.470246215274532
Kuskokwim,2017,Kuskokwim_2017_0071,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0072,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0073,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0074,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0075,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0076,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0077,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0078,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0079,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0080,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0081,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0082,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0083,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0084,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0085,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0086,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0087,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0088,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0089,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0090,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0091,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0092,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0093,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0094,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0095,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0096,0,13053.2503189581,17384.97530681032,75.08351371568916
