fish.id,nat_start,nat_end,natal_iso_mean,natal_iso_sd,num_microns,otoNum,capture_date,capture_date_julian
2021_yk_214,443.8943262,686.5256436,0.707145253,0.001331144,242.6313174,214,0021-07-05,186
2021_yk_215,579.1877174,797.8147204,0.707386647,7.10E-04,218.627003,215,0021-07-05,186
2021_yk_216,673.7322095,911.3796327,0.716018689,0.002258944,237.6474232,216,0021-07-06,187
2021_yk_217,543.9431921,789.0669269,0.714503038,0.003291395,245.1237348,217,0021-07-08,189
2021_yk_220,535.938215,769.1675555,0.707775596,8.96E-04,233.2293405,220,0021-07-11,192
2021_yk_301,564.1309099,667.0282819,0.722786036,0.001332796,102.897372,301,0021-06-22,173
2021_yk_303,1087.207431,1222.24914,0.709288427,0.001045973,135.041709,303,0021-06-22,173
2021_yk_304,655.5349735,823.3103084,0.721157665,0.001359594,167.7753349,304,0021-06-22,173
2021_yk_305,755.5683344,881.0811893,0.722685369,0.001539231,125.5128549,305,0021-06-23,174
2021_yk_307,712.1173374,953.1175314,0.714528357,0.002214521,241.000194,307,0021-06-23,174
2021_yk_308,361.0416549,665.0927128,0.720606474,0.001649137,304.0510579,308,0021-06-23,174
2021_yk_310,1072.191615,1286.909344,0.708653008,9.32E-04,214.7177284,310,0021-06-23,174
2021_yk_311,792.8410144,989.5113836,0.709680377,0.001848974,196.6703692,311,0021-06-23,174
2021_yk_312,521.8406521,697.5488853,0.733992588,0.001091696,175.7082332,312,0021-06-23,174
2021_yk_313,491.4055824,642.8847873,0.706683632,0.001715999,151.4792049,313,0021-06-24,175
2021_yk_314,904.5234361,1154.425571,0.712620409,0.001500351,249.9021348,314,0021-06-24,175
2021_yk_316,915.1458058,975.2891715,0.719385713,0.002339899,60.14336569,316,0021-06-24,175
2021_yk_318,854.4915549,1064.89769,0.707009839,0.002370375,210.4061347,318,0021-06-24,175
2021_yk_324,714.4210153,939.6045448,0.71067835,0.002621517,225.1835296,324,0021-06-24,175
2021_yk_325,770.3387538,944.572807,0.722068553,0.001785596,174.2340532,325,0021-06-24,175
2021_yk_326,509.005311,654.8729845,0.723873204,0.001945999,145.8676736,326,0021-06-24,175
2021_yk_327,619.6674108,817.6691406,0.710112537,0.002495971,198.0017298,327,0021-06-24,175
2021_yk_329,852.0922337,994.6975407,0.706912505,0.001558212,142.605307,329,0021-06-24,175
