fish.id,nat_start,nat_end,natal_iso_mean,natal_iso_sd,num_microns,otoNum,capture_date_julian,file.id,capture_date
2017_yk_098,NA,NA,0.71490465,NA,NA,98,172,2017_yukon_king_yk098.exp,6/21/17
2017_yk_101,NA,NA,0.71430016,NA,NA,101,164,2017_yukon_king_yk101.exp,6/13/17
2017_yk_102,NA,NA,0.71672944,NA,NA,102,164,2017_yukon_king_yk102.exp,6/13/17
2017_yk_103,NA,NA,0.70618303,NA,NA,103,164,2017_yukon_king_yk103.exp,6/13/17
2017_yk_104,NA,NA,0.72255468,NA,NA,104,164,2017_yukon_king_yk104.exp,6/13/17
2017_yk_105,NA,NA,0.71173701,NA,NA,105,164,2017_yukon_king_yk105.exp,6/13/17
2017_yk_108,NA,NA,0.71600865,NA,NA,108,164,2017_yukon_king_yk108.exp,6/13/17
2017_yk_109,NA,NA,0.70770326,NA,NA,109,164,2017_yukon_king_yk109.exp,6/13/17
2017_yk_110,NA,NA,0.7219524,NA,NA,110,164,2017_yukon_king_yk110.exp,6/13/17
2017_yk_112,NA,NA,0.7231777,NA,NA,112,164,2017_yukon_king_yk112.exp,6/13/17
2017_yk_114,NA,NA,0.72405633,NA,NA,114,164,2017_yukon_king_yk114.exp,6/13/17
2017_yk_115,NA,NA,0.7217364,NA,NA,115,164,2017_yukon_king_yk115.exp,6/13/17
2017_yk_116,NA,NA,0.70705514,NA,NA,116,164,2017_yukon_king_yk116.exp,6/13/17
2017_yk_117,NA,NA,0.71254506,NA,NA,117,164,2017_yukon_king_yk117.exp,6/13/17
2017_yk_118,NA,NA,0.72310833,NA,NA,118,164,2017_yukon_king_yk118.exp,6/13/17
2017_yk_119,NA,NA,0.7247689,NA,NA,119,164,2017_yukon_king_yk119.exp,6/13/17
2017_yk_120,NA,NA,0.70843445,NA,NA,120,164,2017_yukon_king_yk120.exp,6/13/17
2017_yk_123,NA,NA,0.72394875,NA,NA,123,164,2017_yukon_king_yk123.exp,6/13/17
2017_yk_124,NA,NA,0.71896858,NA,NA,124,164,2017_yukon_king_yk124.exp,6/13/17
2017_yk_125,NA,NA,0.70718942,NA,NA,125,164,2017_yukon_king_yk125.exp,6/13/17
2017_yk_128,NA,NA,0.72222063,NA,NA,128,164,2017_yukon_king_yk128.exp,6/13/17
2017_yk_129,NA,NA,0.70745129,NA,NA,129,164,2017_yukon_king_yk129.exp,6/13/17
2017_yk_131,NA,NA,0.70997414,NA,NA,131,165,2017_yukon_king_yk131.exp,6/14/17
2017_yk_132,NA,NA,0.72308694,NA,NA,132,165,2017_yukon_king_yk132.exp,6/14/17
2017_yk_133,NA,NA,0.71448904,NA,NA,133,165,2017_yukon_king_yk133.exp,6/14/17
2017_yk_134,NA,NA,0.70688461,NA,NA,134,165,2017_yukon_king_yk134.exp,6/14/17
2017_yk_135,NA,NA,0.72213058,NA,NA,135,165,2017_yukon_king_yk135.exp,6/14/17
2017_yk_138,NA,NA,0.72418415,NA,NA,138,165,2017_yukon_king_yk138.exp,6/14/17
2017_yk_139,NA,NA,0.71372627,NA,NA,139,165,2017_yukon_king_yk139.exp,6/14/17
2017_yk_140,NA,NA,0.72690707,NA,NA,140,165,2017_yukon_king_yk140.exp,6/14/17
2017_yk_142,NA,NA,0.72104747,NA,NA,142,165,2017_yukon_king_yk142.exp,6/14/17
2017_yk_144,NA,NA,0.71333782,NA,NA,144,165,2017_yukon_king_yk144.exp,6/14/17
2017_yk_145,NA,NA,0.71230561,NA,NA,145,165,2017_yukon_king_yk145.exp,6/14/17
2017_yk_146,NA,NA,0.7070308,NA,NA,146,165,2017_yukon_king_yk146.exp,6/14/17
2017_yk_147,NA,NA,0.72310891,NA,NA,147,165,2017_yukon_king_yk147.exp,6/14/17
2017_yk_148,NA,NA,0.71609546,NA,NA,148,165,2017_yukon_king_yk148.exp,6/14/17
2017_yk_149,NA,NA,0.71471187,NA,NA,149,165,2017_yukon_king_yk149.exp,6/14/17
2017_yk_158,NA,NA,0.70995902,NA,NA,158,165,2017_yukon_king_yk158.exp,6/14/17
2017_yk_159,NA,NA,0.70963291,NA,NA,159,165,2017_yukon_king_yk159.exp,6/14/17
