Sample Date,GumCard #,Fish #,Sex,"Length
(mm)",Comments,"Genetic Vial
#","Otolith
#",GCL retro linking sex data to Whatman cards,,,,"Male=1, Female=2",,,,,,
6/11/17,11,6,1,844,,x,33,M,0000020219,7,,,,,,,,
6/11/17,11,7,1,547,,x,34,M,0000020219,7,,,,,,,,
6/11/17,11,8,2,777,,x,35,F,0000020219,7,,,,,,,,
6/11/17,11,9,2,816,,x,36,F,0000020219,7,,,,,,,,
6/11/17,11,10,1,645,,x,37,M,0000020219,7,,,,,,,,
6/11/17,12,1,2,849,,x,,,,,,,,,,,,
6/11/17,12,2,2,855,,x,,,,,,,,,,,,
6/12/17,13,1,2,855,,x,38,F,0000020227,11,,,,,,,,
6/12/17,13,2,1,785,,x,39,M,0000020227,11,,,,,,,,
6/12/17,13,3,1,808,,x,40,M,0000020227,11,,,,,,,,
6/12/17,13,4,1,804,,x,41,M,0000020227,11,,,,,,,,
6/12/17,13,5,1,670,,x,42,M,0000020227,11,,,,,,,,
6/12/17,13,6,1,837,,x,43,M,0000020227,11,,,,,,,,
6/12/17,13,7,1,773,,x,44,M,0000020227,11,,,,,,,,
6/12/17,13,8,1,671,,x,45,M,0000020227,11,,,,,,,,
6/13/17,14,1,1,852,,x,46,M,0000020240,13,,,,,,,,
6/13/17,14,2,1,719,,x,47,M,0000020240,13,,,,,,,,
6/13/17,14,3,2,903,,x,48,F,0000020240,13,,,,,,,,
6/13/17,14,4,2,775,,x,49,F,0000020240,13,,,,,,,,
6/13/17,14,5,2,766,,x,50,F,0000020240,13,,,,,,,,
6/13/17,14,6,1,746,,x,51,M,0000020240,13,No tissue in grid # 6 on card,,,,,,,
6/14/17,15,1,1,811,,x,52,M,0000020244,14,,,,,,,,
6/14/17,15,2,1,794,,x,53,M,0000020244,14,,,,,,,,
6/15/17,16,1,1,679,,x,54,M,0000020248,15,,,,,,,,
6/16/17,17,1,2,746,,x,55,F,0000020256,19,,,,,,,,
6/16/17,17,2,2,812,,x,56,F,0000020256,19,,,,,,,,
6/16/17,17,3,1,464,,x,57,M,0000020256,19,,,,,,,,
6/17/17,18,1,2,878,,x,58,F,0000020253,17,,,,,,,,
6/17/17,18,2,2,856,,,59,F,0000020253,17,,,,,,,,
6/18/17,19,1,2,872,,x,60,F,0000020257,47,,,,,,,,
6/18/17,19,2,1,648,,x,61,M,0000020257,47,,,,,,,,
6/18/17,19,3,1,693,,x,62,M,0000020257,47,,,,,,,,
6/18/17,19,4,1,895,,x,63,M,0000020257,47,,,,,,,,
6/18/17,19,5,1,763,,x,64,M,0000020257,47,,,,,,,,
6/18/17,19,6,2,792,,x,65,F,0000020257,47,,,,,,,,
6/18/17,19,7,2,795,,x,66,F,0000020257,47,,,,,,,,
6/18/17,19,8,2,798,,x,67,F,0000020257,47,,,,,,,,
6/18/17,19,9,1,762,,x,68,M,0000020257,47,,,,,,,,
6/19/17,20,1,2,791,,x,69,F,0000020251,16,,,,,,,,
6/19/17,20,2,1,724,,x,70,M,0000020251,16,,,,,,,,
6/19/17,20,3,1,842,,x,71,M,0000020251,16,,,,,,,,
6/19/17,20,4,2,879,,x,72,F,0000020251,16,,,,,,,,
6/19/17,20,5,1,797,,x,73,M,0000020251,16,,,,,,,,
6/19/17,20,6,1,712,,x,74,M,0000020251,16,,,,,,,,
6/19/17,20,7,1,568,,x,75,M,0000020251,16,,,,,,,,
6/19/17,20,8,1,555,,x,76,M,0000020251,16,,,,,,,,
6/19/17,20,9,2,843,,x,77,F,0000020251,16,,,,,,,,
6/19/17,20,10,1,830,,x,78,M,0000020251,16,,,,,,,,
6/19/17,21,1,1,670,,x,79,M,0000020212,2,,,,,,,,
6/19/17,21,2,2,733,,x,80,F,0000020212,2,,,,,,,,
6/19/17,21,3,1,854,,x,81,M,0000020212,2,,,,,,,,
6/19/17,21,4,2,769,,x,82,F,0000020212,2,,,,,,,,
6/19/17,21,5,1,670,,x,83,M,0000020212,2,,,,,,,,
6/20/17,22,1,2,770,,x,84,F,0000020216,5,,,,,,,,
6/20/17,22,2,2,762,,x,85,F,0000020216,5,,,,,,,,
6/20/17,22,3,1,719,,x,86,M,0000020216,5,,,,,,,,
6/20/17,22,4,2,856,,x,87,F,0000020216,5,,,,,,,,
6/20/17,22,5,2,865,,x,88,F,0000020216,5,,,,,,,,
6/20/17,22,6,1,878,,x,89,M,0000020216,5,,,,,,,,
6/20/17,22,7,2,832,,x,90,F,0000020216,5,,,,,,,,
6/20/17,22,8,2,846,,x,91,F,0000020216,5,,,,,,,,
6/20/17,22,9,1,735,,x,92,M,0000020216,5,,,,,,,,
6/20/17,22,10,1,801,,x,93,M,0000020216,5,,,,,,,,
6/20/17,23,1,1,795,,x,94,M,0000020255,18,,,,,,,,
6/20/17,23,2,1,828,,x,95,M,0000020255,18,,,,,,,,
6/20/17,23,3,2,776,,x,96,F,0000020255,18,,,,,,,,
6/20/17,23,4,2,798,,x,97,F,0000020255,18,,,,,,,,
6/21/17,24,1,1,838,,x,98,M,0000020224,9,,,,,,,,
6/21/17,24,2,2,861,,x,99,F,0000020224,9,,,,,,,,
6/21/17,24,3,2,822,,x,100,F,0000020224,9,,,,,,,,
6/21/17,24,4,2,764,,x,279,F,0000020224,9,,,,,,,,
6/21/17,24,5,2,801,,x,280,F,0000020224,9,,,,,,,,
6/21/17,24,6,2,782,,x,281,F,0000020224,9,,,,,,,,
6/21/17,24,7,1,815,,x,282,M,0000020224,9,,,,,,,,
6/21/17,24,8,1,767,,x,283,M,0000020224,9,,,,,,,,
6/21/17,24,9,2,817,,x,284,F,0000020224,9,,,,,,,,
6/21/17,24,10,2,910,,x,285,F,0000020224,9,,,,,,,,
6/21/17,25,1,2,880,,,,,,,,,,,,,,
6/21/17,25,2,1,833,,,,,,,,,,,,,,
6/21/17,25,3,2,899,,,,,,,,,,,,,,
6/21/17,25,4,2,797,,,,,,,,,,,,,,
6/21/17,25,5,2,832,,,,,,,,,,,,,,
6/21/17,25,6,2,886,,,,,,,,,,,,,,
6/21/17,25,7,2,845,,,,,,,,,,,,,,
6/21/17,25,8,1,782,,,,,,,,,,,,,,
6/21/17,25,9,1,820,,,,,,,,,,,,,,
6/21/17,25,10,2,869,,,,,,,,,,,,,,
6/21/17,26,1,1,780,,,,,,,,,,,,,,
6/21/17,26,2,1,817,,,,,,,,,,,,,,
6/21/17,26,3,1,771,,,,,,,,,,,,,,
6/21/17,26,4,1,844,,,,,,,,,,,,,,
6/22/17,27,1,1,855,,,,,,,,,,,,,,
6/22/17,27,2,2,810,,,,,,,,,,,,,,
6/22/17,27,3,2,838,,,,,,,,,,,,,,
6/22/17,27,4,1,862,,,,,,,,,,,,,,
6/22/17,27,5,2,838,,,,,,,,,,,,,,
6/22/17,27,6,2,773,,,,,,,,,,,,,,
6/22/17,27,7,2,830,,,,,,,,,,,,,,
6/22/17,27,8,2,685,,,,,,,,,,,,,,
6/22/17,27,9,1,851,,,,,,,,,,,,,,
6/22/17,27,10,2,848,,,,,,,,,,,,,,
6/22/17,28,1,2,832,,,,,,,,,,,,,,
6/22/17,28,2,1,735,,,,,,,,,,,,,,
6/22/17,28,3,1,896,,,,,,,,,,,,,,
6/23/17,29,1,2,760,,,,,,,,,,,,,,
6/23/17,29,2,1,771,,,,,,,,,,,,,,
6/23/17,29,3,1,753,,,,,,,,,,,,,,
6/23/17,29,4,1,708,,,,,,,,,,,,,,
6/23/17,29,5,2,902,,,,,,,,,,,,,,
6/24/17,30,1,1,736,,,,,,,,,,,,,,
6/24/17,30,2,1,894,,,,,,,,,,,,,,
6/24/17,30,3,1,950,,,,,,,,,,,,,,
6/24/17,30,4,2,773,,,,,,,,,,,,,,
6/24/17,30,5,2,831,,,,,,,,,,,,,,
6/24/17,30,6,1,479,,,,,,,,,,,,,,
6/24/17,30,7,2,896,,,,,,,,,,,,,,
6/24/17,30,8,2,865,,,,,,,,,,,,,,
6/24/17,30,9,2,822,,,,,,,,,,,,,,
6/24/17,30,10,2,819,,,,,,,,,,,,,,
6/24/17,31,1,1,742,,,,,,,,,,,,,,
6/24/17,31,2,2,721,,,,,,,,,,,,,,
6/24/17,31,3,2,826,,,,,,,,,,,,,,
6/24/17,31,4,2,869,,,,,,,,,,,,,,
6/24/17,31,5,1,830,,,,,,,,,,,,,,
6/24/17,31,6,2,805,,,,,,,,,,,,,,
6/24/17,31,7,2,915,,,,,,,,,,,,,,
6/24/17,31,8,2,807,,,,,,,,,,,,,,
6/25/17,32,1,2,882,,,,,,,,,,,,,,
6/25/17,32,2,2,859,,,,,,,,,,,,,,
6/25/17,32,3,2,839,,,,,,,,,,,,,,
6/25/17,32,4,2,811,,,,,,,,,,,,,,
6/25/17,32,5,1,777,,,,,,,,,,,,,,
6/25/17,32,6,2,839,,,,,,,,,,,,,,
6/25/17,32,7,2,851,,,,,,,,,,,,,,
6/25/17,32,8,2,819,,,,,,,,,,,,,,
6/25/17,32,9,1,734,,,,,,,,,,,,,,
6/25/17,32,10,1,541,,,,,,,,,,,,,,
6/25/17,33,1,2,799,,,,,,,,,,,,,,
6/25/17,33,2,2,829,,,,,,,,,,,,,,
6/25/17,33,3,2,875,,,,,,,,,,,,,,
6/25/17,33,4,1,868,,,,,,,,,,,,,,
6/25/17,33,5,1,776,,,,,,,,,,,,,,
6/25/17,33,6,1,888,,,,,,,,,,,,,,
6/26/17,34,1,1,746,,,,,,,,,,,,,,
6/26/17,34,2,1,835,,,,,,,,,,,,,,
6/26/17,34,3,2,826,,,,,,,,,,,,,,
6/26/17,34,4,2,833,,,,,,,,,,,,,,
6/26/17,34,5,2,845,,,,,,,,,,,,,,
6/26/17,34,6,1,808,,,,,,,,,,,,,,
6/26/17,34,7,1,846,,,,,,,,,,,,,,
6/26/17,34,8,2,753,,,,,,,,,,,,,,
6/26/17,34,9,1,844,,,,,,,,,,,,,,
6/26/17,34,10,1,785,,,,,,,,,,,,,,
6/26/17,35,1,1,765,,,,,,,,,,,,,,
6/26/17,35,2,1,806,,,,,,,,,,,,,,
6/26/17,35,3,2,802,,,,,,,,,,,,,,
6/26/17,35,4,2,860,,,,,,,,,,,,,,
6/26/17,35,5,1,629,,,,,,,,,,,,,,
6/27/17,36,1,2,810,,,,,,,,,,,,,,
6/27/17,36,2,2,785,,,,,,,,,,,,,,
6/27/17,36,3,2,814,,,,,,,,,,,,,,
6/27/17,36,4,2,840,,,,,,,,,,,,,,
6/27/17,36,5,1,805,,,,,,,,,,,,,,
6/27/17,36,6,2,931,,,,,,,,,,,,,,
6/27/17,36,7,2,815,,,,,,,,,,,,,,
6/27/17,36,8,1,592,,,,,,,,,,,,,,
6/28/17,37,1,2,844,,,,,,,,,,,,,,
6/28/17,37,2,2,870,,,,,,,,,,,,,,
6/28/17,37,3,1,711,,,,,,,,,,,,,,
6/6/17,1,1,1,837,,,,,,,,,,,,,,
6/6/17,1,2,1,810,,,,,,,,,,,,,,
6/6/17,1,3,2,841,,,,,,,,,,,,,,
6/6/17,1,4,1,802,,,,,,,,,,,,,,
6/6/17,1,5,1,757,,,,,,,,,,,,,,
6/7/17,2,1,1,732,,,,,,,,,,,,,,
6/7/17,2,2,1,850,,,,,,,,,,,,,,
6/7/17,2,3,1,919,,,,,,,,,,,,,,
6/7/17,2,4,1,931,,,,,,,,,,,,,,
6/7/17,2,5,1,832,,,,,,,,,,,,,,
6/7/17,2,6,1,819,,,,,,,,,,,,,,
6/7/17,2,7,1,843,,,,,,,,,,,,,,
6/7/17,2,8,2,750,,,,,,,,,,,,,,
6/7/17,2,9,2,879,,,,,,,,,,,,,,
6/7/17,2,10,2,781,,,,,,,,,,,,,,
6/7/17,3,1,1,818,,,,,,,,,,,,,,
6/7/17,3,2,1,773,,,,,,,,,,,,,,
6/9/17,4,1,2,822,,,,,,,,,,,,,,
6/9/17,4,2,1,872,,,,,,,,,,,,,,
6/9/17,4,3,1,785,,,,,,,,,,,,,,
6/9/17,4,4,1,709,,,,,,,,,,,,,,
6/9/17,4,5,1,767,,,,,,,,,,,,,,
6/9/17,4,6,2,819,,,,,,,,,,,,,,
6/9/17,4,7,2,865,,,,,,,,,,,,,,
6/9/17,4,8,2,818,,,,,,,,,,,,,,
6/9/17,4,9,1,775,,,,,,,,,,,,,,
6/9/17,4,10,1,905,,,,,,,,,,,,,,
6/9/17,5,1,2,819,,,,,,,,,,,,,,
6/9/17,5,2,1,783,,,,,,,,,,,,,,
6/9/17,5,3,1,757,,,,,,,,,,,,,,
6/9/17,5,4,1,826,,,,,,,,,,,,,,
6/9/17,5,5,1,824,,,,,,,,,,,,,,
6/9/17,5,6,2,824,,,,,,,,,,,,,,
6/9/17,5,7,1,537,,,,,,,,,,,,,,
6/10/17,6,1,1,790,,,,,,,,,,,,,,
6/10/17,6,2,2,869,,,,,,,,,,,,,,
6/10/17,6,3,1,935,,,,,,,,,,,,,,
6/10/17,6,4,2,870,,,,,,,,,,,,,,
6/10/17,6,5,1,815,,,,,,,,,,,,,,
6/10/17,6,6,1,779,,,,,,,,,,,,,,
6/10/17,6,7,1,829,,,,,,,,,,,,,,
6/10/17,6,8,2,794,,,,,,,,,,,,,,
6/10/17,6,9,1,802,,,,,,,,,,,,,,
6/10/17,6,10,1,807,,,,,,,,,,,,,,
6/10/17,7,1,1,855,,,,,,,,,,,,,,
6/10/17,7,2,1,783,,,,,,,,,,,,,,
6/10/17,7,3,1,930,,,,,,,,,,,,,,
6/10/17,7,4,2,859,,,,,,,,,,,,,,
6/10/17,7,5,1,814,,,,,,,,,,,,,,
6/10/17,7,6,1,777,,,,,,,,,,,,,,
6/10/17,7,7,1,770,,,,,,,,,,,,,,
6/10/17,7,8,1,736,,,,,,,,,,,,,,
6/10/17,7,9,2,775,,,,,,,,,,,,,,
6/10/17,7,10,2,839,,,,,,,,,,,,,,
6/10/17,8,1,1,773,,,,,,,,,,,,,,
6/10/17,8,2,1,779,,,,,,,,,,,,,,
6/10/17,8,3,1,787,,,,,,,,,,,,,,
6/10/17,8,4,1,780,,,,,,,,,,,,,,
6/10/17,8,5,1,848,,,,,,,,,,,,,,
6/10/17,8,6,2,903,,,,,,,,,,,,,,
6/10/17,8,7,1,910,,,,,,,,,,,,,,
6/10/17,8,8,1,782,,,,,,,,,,,,,,
6/10/17,8,9,2,854,,,,,,,,,,,,,,
6/10/17,8,10,1,831,,,,,,,,,,,,,,
6/11/17,9,1,2,801,,,,,,,,,,,,,,
6/11/17,9,2,1,795,,,,,,,,,,,,,,
6/11/17,9,3,1,679,,,,,,,,,,,,,,
6/11/17,9,4,1,540,,,,,,,,,,,,,,
6/11/17,9,5,2,698,,,,,,,,,,,,,,
6/11/17,9,6,1,797,,,,,,,,,,,,,,
6/11/17,9,7,2,831,,,,,,,,,,,,,,
6/11/17,9,8,2,852,,,,,,,,,,,,,,
6/11/17,9,9,2,841,,,,,,,,,,,,,,
6/11/17,9,10,2,875,,,,,,,,,,,,,,
6/12/17,10,1,2,841,,,,,,,,,,,,,,
6/12/17,10,2,2,866,,,,,,,,,,,,,,
6/12/17,10,3,2,799,,,,,,,,,,,,,,
6/12/17,10,4,2,812,,,,,,,,,,,,,,
6/12/17,10,5,1,811,,,,,,,,,,,,,,
6/12/17,10,6,1,721,,,,,,,,,,,,,,
6/12/17,10,7,1,800,,,,,,,,,,,,,,
6/12/17,10,8,1,958,,,,,,,,,,,,,,
6/12/17,10,9,1,814,,,,,,,,,,,,,,
6/12/17,10,10,1,704,,,,,,,,,,,,,,
6/12/17,11,1,1,774,,,,,,,,,,,,,,
6/12/17,11,2,2,816,,,,,,,,,,,,,,
6/12/17,11,3,2,900,,,,,,,,,,,,,,
6/12/17,11,4,1,742,,,,,,,,,,,,,,
6/12/17,11,5,2,785,,,,,,,,,,,,,,
6/12/17,11,6,2,983,,,,,,,,,,,,,,
6/12/17,11,7,1,534,,,,,,,,,,,,,,
6/12/17,11,8,1,721,,,,,,,,,,,,,,
6/12/17,11,9,1,829,,,,,,,,,,,,,,
6/12/17,11,10,2,838,,,,,,,,,,,,,,
6/12/17,12,1,2,823,,,,,,,,,,,,,,
6/12/17,12,2,1,742,,,,,,,,,,,,,,
6/12/17,12,3,1,608,,,,,,,,,,,,,,
6/12/17,12,4,1,889,,,,,,,,,,,,,,
6/12/17,12,5,1,675,,,,,,,,,,,,,,
6/12/17,12,6,1,734,,,,,,,,,,,,,,
6/12/17,12,7,1,763,,,,,,,,,,,,,,
6/12/17,12,8,2,832,,,,,,,,,,,,,,
6/12/17,12,9,1,805,,,,,,,,,,,,,,
6/12/17,12,10,1,746,,,,,,,,,,,,,,
6/13/17,13,1,1,688,,X,101,M,0000020232,28,,,,,,,,
6/13/17,13,2,1,777,,X,102,M,0000020232,28,,,,,,,,
6/13/17,13,3,1,869,,X,103,M,0000020232,28,,,,,,,,
6/13/17,13,4,2,885,,X,104,F,0000020232,28,,,,,,,,
6/13/17,13,5,1,822,,X,105,M,0000020232,28,,,,,,,,
6/13/17,13,6,1,764,,X,106,M,0000020232,28,,,,,,,,
6/13/17,13,7,1,755,,X,107,M,0000020232,28,,,,,,,,
6/13/17,13,8,2,819,,X,108,F,0000020232,28,,,,,,,,
6/13/17,13,9,2,848,,X,109,F,0000020232,28,,,,,,,,
6/13/17,13,10,2,833,,X,110,F,0000020232,28,,,,,,,,
6/13/17,14,1,2,839,,X,111,F,0000020236,31,,,,,,,,
6/13/17,14,2,2,794,,X,112,F,0000020236,31,,,,,,,,
6/13/17,14,3,2,902,,X,113,F,0000020236,31,,,,,,,,
6/13/17,14,4,1,739,,X,114,M,0000020236,31,,,,,,,,
6/13/17,14,5,2,822,,X,115,F,0000020236,31,,,,,,,,
6/13/17,14,6,2,880,,X,116,F,0000020236,31,,,,,,,,
6/13/17,14,7,1,851,,X,117,M,0000020236,31,,,,,,,,
6/13/17,14,8,2,776,,X,118,F,0000020236,31,,,,,,,,
6/13/17,14,9,1,803,,X,119,M,0000020236,31,,,,,,,,
6/13/17,14,10,1,822,,X,120,M,0000020236,31,,,,,,,,
6/13/17,15,1,2,846,,X,121,F,0000020237,32,,,,,,,,
6/13/17,15,2,2,796,,X,122,F,0000020237,32,,,,,,,,
6/13/17,15,3,2,865,,X,123,F,0000020237,32,,,,,,,,
6/13/17,15,4,2,786,,X,124,F,0000020237,32,,,,,,,,
6/13/17,15,5,1,811,,X,125,M,0000020237,32,,,,,,,,
6/13/17,15,6,2,842,,X,126,F,0000020237,32,,,,,,,,
6/13/17,15,7,1,622,,X,127,M,0000020237,32,,,,,,,,
6/13/17,15,8,1,841,,X,128,M,0000020237,32,,,,,,,,
6/13/17,15,9,1,606,,X,129,M,0000020237,32,,,,,,,,
6/13/17,15,10,1,700,,X,130,M,0000020237,32,,,,,,,,
6/14/17,16,1,2,845,,X,131,F,0000020220,22,,,,,,,,
6/14/17,16,2,1,813,,X,132,M,0000020220,22,,,,,,,,
6/14/17,16,3,1,748,,X,133,M,0000020220,22,,,,,,,,
6/14/17,16,4,2,841,,X,134,F,0000020220,22,,,,,,,,
6/14/17,16,5,1,908,,X,135,M,0000020220,22,,,,,,,,
6/14/17,16,6,2,888,,X,136,F,0000020220,22,,,,,,,,
6/14/17,16,7,2,803,,X,137,F,0000020220,22,,,,,,,,
6/14/17,16,8,1,801,,X,138,M,0000020220,22,,,,,,,,
6/14/17,16,9,1,785,,X,139,M,0000020220,22,,,,,,,,
6/14/17,16,10,2,769,,X,140,F,0000020220,22,,,,,,,,
6/14/17,17,1,1,701,,X,141,M,0000020233,29,,,,,,,,
6/14/17,17,2,1,883,,X,142,M,0000020233,29,,,,,,,,
6/14/17,17,3,1,816,,X,143,M,0000020233,29,,,,,,,,
6/14/17,17,4,1,746,,X,144,M,0000020233,29,,,,,,,,
6/14/17,17,5,1,595,,X,145,M,0000020233,29,,,,,,,,
6/14/17,17,6,2,773,,X,146,F,0000020233,29,,,,,,,,
6/14/17,17,7,1,760,,X,147,M,0000020233,29,,,,,,,,
6/14/17,17,8,1,905,,X,148,M,0000020233,29,,,,,,,,
6/14/17,17,9,1,810,,X,149,M,0000020233,29,,,,,,,,
6/14/17,17,10,1,801,,X,150,M,0000020233,29,,,,,,,,
6/14/17,18,1,2,831,,X,151,F,0000020228,26,,,,,,,,
6/14/17,18,2,2,809,,X,152,F,0000020228,26,,,,,,,,
6/14/17,18,3,1,731,,X,153,M,0000020228,26,,,,,,,,
6/14/17,18,4,2,811,,X,154,F,0000020228,26,,,,,,,,
6/14/17,18,5,1,829,,X,155,M,0000020228,26,,,,,,,,
6/14/17,18,6,1,875,,X,156,M,0000020228,26,,,,,,,,
6/14/17,18,7,1,837,,X,157,M,0000020228,26,,,,,,,,
6/14/17,18,8,1,924,,X,158,M,0000020228,26,,,,,,,,
6/14/17,18,9,1,814,,X,159,M,0000020228,26,,,,,,,,
6/14/17,18,10,1,803,,X,160,M,0000020228,26,,,,,,,,
6/15/17,19,1,1,817,,X,161,M,0000020250,41,,,,,,,,
6/15/17,19,2,1,845,,X,162,M,0000020250,41,,,,,,,,
6/15/17,19,3,2,865,,X,163,F,0000020250,41,,,,,,,,
6/15/17,19,4,2,822,,X,164,F,0000020250,41,,,,,,,,
6/15/17,19,5,1,890,,X,165,M,0000020250,41,,,,,,,,
6/15/17,19,6,2,842,,X,166,F,0000020250,41,,,,,,,,
6/15/17,19,7,2,862,,X,167,F,0000020250,41,,,,,,,,
6/15/17,19,8,1,779,,X,168,M,0000020250,41,,,,,,,,
6/15/17,19,9,1,784,,X,169,M,0000020250,41,,,,,,,,
6/15/17,19,10,1,819,,X,170,M,0000020250,41,,,,,,,,
6/15/17,20,1,1,672,,X,171,M,0000020241,34,,,,,,,,
6/15/17,20,2,1,718,,X,172,M,0000020241,34,,,,,,,,
6/15/17,20,3,1,680,,X,173,M,0000020241,34,,,,,,,,
6/16/17,21,1,1,822,,X,174,M,0000020247,39,,,,,,,,
6/16/17,21,2,1,760,,X,175,M,0000020247,39,,,,,,,,
6/16/17,21,3,2,777,,X,176,F,0000020247,39,,,,,,,,
6/16/17,21,4,2,807,,X,177,F,0000020247,39,,,,,,,,
6/16/17,21,5,2,822,,X,178,F,0000020247,39,,,,,,,,
6/16/17,21,6,1,792,,X,179,M,0000020247,39,,,,,,,,
6/16/17,21,7,2,859,,X,180,F,0000020247,39,,,,,,,,
6/16/17,21,8,2,810,,X,181,F,0000020247,39,,,,,,,,
6/16/17,21,9,2,799,,X,182,F,0000020247,39,,,,,,,,
6/16/17,21,10,2,886,,X,183,F,0000020247,39,,,,,,,,
6/16/17,22,1,2,820,,X,184,F,0000020214,20,,,,,,,,
6/16/17,22,2,1,821,,X,185,M,0000020214,20,,,,,,,,
6/16/17,22,3,1,849,,X,186,M,0000020214,20,,,,,,,,
6/16/17,22,4,1,692,,X,187,M,0000020214,20,,,,,,,,
6/16/17,22,5,2,834,,X,188,F,0000020214,20,,,,,,,,
6/16/17,22,6,1,848,,X,189,M,0000020214,20,,,,,,,,
6/16/17,22,7,2,892,,X,190,F,0000020214,20,,,,,,,,
6/16/17,22,8,1,718,,X,191,M,0000020214,20,,,,,,,,
6/16/17,22,9,1,679,,X,192,M,0000020214,20,,,,,,,,
6/16/17,22,10,1,792,,X,193,M,0000020214,20,,,,,,,,
6/16/17,23,1,2,825,,X,194,F,0000020218,21,,,,,,,,
6/16/17,23,2,2,877,,X,195,F,0000020218,21,,,,,,,,
6/16/17,23,3,1,648,,X,196,M,0000020218,21,,,,,,,,
6/16/17,23,4,2,904,Lost Fin,MIA,N/A,F,0000020218,21,,,,,,,,
6/16/17,23,5,1,745,,X,202,M,0000020218,21,,,,,,,,
6/16/17,23,6,2,876,,X,203,F,0000020218,21,,,,,,,,
6/16/17,23,7,2,842,,X,204,F,0000020218,21,,,,,,,,
6/16/17,23,8,2,839,,X,205,F,0000020218,21,,,,,,,,
6/16/17,23,9,2,892,,X,206,F,0000020218,21,,,,,,,,
6/16/17,23,10,2,797,,X,201,F,0000020218,21,,,,,,,,
6/17/17,24,1,1,605,,X,207,M,0000020245,37,,,,,,,,
6/17/17,24,2,1,833,,X,208,M,0000020245,37,,,,,,,,
6/17/17,24,3,1,820,,X,209,M,0000020245,37,,,,,,,,
6/17/17,24,4,2,855,,X,210,F,0000020245,37,,,,,,,,
6/17/17,24,5,2,805,,X,211,F,0000020245,37,,,,,,,,
6/17/17,24,6,1,722,,X,212,M,0000020245,37,,,,,,,,
6/17/17,24,7,2,800,,X,213,F,0000020245,37,,,,,,,,
6/17/17,24,8,2,736,,X,214,F,0000020245,37,,,,,,,,
6/17/17,24,9,1,489,,X,215,M,0000020245,37,,,,,,,,
