fish.id,nat_start,nat_end,natal_iso_mean,natal_iso_sd,num_microns,otoNum,capture_date,capture_date_julian,file.id
,,,0.706939867,,,423,6/26/15,,2015_yokon_chin_yk423.exp
,,,0.722281156,,,424,6/26/15,,2015_yokon_chin_yk424.exp
,,,0.707803619,,,425,6/26/15,,2015_yokon_chin_yk425.exp
,,,0.713700908,,,426,6/26/15,,2015_yokon_chin_yk426.exp
,,,0.718466275,,,427,6/26/15,,2015_yokon_chin_yk427.exp
,,,0.711522726,,,430,6/26/15,,2015_yokon_chin_yk430.exp
,,,0.707830954,,,431,6/26/15,,2015_yokon_chin_yk431.exp
,,,0.712521294,,,433,6/26/15,,2015_yokon_chin_yk433.exp
,,,0.709946729,,,435,6/26/15,,2015_yokon_chin_yk435.exp
,,,0.706313774,,,436,6/26/15,,2015_yokon_chin_yk436.exp
,,,0.707216006,,,437,6/26/15,,2015_yokon_chin_yk437.exp
,,,0.707191924,,,438,6/26/15,,2015_yokon_chin_yk438.exp
,,,0.706439449,,,444,6/26/15,,2015_yokon_chin_yk444.exp
,,,0.707471457,,,450,6/27/15,,2015_yokon_chin_yk450.exp
,,,0.70792305,,,451,6/27/15,,2015_yokon_chin_yk451.exp
,,,0.707612752,,,454,6/27/15,,2015_yokon_chin_yk454.exp
,,,0.710667116,,,457,6/27/15,,2015_yokon_chin_yk457_1.exp
,,,0.722322107,,,458,6/27/15,,2015_yokon_chin_yk458.exp
,,,0.707618038,,,459,6/27/15,,2015_yokon_chin_yk459.exp
,,,0.706232387,,,460,6/27/15,,2015_yokon_chin_yk460.exp
,,,0.706463195,,,461,6/27/15,,2015_yokon_chin_yk461.exp
,,,0.707063286,,,462,6/27/15,,2015_yokon_chin_yk462.exp
,,,0.707603903,,,464,6/27/15,,2015_yokon_chin_yk464.exp
,,,0.7063705,,,474,6/27/15,,2015_yokon_chin_yk474.exp
,,,0.70786704,,,476,6/27/15,,2015_yokon_chin_yk476.exp
,,,0.708297376,,,479,6/28/15,,2015_yokon_chin_yk479.exp
,,,0.710674131,,,481,6/28/15,,2015_yokon_chin_yk481.exp
,,,0.706265811,,,483,6/28/15,,2015_yokon_chin_yk483.exp
,,,0.704853749,,,486,6/28/15,,2015_yokon_chin_yk486.exp
,,,0.707682021,,,487,6/28/15,,2015_yokon_chin_yk487.exp
,,,0.707859417,,,489,6/28/15,,2015_yokon_chin_yk489c.exp
,,,0.717851351,,,490,6/28/15,,2015_yokon_chin_yk490.exp
,,,0.707107073,,,491,6/28/15,,2015_yokon_chin_yk491.exp
,,,0.71480015,,,492,6/28/15,,2015_yokon_chin_yk492.exp
,,,0.708345157,,,493,6/28/15,,2015_yokon_chin_yk493a.exp
,,,0.707050118,,,494,6/28/15,,2015_yokon_chin_yk494.exp
,,,0.706317672,,,497,6/28/15,,2015_yokon_chin_yk497.exp
,,,0.707102641,,,508,6/28/15,,2015_yokon_chin_yk508.exp
,,,0.707140698,,,514,6/29/15,,2015_yokon_chin_yk514.exp
,,,0.707147375,,,521,6/29/15,,2015_yokon_chin_yk521.exp
,,,0.718013893,,,523,6/29/15,,2015_yokon_chin_yk523.exp
,,,0.715169904,,,524,6/29/15,,2015_yokon_chin_yk524.exp
,,,0.710613975,,,526,6/30/15,,2015_yokon_chin_yk526.exp
,,,0.712020409,,,530,6/30/15,,2015_yokon_chin_yk530_2.exp
,,,0.711323099,,,534,6/30/15,,2015_yokon_chin_yk534.exp
,,,0.706984014,,,535,6/30/15,,2015_yokon_chin_yk535.exp
,,,0.70638127,,,537,7/1/15,,2015_yokon_chin_yk537.exp
,,,0.707700451,,,541,7/1/15,,2015_yokon_chin_yk541.exp
,,,0.707216487,,,543,7/1/15,,2015_yokon_chin_yk543.exp
,,,0.709672427,,,545,7/1/15,,2015_yokon_chin_yk545.exp
,,,0.706959859,,,546,7/1/15,,2015_yokon_chin_yk546.exp
,,,0.707016921,,,550,7/1/15,,2015_yokon_chin_yk550.exp
,,,0.706216833,,,551,7/1/15,,2015_yokon_chin_yk551.exp
,,,0.707731189,,,554,7/1/15,,2015_yokon_chin_yk554.exp
,,,0.707870377,,,555,7/1/15,,2015_yokon_chin_yk555.exp
,,,0.70722672,,,558,7/2/15,,2015_yokon_chin_yk558.exp
,,,0.706098918,,,559,7/2/15,,2015_yokon_chin_yk559.exp
,,,0.715792611,,,561,7/2/15,,2015_yokon_chin_yk561.exp
,,,0.707605348,,,563,7/2/15,,2015_yokon_chin_yk563.exp
,,,0.707402855,,,566,7/2/15,,2015_yokon_chin_yk566.exp
,,,0.707093638,,,568,7/2/15,,2015_yokon_chin_yk568.exp
,,,0.707153314,,,571,7/2/15,,2015_yokon_chin_yk571.exp
,,,0.707727185,,,573,7/2/15,,2015_yokon_chin_yk573.exp
,,,0.70626021,,,576,7/2/15,,2015_yokon_chin_yk576.exp
,,,0.705490234,,,578,7/2/15,,2015_yokon_chin_yk578.exp
,,,0.711381704,,,582,7/3/15,,2015_yokon_chin_yk582.exp
,,,0.707330333,,,585,7/3/15,,2015_yokon_chin_yk585.exp
,,,0.70505344,,,587,7/3/15,,2015_yokon_chin_yk587.exp
,,,0.707953085,,,588,7/3/15,,2015_yokon_chin_yk588.exp
,,,0.706401036,,,590,7/3/15,,2015_yokon_chin_yk590.exp
,,,0.707264415,,,591,7/3/15,,2015_yokon_chin_yk591.exp
,,,0.706204581,,,592,7/3/15,,2015_yokon_chin_yk592.exp
,,,0.707837863,,,593,7/3/15,,2015_yokon_chin_yk593.exp
,,,0.70710792,,,594,7/3/15,,2015_yokon_chin_yk594.exp
,,,0.709956898,,,595,7/3/15,,2015_yokon_chin_yk595.exp
,,,0.707878128,,,598,7/4/15,,2015_yokon_chin_yk598.exp
,,,0.707692272,,,599,7/4/15,,2015_yokon_chin_yk599.exp
,,,0.706573804,,,600,7/4/15,,2015_yokon_chin_yk600.exp
,,,0.707173609,,,602,7/4/15,,2015_yokon_chin_yk602.exp
,,,0.714016862,,,608,7/6/15,,2015_yokon_chin_yk608.exp
,,,0.709925194,,,611,7/8/15,,2015_yokon_chin_yk611.exp
,,,0.707862819,,,613,7/8/15,,2015_yokon_chin_yk613.exp
,,,0.706340802,,,615,7/9/15,,2015_yokon_chin_yk615.exp
