Header Row,site,sampleDate,cardNo,fishNum,External Sex,Internal Sex,sexID,sexMethodID,length,Fork Length,Snout Length,gearID,mesh,fishComment,geneticNum,otoNum,initials,adClip,prelimAgeFresh,prelimAgeSalt,prelimAgeErrorID,ageFresh,ageSalt,ageErrorID,flagged,period,weight,girth,ichNum,samplerID,ageFresh2,ageSalt2,ageErrorID2,flagged2,disagreement,,
,BigEddy,6/13/18,7,5,2,1,2,2,670,726,56,4,8.5,,26416,140,EW,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/13/18,7,6,2,2,2,2,833,882,49,4,8.5,,26416,141,EW,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/13/18,7,7,1,1,1,2,740,804,64,4,8.5,,26416,142,EW,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/13/18,7,8,2,2,2,2,773,822,49,4,8.5,,26416,143,EW,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/13/18,7,9,1,2,1,2,791,852,61,4,8.5,,26416,144,EW,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/13/18,7,10,1,2,1,2,792,854,62,4,8.5,,26416,145,EW,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/13/18,8,1,1,1,1,2,778,846,68,4,8.5,,26425,146,EW,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/14/18,9,1,1,1,1,2,760,829,69,4,8.5,,26421,147,SL,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/14/18,9,2,1,1,1,2,706,757,51,4,8.5,,26421,148,SL,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/14/18,9,3,1,1,1,2,854,928,74,4,8.5,,26421,149,SL,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/15/18,10,1,1,1,1,2,864,939,75,4,8.5,,26426,150,KB,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/15/18,10,2,1,2,1,2,796,858,62,4,8.5,,26426,151,KB,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/15/18,10,3,2,2,2,2,670,717,47,4,8.5,,26426,152,KB,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/15/18,10,4,2,2,2,2,850,911,61,4,8.5,,26426,153,KB,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/15/18,10,5,2,2,2,2,845,903,58,4,8.5,,26426,154,KB,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/16/18,11,1,2,2,2,2,875,943,68,4,8.5,,26422,155,EW,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/17/18,12,1,2,1,2,2,924,964,40,4,8.5,,26418,156,DJ,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/17/18,12,2,1,2,1,2,879,939,60,4,8.5,,26418,157,EW,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/17/18,12,3,2,2,2,2,784,847,63,4,8.5,,26418,158,EW,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/17/18,12,4,1,2,1,2,852,918,66,4,8.5,,26418,159,EW,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/17/18,12,5,2,2,2,2,768,822,54,4,8.5,,26418,160,EW,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/17/18,12,6,2,2,2,2,858,909,51,4,8.5,,26418,161,EW,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/17/18,12,7,1,1,1,2,805,877,72,4,8.5,,26418,162,EW,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/17/18,12,8,2,2,2,2,847,907,60,4,8.5,,26418,163,EW,,,4,9,,4,9,,,,,,,,4,9,,,,
,BigEddy,6/17/18,12,9,1,1,1,2,730,795,65,4,8.5,,26418,164,EW,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/17/18,12,10,2,1,2,2,637,690,53,4,8.5,,26418,165,EW,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/18/18,13,1,2,2,2,2,820,883,63,4,8.5,,26414,166,HU,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/18/18,13,2,2,2,2,2,841,898,57,4,8.5,,26414,167,HU,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/18/18,13,3,2,2,2,2,852,912,60,4,8.5,,26414,168,HU,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/18/18,13,4,2,2,2,2,863,927,64,4,8.5,,26414,169,HU,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/18/18,13,5,1,2,1,2,886,948,62,4,8.5,,26414,170,HU,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/18/18,13,6,2,2,2,2,798,856,58,4,8.5,,26414,171,HU,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/18/18,13,7,2,1,2,2,828,892,64,4,8.5,,26414,172,HU,,1,5,,1,5,,,,,,,,1,5,,,,,
,BigEddy,6/18/18,13,8,1,1,1,2,663,721,58,4,8.5,,26414,173,HU,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/18/18,13,9,2,1,2,2,789,862,73,4,8.5,,26414,174,HU,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/19/18,14,1,2,2,2,2,793,855,62,4,8.5,,26431,175,JD,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/19/18,14,2,2,2,2,2,823,878,55,4,8.5,,26431,176,JD,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/19/18,14,3,1,2,1,2,753,806,53,4,8.5,,26431,177,JD,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/19/18,14,4,1,2,1,2,814,876,62,4,8.5,,26431,178,JD,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/19/18,14,5,1,1,1,2,804,866,62,4,8.5,,26431,179,HU,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/19/18,14,6,2,1,2,2,815,881,66,4,8.5,,26431,180,HU,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/19/18,14,7,1,1,1,2,902,1000,98,4,8.5,,26431,181,HU,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/19/18,14,8,1,1,1,2,902,1008,106,4,8.5,,26431,182,HU,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/19/18,14,9,2,2,2,2,792,846,54,4,8.5,,26431,183,HU,,,3,9,,3,9,,,,,,,,3,9,,,,
,BigEddy,6/19/18,14,10,2,2,2,2,813,863,50,4,8.5,,26431,184,HU,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/19/18,15,1,2,2,2,2,875,933,58,4,8.5,,26427,185,HU,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/19/18,15,2,2,2,2,2,924,1001,77,4,8.5,,26427,186,HU,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/19/18,15,3,2,2,2,2,834,896,62,4,8.5,,26427,187,HU,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/19/18,15,4,2,2,2,2,875,932,57,4,8.5,,26427,,HU,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/19/18,15,5,1,1,1,2,684,743,59,4,8.5,,26427,188,HU,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/19/18,15,6,1,1,1,2,739,815,76,4,8.5,,26427,189,HU,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/19/18,15,7,1,1,1,2,654,709,55,4,8.5,,26427,190,HU,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/19/18,15,8,2,2,2,2,867,930,63,4,8.5,,26427,191,HU,,1,5,,1,5,,,,,,,,1,4,,,,,
,BigEddy,6/19/18,15,9,2,2,2,2,803,862,59,4,8.5,,26427,192,HU,,1,3,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/19/18,15,10,1,1,1,2,812,878,66,4,8.5,,26427,193,HU,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/19/18,16,1,2,2,2,2,882,945,63,4,8.5,,26430,194,HU,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/19/18,16,2,1,2,1,2,858,917,59,4,8.5,,26430,195,HU,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/20/18,17,1,2,2,2,2,820,881,61,4,8.5,,26423,196,MT,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/20/18,17,2,2,1,2,2,753,815,62,4,8.5,,26423,197,MT,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/20/18,17,3,2,2,2,2,820,876,56,4,8.5,,26423,198,MT,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/20/18,17,4,2,2,2,2,800,854,54,4,8.5,,26423,199,MT,,1,4,,,4,9,,,,,,,,4,9,,,,
,BigEddy,6/20/18,17,5,1,1,1,2,814,883,69,4,8.5,,26423,200,MT,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/20/18,17,6,2,2,2,2,792,840,48,4,8.5,,26423,201,MT,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/20/18,17,7,1,1,1,2,790,861,71,4,8.5,,26423,202,MT,,1,3,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/20/18,17,8,1,1,1,2,870,944,74,4,8.5,,26423,203,MT,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/20/18,17,9,1,1,1,2,820,889,69,4,8.5,,26423,204,MT,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/20/18,17,10,2,2,2,2,680,729,49,4,8.5,,26423,205,MT,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/20/18,18,1,1,1,1,2,901,991,90,4,8.5,,26419,206,MT,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/20/18,18,2,2,2,2,2,903,973,70,4,8.5,,26419,207,MT,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/20/18,18,3,2,1,2,2,825,896,71,4,8.5,,26419,208,CD,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/20/18,18,4,1,1,1,2,773,837,64,4,8.5,,26419,209,CD,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/20/18,18,5,2,2,2,2,877,938,61,4,8.5,,26419,210,CD,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/20/18,18,6,2,1,2,2,753,812,59,4,8.5,,26419,211,CD,,1,3,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/20/18,18,7,2,2,2,2,878,939,61,4,8.5,,26419,212,CD,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/21/18,19,1,2,2,2,2,861,921,60,4,8.5,,26481,213,HU,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/21/18,19,2,1,1,1,2,757,826,69,4,8.5,,26481,214,HU,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/21/18,19,3,2,2,2,2,836,900,64,4,8.5,,26481,215,HU,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/21/18,19,4,1,2,1,2,829,896,67,4,8.5,,26481,216,HU,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/21/18,19,5,2,1,2,2,889,985,96,4,8.5,,26481,217,HU,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/21/18,19,6,2,2,2,2,817,873,56,4,8.5,,26481,218,HU,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/21/18,19,7,1,1,1,2,594,642,48,4,8.5,,26481,219,HU,,1,2,,1,2,,,,,,,,1,2,,,,,
,BigEddy,6/21/18,19,8,1,1,1,2,773,834,61,4,8.5,,26481,220,HU,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/22/18,20,1,1,2,1,2,799,858,59,4,8.5,,26432,221,HU,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/22/18,20,2,2,2,2,2,870,938,68,4,8.5,,26432,222,HU,,1,5,,1,5,,,,,,,,1,5,,,,,
,BigEddy,6/22/18,20,3,2,2,2,2,777,834,57,4,8.5,,26432,223,HU,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/22/18,20,4,2,1,2,2,839,904,65,4,8.5,,26432,224,HU,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/22/18,20,5,1,1,1,2,618,669,51,4,8.5,,26432,225,HU,,1,2,,1,2,,,,,,,,1,2,,,,,
,BigEddy,6/22/18,20,6,1,1,1,2,752,819,67,4,8.5,,26432,226,HU,,,3,9,,3,9,,,,,,,,3,9,,,,
,BigEddy,6/23/18,21,1,2,2,2,2,905,965,60,4,8.5,,26477,227,EW,,1,5,,1,5,,,,,,,,1,5,,,,,
,BigEddy,6/23/18,21,2,1,2,1,2,857,923,66,4,8.5,,26477,228,EW,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/23/18,21,3,1,1,1,2,652,705,53,4,8.5,,26477,229,EW,,1,2,,1,2,,,,,,,,1,2,,,,,
,BigEddy,6/23/18,21,4,2,2,2,2,885,957,72,4,8.5,,26477,230,EW,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/23/18,21,5,1,1,1,2,845,918,73,4,8.5,,26477,231,EW,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/23/18,21,6,2,1,2,2,816,876,60,4,8.5,,26477,232,EW,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/23/18,21,7,1,2,1,2,853,920,67,4,8.5,,26477,233,EW,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/23/18,21,8,1,1,1,2,849,916,67,4,8.5,,26477,234,EW,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/23/18,21,9,2,1,2,2,808,871,63,4,8.5,,26477,235,EW,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/23/18,21,10,1,2,1,2,858,919,61,4,8.5,,26477,236,EW,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/23/18,22,1,2,2,2,2,772,819,47,4,8.5,,26415,237,EW,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/23/18,22,2,1,1,1,2,871,932,61,4,8.5,,26415,238,EW,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/24/18,23,1,1,2,1,2,785,843,58,4,8.5,,26472,239,EW,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/24/18,23,2,2,2,2,2,888,946,58,4,8.5,,26472,240,EW,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/25/18,24,1,1,1,1,2,788,865,77,4,8.5,,26488,241,ML,,1,3,,1,3,,,,,,,,1,3,,, , , 
,BigEddy,6/25/18,24,2,2,2,2,2,827,881,54,4,8.5,,26488,242,EW,,1,4,,1,4,,,,,,,,1,4,,, , , 
,BigEddy,6/25/18,24,3,1,1,1,2,821,885,64,4,8.5,,26488,243,EW,,1,4,,1,4,,,,,,,,1,4,,, , , 
,BigEddy,6/25/18,24,4,2,2,2,2,831,895,64,4,8.5,,26488,244,EW,,1,4,,1,4,,,,,,,,1,4,,, , , 
,BigEddy,6/26/18,25,1,1,2,1,2,868,942,74,4,8.5,,26473,245,DJ,,,,3,,,3,,,,,,,,,3,, , , 
,BigEddy,6/26/18,25,2,2,2,2,2,844,899,55,4,8.5,,26473,246,DJ,,1,4,,1,4,,,,,,,,1,4,,, , , 
,BigEddy,6/26/18,25,3,1,1,1,2,863,934,71,4,8.5,,26473,247,MT,,1,3,,1,4,,,,,,,,1,4,,, ,N, 
,BigEddy,6/26/18,25,4,2,2,2,2,807,868,61,4,8.5,,26473,248,MT,,1,4,,1,4,,,,,,,,1,4,,, , , 
,BigEddy,6/26/18,25,5,1,1,1,2,772,837,65,4,8.5,,26473,249,MT,,1,3,,1,3,,,,,,,,1,3,,, , , 
,BigEddy,6/26/18,25,6,1,1,1,2,665,718,53,4,8.5,,26473,250,MT,,1,2,,1,3,,,,,,,,1,3,,, ,N, 
,BigEddy,6/26/18,25,7,2,2,2,2,815,875,60,4,8.5,,26473,251,MT,,1,4,,1,4,,,,,,,,1,4,,, , , 
,BigEddy,6/26/18,25,8,2,2,2,2,823,877,54,4,8.5,,26473,252,MT,,1,3,,1,3,,,,,,,,1,3,,, , , 
,BigEddy,6/26/18,25,9,2,2,2,2,844,902,58,4,8.5,,26473,253,MT,,1,4,,1,4,,,,,,,,1,4,,, , , 
,BigEddy,6/27/18,26,1,2,2,2,2,821,883,62,4,8.5,,26434,254,DJ,,1,3,,1,3,,,,,,,,1,3,,, , , 
,BigEddy,6/27/18,26,2,2,1,2,2,803,863,60,4,8.5,,26434,255,DJ,,1,3,,1,3,,,,,,,,1,3,,, , , 
,BigEddy,6/27/18,26,3,1,1,1,2,812,887,75,4,8.5,,26434,256,DJ,,1,3,,1,3,,,,,,,,1,3,,, , , 
,BigEddy,6/27/18,26,4,2,1,2,2,760,813,53,4,8.5,,26434,257,DJ,,,4,9,,4,9,,,,,,,,4,9,, , , 
,BigEddy,6/27/18,26,5,2,2,2,2,798,849,51,4,8.5,,26434,258,DJ,,1,3,,1,3,,,,,,,,1,3,,, , , 
,BigEddy,6/27/18,26,6,1,1,1,2,728,802,74,4,8.5,,26434,259,ML,,1,3,,1,3,,,,,,,,1,3,,, , , 
,BigEddy,6/27/18,26,7,1,1,1,2,757,827,70,4,8.5,,26434,260,ML,,1,3,,1,3,,,,,,,,1,3,,, , , 
,BigEddy,6/27/18,26,8,2,2,2,2,836,895,59,4,8.5,,26434,261,ML,,1,4,,1,4,,,,,,,,1,4,,, , , 
,BigEddy,6/27/18,26,9,2,2,2,2,784,835,51,4,8.5,,26434,262,ML,,1,3,,1,3,,,,,,,,1,3,,, , , 
,BigEddy,6/28/18,27,1,1,1,1,2,826,879,53,4,8.5,,26484,263,DJ,,1,4,,1,4,,,,,,,,1,4,,, , , 
,BigEddy,6/28/18,27,2,2,2,2,2,821,878,57,4,8.5,,26484,264,DJ,,1,3,,1,3,,,,,,,,1,3,,, , , 
,BigEddy,6/28/18,27,3,1,1,1,2,522,558,36,4,8.5,,26484,265,DJ,,1,2,,1,2,,,,,,,,1,2,,, , , 
,BigEddy,6/28/18,27,4,1,1,1,2,819,886,67,4,8.5,,26484,266,DJ,,1,4,,1,4,,,,,,,,1,4,,, , , 
,BigEddy,6/28/18,27,5,1,1,1,2,583,627,44,4,8.5,,26484,267,DJ,,1,2,,1,2,,,,,,,,,2,9,,N, ,N
,BigEddy,6/28/18,27,6,2,1,2,2,700,748,48,4,8.5,,26484,268,DJ,,1,3,,1,3,,,,,,,,1,3,,, , , 
,BigEddy,6/28/18,27,7,1,1,1,2,626,678,52,4,8.5,,26484,269,DJ,,1,4,,1,4,,,,,,,,1,4,,, , , 
,BigEddy,6/28/18,27,8,2,1,2,2,761,816,55,4,8.5,,26484,270,DJ,,1,4,,1,4,,,,,,,,1,4,,, , , 
,BigEddy,6/28/18,27,9,2,1,2,2,626,677,51,4,8.5,,26484,271,DJ,,1,3,,1,3,,,,,,,,1,3,,, , , 
,BigEddy,6/28/18,27,10,1,1,1,2,818,882,64,4,8.5,,26484,272,DJ,,1,3,,1,4,,,,,,,,1,4,,, ,N, 
,BigEddy,6/28/18,28,1,2,2,2,2,888,943,55,4,8.5,No more Otoliths and Genetic collected,,,MT,,1,4,,1,4,,,,,,,,1,4,,, , , 
,BigEddy,6/28/18,28,2,2,2,2,2,775,831,56,4,8.5,,,,MT,,1,4,,1,4,,,,,,,,1,4,,, , , 
,BigEddy,6/28/18,28,3,2,2,2,2,828,878,50,4,8.5,,,,MT,,1,4,,1,4,,,,,,,,1,4,,, , , 
,BigEddy,6/28/18,28,4,2,2,2,2,854,914,60,4,8.5,,,,MT,,1,4,,1,4,,,,,,,,1,4,,, , , 
,BigEddy,6/28/18,28,5,2,2,2,2,786,841,55,4,8.5,,,,MT,,1,4,,1,4,,,,,,,,1,4,,, , , 
,BigEddy,6/29/18,29,1,1,1,1,2,883,957,74,4,8.5,,,,ML,,1,3,,1,4,,,,,,,,1,4,,, ,N, 
,BigEddy,6/29/18,29,2,2,1,2,2,686,735,49,4,8.5,,,,ML,YES,1,4,,1,4,,,,,,,,1,4,,, , , 
,BigEddy,6/29/18,29,3,2,2,2,2,844,911,67,4,8.5,,,,ML,,1,4,,1,4,,,,,,,,1,4,,, , , 
,BigEddy,6/29/18,29,4,2,2,2,2,854,905,51,4,8.5,,,,ML,,1,4,,1,4,,,,,,,,1,4,,, , , 
,BigEddy,6/29/18,29,5,2,2,2,2,819,877,58,4,8.5,,,,ML,,1,3,,1,4,,,,,,,,1,4,,, ,N, 
,BigEddy,6/29/18,29,6,2,2,2,2,707,762,55,4,8.5,,,,ML,,1,3,,1,3,,,,,,,,1,3,,, , , 
,BigEddy,6/29/18,29,7,1,1,1,2,660,707,47,4,8.5,,,,ML,,1,3,,1,3,,,,,,,,1,3,,, , , 
,BigEddy,6/29/18,29,8,1,1,1,2,700,752,52,4,8.5,,,,ML,,1,4,,1,3,,,,,,,,1,3,,, ,N, 
,BigEddy,6/29/18,29,9,2,2,2,2,,,,4,8.5,"lengths deleted, METF 875, FL 838",,,ML,,1,4,,1,4,,,,,,,,1,4,,, , , 
,BigEddy,6/29/18,29,10,1,1,1,2,876,945,69,4,8.5,,,,ML,,2,4,,2,4,,,,,,,,2,4,,, , , 
