tributary_id,year,watershed,raw_production,stream_order,longitude,latitude,production_proportion,production_normalized
4058,2016,Yukon,0,4,-12665.350530672995,1635215.2603242411,0,0
4059,2016,Yukon,0,4,768634.5282150275,1635017.8087558628,0,0
4062,2016,Yukon,0,4,533043.8168315851,1638799.1278008698,0,0
4063,2016,Yukon,0,9,-210384.75391707418,1626144.030152198,0,0
4064,2016,Yukon,0,6,1151019.7395020109,1635461.1785447095,0,0
4065,2016,Yukon,0,4,620192.4018784376,1637155.1758991908,0,0
4066,2016,Yukon,0,9,-204753.73000000045,1635739.8213999998,0,0
4067,2016,Yukon,0,5,1109890.5104589467,1635868.764569868,0,0
4068,2016,Yukon,0,4,865911.0425637077,1632327.3706419584,0,0
4070,2016,Yukon,0,5,1165656.2796451992,1634982.3644782507,0,0
4071,2016,Yukon,0,4,1145810.1650522728,1633667.7188588683,0,0
4072,2016,Yukon,0,5,1115048.8466678194,1635892.982903894,0,0
4073,2016,Yukon,0,5,1118222.2165405736,1636167.6408983688,0,0
4076,2016,Yukon,0,4,1202035.4901331062,1635269.5871550553,0,0
4077,2016,Yukon,0,6,1096853.311707748,1635793.945484894,0,0
4078,2016,Yukon,0,5,1107149.3431636451,1636325.6867288486,0,0
4079,2016,Yukon,0,7,332095.99316512025,1637440.8897423567,0,0
4081,2016,Yukon,0,5,1105429.6627950575,1637108.2310482562,0,0
4082,2016,Yukon,0,4,-90880.11501208453,1636410.4025945426,0,0
4083,2016,Yukon,0,6,589246.0765705255,1638329.0202924584,0,0
4084,2016,Yukon,0,4,-174093.05076884487,1637488.7665255317,0,0
4085,2016,Yukon,0,4,-15171.52176199192,1639287.0739049409,0,0
4086,2016,Yukon,0,4,485416.1046947064,1637840.5139175875,0,0
4087,2016,Yukon,0,4,1112290.704132023,1636426.6450214607,0,0
4088,2016,Yukon,0,4,-52100.52899101631,1644085.7308929586,0,0
4089,2016,Yukon,0,8,888531.4611562482,1635421.3871287494,0,0
4090,2016,Yukon,0,5,751026.4541222462,1637624.685366405,0,0
4091,2016,Yukon,0,4,1122238.6135831878,1637484.4307565163,0,0
4092,2016,Yukon,0,6,1101332.6084871406,1637431.979469371,0,0
4094,2016,Yukon,0,9,719289.2178284335,1545905.6759649944,0,0
4095,2016,Yukon,0,5,675967.0350837007,1543266.3839936382,0,0
4097,2016,Yukon,0,6,91128.68230419538,1547164.3464254388,0,0
4098,2016,Yukon,0,4,755248.2178832231,1549363.2996323064,0,0
4099,2016,Yukon,0,9,718668.4749132799,1546538.8218691428,0,0
4101,2016,Yukon,0,4,1180236.928439022,1543096.0453969717,0,0
4102,2016,Yukon,0,5,-5204.20435592655,1550534.9254936802,0,0
4103,2016,Yukon,0,8,883721.8879901705,1543866.4039409605,0,0
4104,2016,Yukon,0,7,1137320.4545946943,1541713.2926976108,0,0
4105,2016,Yukon,0,5,87995.10568104035,1550001.685837958,0,0
4107,2016,Yukon,0,4,145375.92454795385,1554614.4523205596,0,0
4109,2016,Yukon,0,4,706840.5033215702,1545655.8096543893,0,0
4110,2016,Yukon,0,5,83275.50805749437,1545914.3923801037,0,0
4111,2016,Yukon,0,7,1187493.6835020478,1546099.8213252602,0,0
4112,2016,Yukon,0,5,82299.20854703724,1546874.6067622136,0,0
4113,2016,Yukon,0,4,294721.7312056706,1548076.5363201804,0,0
4114,2016,Yukon,0,4,125614.95322722351,1548189.1133995361,0,0
4115,2016,Yukon,0,9,718847.4837151043,1549007.3050397616,0,0
4117,2016,Yukon,0,5,1198708.6025266694,1547526.2574744585,0,0
4118,2016,Yukon,0,4,788251.8727215966,1547838.721888052,0,0
4119,2016,Yukon,0,4,711160.0685942635,1545382.3833871894,0,0
4120,2016,Yukon,0,8,989732.6070610575,1548542.2534175324,0,0
4121,2016,Yukon,0,4,5459.618810524009,1548446.639439029,0,0
4122,2016,Yukon,0,4,207560.66796054857,1549619.250181498,0,0
4123,2016,Yukon,0,9,-258449.23428778385,1544776.903155523,0,0
4124,2016,Yukon,0,4,679550.3982437737,1546688.8796172799,0,0
4127,2016,Yukon,0,5,1197940.292416017,1550370.2128208028,0,0
4128,2016,Yukon,0,4,409918.95161764865,1548545.35421541,0,0
4129,2016,Yukon,0,5,775605.6325659916,1548803.273018733,0,0
4131,2016,Yukon,0,4,117649.12223250096,1548523.1859941129,0,0
4132,2016,Yukon,0,4,741947.9072385018,1551978.0816845559,0,0
4133,2016,Yukon,0,5,777362.8812075446,1548305.6214616238,0,0
4134,2016,Yukon,0,5,778823.3602761517,1548274.3745537358,0,0
4135,2016,Yukon,0,4,127857.23075698427,1548921.9578151838,0,0
4136,2016,Yukon,0,4,1026018.6318133321,1546044.9182570605,0,0
4138,2016,Yukon,0,4,155323.22715794464,1549698.456159169,0,0
4140,2016,Yukon,0,5,651368.5613100461,1545581.2349973205,0,0
4142,2016,Yukon,0,4,796993.9738110825,1551045.2139809567,0,0
4143,2016,Yukon,0,6,93414.81869123722,1549401.8977403615,0,0
4144,2016,Yukon,0,4,409225.3100732802,1553026.2071904214,0,0
4147,2016,Yukon,0,8,980642.4354669594,1550133.0807350494,0,0
4148,2016,Yukon,0,4,157016.66249670344,1550154.464310088,0,0
4149,2016,Yukon,0,5,186069.24087318624,1551822.5215241264,0,0
4150,2016,Yukon,0,4,1186133.5316274087,1547551.9514612602,0,0
4151,2016,Yukon,0,4,129595.14235652503,1551330.8663922173,0,0
4152,2016,Yukon,0,5,782097.9186634081,1548649.2424437508,0,0
4153,2016,Yukon,0,4,783978.6775056429,1549320.535331952,0,0
4154,2016,Yukon,0,4,783683.4436294119,1549299.8646893485,0,0
4155,2016,Yukon,0,4,1432.9362363109137,1553899.048299326,0,0
4156,2016,Yukon,0,5,773955.7343158771,1549393.4151910692,0,0
4158,2016,Yukon,0,5,772558.348811607,1549492.4084259581,0,0
4159,2016,Yukon,0,4,721666.3544431806,1550138.9547725902,0,0
4161,2016,Yukon,0,4,-52254.3751543633,1544439.532205507,0,0
4162,2016,Yukon,0,4,746933.9481874726,1551265.215117571,0,0
4163,2016,Yukon,0,5,770762.0619880916,1550167.9081801306,0,0
4164,2016,Yukon,0,4,1034408.3619255798,1545128.411157493,0,0
4165,2016,Yukon,0,4,1151652.2593206293,1547225.7782883497,0,0
4166,2016,Yukon,0,4,-257469.13385992573,1548329.5509160662,0,0
4167,2016,Yukon,0,4,1065192.7305369114,1552140.8199402331,0,0
4168,2016,Yukon,0,5,768798.992305136,1550517.2922276785,0,0
4169,2016,Yukon,0,5,648881.2259817079,1549602.6282133074,0,0
4170,2016,Yukon,0,4,828456.1482943272,1550681.3227680654,0,0
4171,2016,Yukon,0,4,1154598.265702266,1550082.0488449852,0,0
4174,2016,Yukon,0,4,704798.2899512524,1548722.845830887,0,0
4177,2016,Yukon,0,8,973717.71145434,1555626.3426545428,0,0
4178,2016,Yukon,0,6,765408.5031912426,1550969.921546735,0,0
4179,2016,Yukon,0,5,155703.13422572686,1552938.4993409764,0,0
4180,2016,Yukon,0,7,1136341.520051801,1548471.557532116,0,0
4182,2016,Yukon,0,4,822175.5045400559,1552709.6509299546,0,0
4183,2016,Yukon,0,9,719950.8162325835,1552844.726453826,0,0
4184,2016,Yukon,0,6,-124421.09930439162,1546614.2181621226,0,0
4185,2016,Yukon,0,4,1075589.5635420058,1554394.861242723,0,0
4186,2016,Yukon,0,4,383218.18308826955,1553588.9519199347,0,0
4187,2016,Yukon,0,4,611476.0540449565,1550708.2082253674,0,0
4188,2016,Yukon,0,7,1135503.9791886082,1551148.873769982,0,0
4190,2016,Yukon,0,6,763513.1478187768,1551877.0675080172,0,0
4191,2016,Yukon,0,4,205131.458480193,1552745.2739895643,0,0
4193,2016,Yukon,0,6,758077.5809532864,1553577.8419887326,0,0
4194,2016,Yukon,0,5,752386.8114806365,1552942.4993758278,0,0
4195,2016,Yukon,0,8,892692.3834739006,1549178.2913201102,0,0
4196,2016,Yukon,0,5,696259.6889431917,1548600.4336890695,0,0
4198,2016,Yukon,0,5,153437.7569045205,1553920.687955295,0,0
4199,2016,Yukon,0,4,412785.54935230693,1554635.008855585,0,0
4200,2016,Yukon,0,4,719035.1102132772,1553509.2687839153,0,0
4202,2016,Yukon,0,8,917798.7509249982,1552320.350357876,0,0
4203,2016,Yukon,0,7,1192575.915330533,1549621.33162234,0,0
4204,2016,Yukon,0,4,860253.2584131457,1552633.0798617902,0,0
4205,2016,Yukon,0,4,792186.9796374311,1552574.5238344744,0,0
4208,2016,Yukon,0,4,864274.8922735135,1552566.5689652245,0,0
4209,2016,Yukon,0,4,792769.5293560202,1553697.8709208393,0,0
4210,2016,Yukon,0,4,1155914.3234273156,1551258.6919204737,0,0
4211,2016,Yukon,0,4,1043599.847608919,1550995.6150892,0,0
4213,2016,Yukon,0,4,677155.6155064806,1549171.5424595908,0,0
4214,2016,Yukon,0,4,-36318.26467659627,1552454.5149348755,0,0
4215,2016,Yukon,0,8,747062.2840760348,1553252.6862550993,0,0
4216,2016,Yukon,0,5,867371.9881048264,1548656.0534539903,0,0
4217,2016,Yukon,0,4,1069303.5346037773,1552179.3872379896,0,0
4219,2016,Yukon,0,8,748161.3199322121,1553000.137907968,0,0
4220,2016,Yukon,0,7,1197433.7254294588,1552829.4151439709,0,0
4222,2016,Yukon,0,4,1157422.7973374694,1552946.6683174998,0,0
4223,2016,Yukon,0,4,705215.6468053121,1552118.508314543,0,0
4225,2016,Yukon,0,8,745389.9897221897,1554436.8047301732,0,0
4226,2016,Yukon,0,4,-19691.703613226528,1556395.716484461,0,0
4227,2016,Yukon,0,9,-255184.436807495,1552938.979557453,0,0
4229,2016,Yukon,0,5,794509.9733891399,1554055.1266435361,0,0
4230,2016,Yukon,0,7,498376.3684210917,1556887.3615873656,0,0
4231,2016,Yukon,0,5,797745.867207493,1553638.8743836293,0,0
4232,2016,Yukon,0,4,-212538.696528882,1553783.25668731,0,0
4235,2016,Yukon,0,4,717034.2104556137,1553140.4978491652,0,0
4236,2016,Yukon,0,8,750207.2041539496,1553767.6720995854,0,0
4238,2016,Yukon,0,4,801485.7712098721,1554061.196769063,0,0
4239,2016,Yukon,0,5,875866.7539538906,1548619.8730441055,0,0
4240,2016,Yukon,0,6,996813.567707904,1550546.810452524,0,0
4242,2016,Yukon,0,4,-263401.8998487838,1555487.6126093671,0,0
4245,2016,Yukon,0,8,895078.8223438187,1554697.7760142323,0,0
4247,2016,Yukon,0,4,-65000.66722360369,1556232.723538478,0,0
4248,2016,Yukon,0,4,-264347.39510486263,1554494.883242358,0,0
4249,2016,Yukon,0,9,721018.3670136413,1555797.985389858,0,0
4250,2016,Yukon,0,5,792644.514499479,1556112.700845079,0,0
4251,2016,Yukon,0,4,719864.2802451462,1554633.4827229304,0,0
4252,2016,Yukon,0,7,1136323.0015309379,1552491.08703935,0,0
4253,2016,Yukon,0,4,25709.323852362595,1554453.798056115,0,0
4254,2016,Yukon,0,4,815339.2527298182,1555038.5299702606,0,0
4255,2016,Yukon,0,4,694468.6434615223,1553500.2656942476,0,0
4256,2016,Yukon,0,4,1134339.95871549,1553452.0097456109,0,0
4257,2016,Yukon,0,4,325938.56195430184,1557015.3329614727,0,0
4258,2016,Yukon,0,4,799885.3124714906,1554536.6336590431,0,0
4259,2016,Yukon,0,4,696772.0727156743,1553660.1190113965,0,0
