reachid,Str_Order,iso_pred,assignment_sum,assignment_rescale,assignment_norm,GenLMU
11591,3,0.735162648608,0,0,0,middle
11596,3,0.709176003567,0,0,0,lower
11605,3,0.708298660949,0,0,0,middle
11617,8,0.716339379985,0,0,0,middle
11618,3,0.73439066646,0,0,0,middle
11623,9,0.714644468908,0,0,0,lower
11625,3,0.713873049392,0,0,0,middle
11631,4,0.70906695420700006,0,0,0,lower
11633,3,0.71596198874,0,0,0,middle
11639,5,0.711225864279,20.900132217004156,4.7057365989077414e-4,0.574624770007259,middle
11641,4,0.714373913479,5.050755008790305,1.137194848827037e-4,0.13886462081459294,middle
11648,3,0.706908665042,0,0,0,lower
11649,4,0.708718508504,11.020337770166437,2.481266924005662e-4,0.3029913395204307,lower
11656,3,0.708949542562,0,0,0,lower
11659,3,0.708203249447,0,0,0,lower
11662,4,0.708866993617,9.735470398708092,2.1919746194481454e-4,0.2676654090359625,lower
11663,7,0.711147681045,11.596656776768302,2.6110271290538423e-4,0.31883655873631556,lower
11669,4,0.708639570932,9.916043645669285,2.232631306601424e-4,0.27263005994951606,lower
11673,7,0.711136768113,11.64200807392335,2.621238129473104e-4,0.32008343978121384,lower
11681,3,0.708218486184,0,0,0,lower
11682,4,0.725007826299,0,0,0,middle
11692,3,0.711671058437,0,0,0,lower
11694,4,0.708686641333,10.627157965677709,2.3927411397319767e-4,0.2921813191636207,lower
11695,4,0.711550668984,6.379973091068404,1.436472868351576e-4,0.17540992238915049,lower
11696,5,0.733271815857,1.5826104568401667,3.563301835242831e-5,0.043512029509219015,middle
11697,4,0.711749440012,0,0,0,lower
11701,4,0.724131549617,12.472123612477478,2.8081414959464526e-4,0.34290649876803836,middle
11704,5,0.711308855769,10.934486851404051,2.4619372945911005e-4,0.3006309685937524,lower
11707,4,0.711709219534,0,0,0,lower
11709,3,0.735591013028,0,0,0,middle
11713,3,0.711694378292,0,0,0,lower
11714,3,0.735238733694,0,0,0,middle
11717,6,0.722142304285,35.73883572172577,8.04672169113115e-4,0.982597623962189,middle
11718,4,0.714969258778,0,0,0,lower
11720,3,0.712152966589,0,0,0,middle
11721,3,0.708413868967,0,0,0,middle
11723,3,0.726395353222,0,0,0,middle
11776,3,0.708001118126,0,0,0,middle
11849,3,0.71736269981,0,0,0,middle
11871,3,0.715706908332,0,0,0,middle
11730,8,0.716247112604,0,0,0,middle
11731,4,0.721145327269,3.914734043833341,8.814158242534429e-5,0.10763104875227274,middle
11732,3,0.724736846917,0,0,0,middle
11735,9,0.715428258559,0,0,0,lower
11736,3,0.707016666897,0,0,0,lower
11742,3,0.707014383392,0,0,0,lower
11744,4,0.711787218844,0,0,0,lower
11746,4,0.707482554917,0,0,0,lower
11750,3,0.708861663602,0,0,0,lower
11751,7,0.719162174552,0,0,0,middle
11752,7,0.711200073879,10.719657275683103,2.4135676772843066e-4,0.29472447985685474,lower
11754,9,0.71542792466,0,0,0,lower
11759,4,0.711756917024,4.801054638349752,1.0809739522440509e-4,0.13199940022912734,lower
11762,5,0.708794024319,11.602171754712746,2.612268845292088e-4,0.3189881866255565,lower
11763,5,0.733496139505,2.2474439525663152,5.060197300082506e-5,0.061790851413701706,middle
11766,5,0.714858152252,25.340929618870653,5.705597396213884e-4,0.6967193175058749,middle
11770,3,0.726648099016,0,0,0,middle
11772,7,0.71129099501,0,0,0,lower
11778,5,0.734300708072,0,0,0,middle
11780,3,0.709346264996,0,0,0,lower
11781,3,0.711776173826,0,0,0,middle
11786,5,0.725689438914,18.45295663866709,4.154746606913105e-4,0.5073425303894042,middle
11789,5,0.708707742451,12.544774292894157,2.8244990463304723e-4,0.34490394453019196,lower
11790,6,0.722119460106,33.41732193891475,7.524024884277721e-4,0.918770308916252,middle
11792,5,0.711394668096,10.588304573453964,2.3839931649402078e-4,0.29111309043957434,lower
11793,3,0.735614559476,0,0,0,middle
11797,3,0.735801091799,0,0,0,middle
11798,3,0.713554895911,0,0,0,middle
11813,7,0.720492658434,0,0,0,middle
11816,3,0.708028116163,0,0,0,lower
11818,3,0.715944939996,0,0,0,middle
11819,3,0.71178505497,0,0,0,lower
