reachbase,original_reachid,stream_order,upstream_reachid,tributary_group_id
4,16869,4,17032,4_16869_4
4,16870,4,16870,4_16870_4
4,16898,4,16840,4_16898_4
4,16898,4,16833,4_16898_4
4,16898,4,16782,4_16898_4
4,16898,4,16781,4_16898_4
4,16898,4,16722,4_16898_4
4,16906,4,16773,4_16906_4
4,16906,4,16812,4_16906_4
4,16923,4,16887,4_16923_4
4,16927,4,16959,4_16927_4
4,16927,4,17019,4_16927_4
4,16927,4,17031,4_16927_4
4,16948,4,16945,4_16948_4
4,16974,4,16998,4_16974_4
4,16974,4,17114,4_16974_4
4,16974,4,17096,4_16974_4
4,16974,4,16991,4_16974_4
4,16980,4,16990,4_16980_4
4,16992,4,17113,4_16992_4
4,16992,4,17157,4_16992_4
4,17038,4,17038,4_17038_4
4,17052,4,16987,4_17052_4
4,17056,4,17056,4_17056_4
4,17074,4,17074,4_17074_4
4,17075,4,17075,4_17075_4
4,17077,4,17077,4_17077_4
4,17112,4,17112,4_17112_4
4,17124,4,17103,4_17124_4
4,17124,4,17028,4_17124_4
4,17124,4,17045,4_17124_4
4,17164,4,17193,4_17164_4
4,17164,4,17186,4_17164_4
4,17164,4,17197,4_17164_4
4,17164,4,17168,4_17164_4
4,17164,4,17158,4_17164_4
4,17167,4,17167,4_17167_4
4,17179,4,17328,4_17179_4
4,17179,4,17465,4_17179_4
4,17179,4,17521,4_17179_4
4,17179,4,17576,4_17179_4
4,17194,4,17264,4_17194_4
4,17239,4,17239,4_17239_4
4,17247,4,17267,4_17247_4
4,17247,4,17258,4_17247_4
4,17247,4,17269,4_17247_4
4,17247,4,17359,4_17247_4
4,17249,4,17222,4_17249_4
4,17262,4,17262,4_17262_4
4,17279,4,17279,4_17279_4
4,17290,4,17229,4_17290_4
4,17290,4,17228,4_17290_4
4,17302,4,17302,4_17302_4
4,17314,4,17319,4_17314_4
4,17325,4,17310,4_17325_4
4,17325,4,17292,4_17325_4
4,17348,4,17454,4_17348_4
4,17348,4,17449,4_17348_4
4,17348,4,17483,4_17348_4
4,17348,4,17455,4_17348_4
